effect,variant,model,persona,r_sim,ci_lo,ci_hi,n_ok,n_total
Asch1946_warm_cold,A,sonnet5,none,1.0,1.0,1.0,60,60
Asch1946_warm_cold,A,sonnet5,demographic,1.0,1.0,1.0,60,60
Asch1946_warm_cold,A,sonnet45,none,1.0,1.0,1.0,60,60
Asch1946_warm_cold,A,sonnet45,demographic,1.0,1.0,1.0,60,60
Asch1946_warm_cold,B,sonnet5,none,1.0,1.0,1.0,60,60
Asch1946_warm_cold,B,sonnet5,demographic,1.0,1.0,1.0,60,60
Asch1946_warm_cold,B,sonnet45,none,1.0,1.0,1.0,60,60
Asch1946_warm_cold,B,sonnet45,demographic,1.0,1.0,1.0,59,60
Asch1946_warm_cold,frame_flip,sonnet5,none,1.0,1.0,1.0,60,60
Asch1946_warm_cold,frame_flip,sonnet5,demographic,1.0,1.0,1.0,60,60
Asch1946_warm_cold,frame_flip,sonnet45,none,1.0,1.0,1.0,51,60
Asch1946_warm_cold,frame_flip,sonnet45,demographic,1.0,1.0,1.0,57,60
Asch1946_warm_cold,deidentified,sonnet5,none,1.0,1.0,1.0,59,60
Asch1946_warm_cold,deidentified,sonnet5,demographic,1.0,1.0,1.0,60,60
Asch1946_warm_cold,deidentified,sonnet45,none,1.0,1.0,1.0,49,60
Asch1946_warm_cold,deidentified,sonnet45,demographic,0.7561004168034701,0.6204222893813428,0.8721519863080605,59,60
Banerjee2012_brightness,A,sonnet5,none,0.5614476877975754,0.4666607067978686,0.6535813462031687,60,60
Banerjee2012_brightness,A,sonnet5,demographic,0.8502446585861708,0.7701660091793736,0.9280560992402067,60,60
Banerjee2012_brightness,A,sonnet45,none,,,,28,60
Banerjee2012_brightness,A,sonnet45,demographic,0.1677322793563924,0.0,0.29744775792987577,47,60
Banerjee2012_brightness,B,sonnet5,none,0.755421667840744,0.6223135508231352,0.8717175918787257,60,60
Banerjee2012_brightness,B,sonnet5,demographic,0.35877483451872527,0.1531963200925017,0.5482900477877652,60,60
Banerjee2012_brightness,B,sonnet45,none,,,,4,60
Banerjee2012_brightness,B,sonnet45,demographic,0.31392562439161126,0.054231071892921257,0.5593273751683198,49,60
Banerjee2012_brightness,frame_flip,sonnet5,none,0.4745728914025433,0.3470065190707571,0.5886869728031144,60,60
Banerjee2012_brightness,frame_flip,sonnet5,demographic,0.06801424226631408,-0.18933231195717873,0.3278881535207969,60,60
Banerjee2012_brightness,frame_flip,sonnet45,none,0.1524985703326041,0.0,0.27116307227332015,42,60
Banerjee2012_brightness,frame_flip,sonnet45,demographic,0.25125031551708654,0.0,0.39986180005016786,56,60
Banerjee2012_brightness,deidentified,sonnet5,none,0.9962339810981151,0.0,0.9962339810981151,60,60
Banerjee2012_brightness,deidentified,sonnet5,demographic,0.985972748199102,0.9799310693422532,0.9963968174936738,60,60
Banerjee2012_brightness,deidentified,sonnet45,none,,,,1,60
