effect,cell,model,r_sim,r_o,r_r,closer
Husnu2010_imagined_contact,famous_failed,sonnet5,0.719,0.395,0.0649,original
Husnu2010_imagined_contact,famous_failed,sonnet45,0.517,0.395,0.0649,original
Tversky1973_availability_letters,famous_failed,sonnet5,-0.683,0.3794,0.045,replication
Tversky1973_availability_letters,famous_failed,sonnet45,0.0,0.3794,0.045,replication
Eyal2008_moral_distance,obscure_failed,sonnet5,-0.054,0.38,0.0316,replication
Eyal2008_moral_distance,obscure_failed,sonnet45,0.191,0.38,0.0316,replication
Rottenstreich2001_affective_lottery,obscure_failed,sonnet5,0.952,0.3748,-0.04,original
Rottenstreich2001_affective_lottery,obscure_failed,sonnet45,0.0,0.3748,-0.04,replication
Oppenheimer2009_retrospective_gambler,obscure_failed,sonnet5,0.52,0.3261,0.01,original
Oppenheimer2009_retrospective_gambler,obscure_failed,sonnet45,0.636,0.3261,0.01,original
Knobe2003_side_effect,famous_replicated,sonnet5,1.0,0.6006,0.6585,replication
Knobe2003_side_effect,famous_replicated,sonnet45,0.232,0.6006,0.6585,original
Miyamoto2002_correspondence_bias,famous_replicated,sonnet5,0.975,0.7742,0.673,original
Miyamoto2002_correspondence_bias,famous_replicated,sonnet45,0.457,0.7742,0.673,replication
Genschow2017_free_will_attribution,obscure_replicated,sonnet5,0.076,0.0946,0.0688,replication
Genschow2017_free_will_attribution,obscure_replicated,sonnet45,-0.066,0.0946,0.0688,replication
Chao2017_thankyou_gift,obscure_replicated,sonnet5,0.0,0.1015,0.0519,replication
Chao2017_thankyou_gift,obscure_replicated,sonnet45,-0.036,0.1015,0.0519,replication
