,P_BES,P_actual_total,P_agency,P_conscientiousness,P_crt2_score,P_female,P_numeracy,P_openness,P_overplacement,P_political_liberalism,P_religious_nonattendance,W_benefit_perception,W_denom_neglect_avoid,W_linda_conjunction_rating,W_myside_ford,W_myside_german,W_perceived_public_support_lib,W_policy_support_liberal,W_prob_maximizing_cards,W_proportion_dom_1A,W_purchase_intent,W_risk_perception,W_vaccine_acceptance
P_BES,1.0,,0.4515105172853607,-0.10866313137367466,-0.15006269164276742,0.11932459696790647,-0.0667982356523823,0.13923307767396187,0.07413952342262731,0.0034414399250756447,-0.09080688485655859,-0.07203729783230628,-0.24088603700761702,0.02899299528416021,0.07853726743756126,0.07853726743756126,-0.16389228275884196,-0.09075544377175437,0.0041929998110736555,-0.1364428325000889,0.46517745191738696,-0.283127694936292,0.21977880800674224
P_actual_total,,1.0,,,,,,,,,,,,,,,,,,,,,
P_agency,0.4515105172853607,,1.0,0.2206318691486876,-0.07014817862319245,0.1503240854789557,0.06378899297274787,0.16835647328484782,0.39652475138797805,-0.16212724905780096,-0.008491674464904167,-0.07052794307305477,-0.10167441303268138,-0.021432893566029516,0.14631238923744908,0.14631238923744908,-0.16727548211414062,-0.22814252192104179,-0.025396286602447773,0.04240631043108241,0.14163176399270425,-0.11129909980854864,-0.0793385576219075
P_conscientiousness,-0.10866313137367466,,0.2206318691486876,1.0,0.10480645732296248,0.16421483503831225,-0.02693504366117697,-0.34335776757074904,0.32028689772965724,-0.3331278393164551,-0.40052614909190326,0.1600801885833923,0.32165568833725044,0.11740802486731464,-0.023625759976711465,-0.023625759976711465,0.05340353940331455,-0.3087142438234567,-0.026488303163197432,0.3190018798663237,-0.23314588377668277,0.14930288243100492,-0.06611436245936514
P_crt2_score,-0.15006269164276742,,-0.07014817862319245,0.10480645732296248,1.0,-0.09736038343008388,0.16512428047669941,0.08466355298737503,0.24120493992775535,0.15129002998290092,-0.053818608836733874,0.4138080937109551,0.5007523072033953,0.05742561638987065,-0.03309539593775113,-0.03309539593775113,0.41200556740783806,0.23654890275444204,-0.06738096936256156,0.4417154588755317,0.004333588804395309,0.26064586338508144,0.14780848466740087
P_female,0.11932459696790647,,0.1503240854789557,0.16421483503831225,-0.09736038343008388,1.0,-0.03361463227264068,0.013496272169648823,0.27116307227332026,-0.05595953876950794,-0.19070105969856443,-0.030860059391822996,0.04890428710715331,0.04852871491598313,0.00804127728142997,0.00804127728142997,0.015295283932713507,-0.023039516359548817,-0.07583688827079155,0.04398768517198641,0.21374757446243953,0.15777364225381224,0.04662508967030434
P_numeracy,-0.0667982356523823,,0.06378899297274787,-0.02693504366117697,0.16512428047669941,-0.03361463227264068,1.0,0.005103812542884834,0.054690281762322886,0.05258415820447305,0.10351132468579644,0.10892170257863773,0.10479860126349079,-0.02659687347659653,0.05270939286943469,0.05270939286943469,0.06857587235406058,0.06147314906940421,-0.026472763854595398,0.05847308998070394,0.009025550538199752,0.023783750417572563,-0.0040137792832768285
P_openness,0.13923307767396187,,0.16835647328484782,-0.34335776757074904,0.08466355298737503,0.013496272169648823,0.005103812542884834,1.0,-0.026761487700861505,0.5036112082332368,0.41897330014739353,-0.0463625544173858,-0.15917960403833017,-0.3299700555420055,0.17947696744039007,0.17947696744039007,0.14536529186174563,0.49892511475035517,-0.07617315675786727,-0.1815415175321483,0.4137478780863794,-0.08495471944329724,0.34567362714776884
P_overplacement,0.07413952342262731,,0.39652475138797805,0.32028689772965724,0.24120493992775535,0.27116307227332026,0.054690281762322886,-0.026761487700861505,1.0,-0.10242558307623008,-0.2534690899157137,0.28275398246177363,0.4637218784778259,0.21455209940370842,-0.006541492357902902,-0.006541492357902902,0.2747449233317983,-0.06266989371120908,-0.10440267681540955,0.4090705523368633,0.10792635327720997,0.214352983307687,0.07770821085670068
P_political_liberalism,0.0034414399250756447,,-0.16212724905780096,-0.3331278393164551,0.15129002998290092,-0.05595953876950794,0.05258415820447305,0.5036112082332368,-0.10242558307623008,1.0,0.5167985111026736,-0.14550702244163546,-0.03825106205627865,-0.14571096497529865,0.25066274937382754,0.25066274937382754,0.42389974591743096,0.9113969284339389,-0.1682680463678631,-0.08414467632831318,0.5004909032971748,0.2157174061206766,0.5038317767193085
P_religious_nonattendance,-0.09080688485655859,,-0.008491674464904167,-0.40052614909190326,-0.053818608836733874,-0.19070105969856443,0.10351132468579644,0.41897330014739353,-0.2534690899157137,0.5167985111026736,1.0,-0.23715364517303403,-0.21289497344062733,-0.3105164089348076,0.15322231479979803,0.15322231479979803,0.027830689547460704,0.3774826352681815,0.019422719205192892,-0.27647039815484353,0.28409552019049433,-0.13304750281477243,0.09597153177288367
W_benefit_perception,-0.07203729783230628,,-0.07052794307305477,0.1600801885833923,0.4138080937109551,-0.030860059391822996,0.10892170257863773,-0.0463625544173858,0.28275398246177363,-0.14550702244163546,-0.23715364517303403,1.0,0.7160705620970123,0.18942742810097588,-0.24469319512051638,-0.24469319512051638,0.3829451861202003,-0.0684338311594006,-0.12833919723542203,0.6179702243095803,0.04281499618063808,0.20142679502139668,0.06236569033785675
W_denom_neglect_avoid,-0.24088603700761702,,-0.10167441303268138,0.32165568833725044,0.5007523072033953,0.04890428710715331,0.10479860126349079,-0.15917960403833017,0.4637218784778259,-0.03825106205627865,-0.21289497344062733,0.7160705620970123,1.0,0.3037517661922935,-0.21530598075141125,-0.21530598075141125,0.6392409928376125,0.08137991586575034,-0.157265220208922,0.7027412567942903,-0.006565416382369562,0.5598931962023485,0.01856111365933229
W_linda_conjunction_rating,0.02899299528416021,,-0.021432893566029516,0.11740802486731464,0.05742561638987065,0.04852871491598313,-0.02659687347659653,-0.3299700555420055,0.21455209940370842,-0.14571096497529865,-0.3105164089348076,0.18942742810097588,0.3037517661922935,1.0,0.006362492164416232,0.006362492164416232,0.13979529658633255,-0.09266680080719474,-0.20770736149086552,0.1373189187376487,-0.020827991349333268,0.2875067918853433,-0.2697551063994424
W_myside_ford,0.07853726743756126,,0.14631238923744908,-0.023625759976711465,-0.03309539593775113,0.00804127728142997,0.05270939286943469,0.17947696744039007,-0.006541492357902902,0.25066274937382754,0.15322231479979803,-0.24469319512051638,-0.21530598075141125,0.006362492164416232,1.0,1.0,0.041036654838871166,0.20483598108445483,-0.170985673337704,-0.21078327926129672,0.10528729902772682,-0.08573545382675235,0.07832280425534377
W_myside_german,0.07853726743756126,,0.14631238923744908,-0.023625759976711465,-0.03309539593775113,0.00804127728142997,0.05270939286943469,0.17947696744039007,-0.006541492357902902,0.25066274937382754,0.15322231479979803,-0.24469319512051638,-0.21530598075141125,0.006362492164416232,1.0,1.0,0.041036654838871166,0.20483598108445483,-0.170985673337704,-0.21078327926129672,0.10528729902772682,-0.08573545382675235,0.07832280425534377
W_perceived_public_support_lib,-0.16389228275884196,,-0.16727548211414062,0.05340353940331455,0.41200556740783806,0.015295283932713507,0.06857587235406058,0.14536529186174563,0.2747449233317983,0.42389974591743096,0.027830689547460704,0.3829451861202003,0.6392409928376125,0.13979529658633255,0.041036654838871166,0.041036654838871166,1.0,0.5364037726524453,-0.07086285845316379,0.4314294520314622,0.17678799916204735,0.5040775524774003,0.27728702292070345
W_policy_support_liberal,-0.09075544377175437,,-0.22814252192104179,-0.3087142438234567,0.23654890275444204,-0.023039516359548817,0.06147314906940421,0.49892511475035517,-0.06266989371120908,0.9113969284339389,0.3774826352681815,-0.0684338311594006,0.08137991586575034,-0.09266680080719474,0.20483598108445483,0.20483598108445483,0.5364037726524453,1.0,-0.17741259237871387,0.021132839892891535,0.41143796515938724,0.333570068563344,0.43335587313052915
W_prob_maximizing_cards,0.0041929998110736555,,-0.025396286602447773,-0.026488303163197432,-0.06738096936256156,-0.07583688827079155,-0.026472763854595398,-0.07617315675786727,-0.10440267681540955,-0.1682680463678631,0.019422719205192892,-0.12833919723542203,-0.157265220208922,-0.20770736149086552,-0.170985673337704,-0.170985673337704,-0.07086285845316379,-0.17741259237871387,1.0,0.059836053915845004,-0.08817500776612171,-0.20196379569068276,0.011642603211030214
W_proportion_dom_1A,-0.1364428325000889,,0.04240631043108241,0.3190018798663237,0.4417154588755317,0.04398768517198641,0.05847308998070394,-0.1815415175321483,0.4090705523368633,-0.08414467632831318,-0.27647039815484353,0.6179702243095803,0.7027412567942903,0.1373189187376487,-0.21078327926129672,-0.21078327926129672,0.4314294520314622,0.021132839892891535,0.059836053915845004,1.0,0.008652774912272298,0.330646529000629,0.08342418303481744
W_purchase_intent,0.46517745191738696,,0.14163176399270425,-0.23314588377668277,0.004333588804395309,0.21374757446243953,0.009025550538199752,0.4137478780863794,0.10792635327720997,0.5004909032971748,0.28409552019049433,0.04281499618063808,-0.006565416382369562,-0.020827991349333268,0.10528729902772682,0.10528729902772682,0.17678799916204735,0.41143796515938724,-0.08817500776612171,0.008652774912272298,1.0,-0.058135804602362354,0.2990338779978856
W_risk_perception,-0.283127694936292,,-0.11129909980854864,0.14930288243100492,0.26064586338508144,0.15777364225381224,0.023783750417572563,-0.08495471944329724,0.214352983307687,0.2157174061206766,-0.13304750281477243,0.20142679502139668,0.5598931962023485,0.2875067918853433,-0.08573545382675235,-0.08573545382675235,0.5040775524774003,0.333570068563344,-0.20196379569068276,0.330646529000629,-0.058135804602362354,1.0,-0.10257446256531295
