pair_id,group,construct_x,construct_y,label,model,lit_r,lit_direction,needs_citation_check,r_human,n_human,icc_x,icc_y,r_sim,n_sim,sd_x_sim,sd_y_sim,r_sim_ci_lo,r_sim_ci_hi,r_gpt41mini_b0,abs_diff,signed_diff,abs_r_human,abs_r_sim,sign_flip,n_sim_sides,sim_degenerate,n_pol,r_human_disattenuated,abs_r_human_dis,excess_vs_dis
F01,famous,P_political_liberalism,W_policy_support_liberal,self-rated political liberalism x support for liberal policy bundle,sonnet45,0.55,positive,True,0.6932063858370514,2058,,0.9233018893181602,0.9223395342558255,117,1.165055095089822,0.787505584540381,0.8900079019628868,0.9478836057612452,0.89,0.22913314841877408,0.22913314841877408,0.6932063858370514,0.9223395342558255,False,2,False,2,0.7214241769808686,0.7214241769808686,0.2009153572749569
F01,famous,P_political_liberalism,W_policy_support_liberal,self-rated political liberalism x support for liberal policy bundle,sonnet5,0.55,positive,True,0.6932063858370514,2058,,0.9233018893181602,0.9113969284339389,120,1.13260260949018,0.9003018479193223,0.8738468301449634,0.9365680342631794,0.89,0.21819054259688753,0.21819054259688753,0.6932063858370514,0.9113969284339389,False,2,False,2,0.7214241769808686,0.7214241769808686,0.18997275145307035
F02,famous,W_policy_support_liberal,W_perceived_public_support_lib,own policy support x perceived public support (false consensus),sonnet45,0.45,positive,True,0.483181667613522,2058,0.9233018893181602,0.6316392342915025,0.8516252406618631,117,0.787505584540381,3.8777129631954046,0.8037134261676313,0.8893398895797175,0.9695,0.3684435730483411,0.3684435730483411,0.483181667613522,0.8516252406618631,False,2,False,2,0.6327090362830298,0.6327090362830298,0.2189162043788333
F02,famous,W_policy_support_liberal,W_perceived_public_support_lib,own policy support x perceived public support (false consensus),sonnet5,0.45,positive,True,0.483181667613522,2058,0.9233018893181602,0.6316392342915025,0.5364037726524453,120,0.9003018479193223,2.6133913648304397,0.3994193179789126,0.6691943994369703,0.9695,0.05322210503892333,0.05322210503892333,0.483181667613522,0.5364037726524453,False,2,False,2,0.6327090362830298,0.6327090362830298,-0.09630526363058445
F03,famous,W_benefit_perception,W_risk_perception,perceived benefit x perceived risk of same hazards (affect heuristic),sonnet45,-0.35,negative,True,-0.1912671451948858,2058,0.6636961910192111,0.5123508813306387,-0.17108240062534927,117,0.26252517317159685,0.23531118287311784,-0.3463438268659786,-0.0037603927661196113,0.1742,0.020184744569536534,0.020184744569536534,0.1912671451948858,0.17108240062534927,False,2,False,0,-0.3279985843855199,0.3279985843855199,-0.1569161837601706
F03,famous,W_benefit_perception,W_risk_perception,perceived benefit x perceived risk of same hazards (affect heuristic),sonnet5,-0.35,negative,True,-0.1912671451948858,2058,0.6636961910192111,0.5123508813306387,0.20142679502139668,120,0.33257310015510677,0.33209899261569364,0.03095890905345407,0.3857430088184104,0.1742,0.39269394021628246,0.39269394021628246,0.1912671451948858,0.20142679502139668,True,2,False,0,-0.3279985843855199,0.3279985843855199,-0.1265717893641232
F04,famous,P_openness,W_policy_support_liberal,openness to experience x liberal policy support,sonnet45,0.18,positive,True,0.1804032958085611,2058,,0.9233018893181602,0.533728625224513,117,0.931719703692134,0.787505584540381,0.39502838778485055,0.6511359553396655,0.2078,0.35332532941595196,0.35332532941595196,0.1804032958085611,0.533728625224513,False,2,False,1,0.18774682672054963,0.18774682672054963,0.3459817985039634
F04,famous,P_openness,W_policy_support_liberal,openness to experience x liberal policy support,sonnet5,0.18,positive,True,0.1804032958085611,2058,,0.9233018893181602,0.49892511475035517,120,0.640378039608984,0.9003018479193223,0.3036836872705908,0.6642077360297808,0.2078,0.3185218189417941,0.3185218189417941,0.1804032958085611,0.49892511475035517,False,2,False,1,0.18774682672054963,0.18774682672054963,0.3111782880298055
F05,famous,P_conscientiousness,W_policy_support_liberal,conscientiousness x liberal policy support (expected negative),sonnet45,-0.1,negative,True,-0.1314190819221153,2058,,0.9233018893181602,-0.3966367657976295,117,0.6155077886603565,0.787505584540381,-0.5498348754437555,-0.23312708571721563,-0.1097,0.26521768387551425,-0.26521768387551425,0.1314190819221153,0.3966367657976295,False,2,False,1,-0.13676865209595693,0.13676865209595693,0.2598681137016726
F05,famous,P_conscientiousness,W_policy_support_liberal,conscientiousness x liberal policy support (expected negative),sonnet5,-0.1,negative,True,-0.1314190819221153,2058,,0.9233018893181602,-0.3087142438234567,120,0.5460419074630467,0.9003018479193223,-0.47361295933719744,-0.1111182857920782,-0.1097,0.1772951619013414,-0.1772951619013414,0.1314190819221153,0.3087142438234567,False,2,False,1,-0.13676865209595693,0.13676865209595693,0.17194559172749976
