file,model,effect,variant,cond,n,arm_mean,arm_sd
_sonnet5_main.json,sonnet5,Aryani2020_word_arousal,A,,60,50.78333333333334,0.9770751894946093
_sonnet5_main.json,sonnet5,Aryani2020_word_arousal,B,,60,51.036111111111126,0.7007546637486131
_sonnet5_main.json,sonnet5,Asch1946_warm_cold,A,cold,30,51.00740740740741,3.950952724956633
_sonnet5_main.json,sonnet5,Asch1946_warm_cold,A,warm,30,70.45555555555556,1.9268729865180123
_sonnet5_main.json,sonnet5,Asch1946_warm_cold,B,cold,30,51.011111111111106,4.0084376029147455
_sonnet5_main.json,sonnet5,Asch1946_warm_cold,B,warm,30,64.49074074074073,7.124395625703984
_sonnet5_main.json,sonnet5,BlackBarnes2015_transportation,A,fiction,30,56.919047619047625,2.069763972653485
_sonnet5_main.json,sonnet5,BlackBarnes2015_transportation,A,nonfiction,30,36.30952380952381,1.9145285323373447
_sonnet5_main.json,sonnet5,BlackBarnes2015_transportation,B,fiction,30,52.166666666666664,0.9654460978223764
_sonnet5_main.json,sonnet5,BlackBarnes2015_transportation,B,nonfiction,30,47.96666666666666,1.8177819081946094
_sonnet5_main.json,sonnet5,Cao2018_bayesian_pilot,A,,60,50.0,0.0
_sonnet5_main.json,sonnet5,Cao2018_bayesian_pilot,B,,60,52.641666666666666,0.6264427791550922
_sonnet5_main.json,sonnet5,FathKay2018_hierarchy_corruption,A,flat,30,32.714285714285715,1.723783214742669
_sonnet5_main.json,sonnet5,FathKay2018_hierarchy_corruption,A,hierarchical,30,46.45238095238095,1.0128986715465969
_sonnet5_main.json,sonnet5,FathKay2018_hierarchy_corruption,B,flat,30,30.266666666666666,1.3003052144760674
_sonnet5_main.json,sonnet5,FathKay2018_hierarchy_corruption,B,hierarchical,30,48.32380952380952,1.1242130026304842
_sonnet5_main.json,sonnet5,Hoorens2015_more_less_asymmetry,A,less,30,46.75555555555557,4.4538234372139796
_sonnet5_main.json,sonnet5,Hoorens2015_more_less_asymmetry,A,more,30,65.12777777777778,1.9117973574106824
_sonnet5_main.json,sonnet5,Hoorens2015_more_less_asymmetry,B,less,30,40.0388888888889,2.145056044046115
_sonnet5_main.json,sonnet5,Hoorens2015_more_less_asymmetry,B,more,30,57.033333333333324,0.5206833117271108
_sonnet5_main.json,sonnet5,John2016_hiding_information,A,hide,30,55.139999999999986,0.6595958358469742
_sonnet5_main.json,sonnet5,John2016_hiding_information,A,reveal,30,50.50666666666666,3.1936325538309656
_sonnet5_main.json,sonnet5,John2016_hiding_information,B,hide,30,46.49333333333333,1.7834299039273234
_sonnet5_main.json,sonnet5,John2016_hiding_information,B,reveal,30,72.55333333333333,1.219489875134498
_sonnet5_main.json,sonnet5,Klink2000_soundsymbolism,A,,60,50.04861111111111,1.3720964011142287
_sonnet5_main.json,sonnet5,Klink2000_soundsymbolism,B,,60,48.94930555555555,1.824078465754254
_sonnet5_main.json,sonnet5,Knobe2003_side_effect,A,harm,30,95.0,0.0
_sonnet5_main.json,sonnet5,Knobe2003_side_effect,A,help,30,5.666666666666667,1.6996731711975948
_sonnet5_main.json,sonnet5,Knobe2003_side_effect,B,harm,30,90.76666666666667,1.977933826552906
_sonnet5_main.json,sonnet5,Knobe2003_side_effect,B,help,30,6.9,2.5993588953175872
_sonnet5_main.json,sonnet5,Miyamoto2002_correspondence_bias,A,anti_essay,30,28.966666666666665,2.949387883763153
_sonnet5_main.json,sonnet5,Miyamoto2002_correspondence_bias,A,pro_essay,30,68.33333333333333,2.573367875415838
_sonnet5_main.json,sonnet5,Miyamoto2002_correspondence_bias,B,anti_essay,30,27.833333333333332,2.793842435706702
_sonnet5_main.json,sonnet5,Miyamoto2002_correspondence_bias,B,pro_essay,30,63.86666666666667,2.0933757957476775
_sonnet5_main.json,sonnet5,Rottenstreich2001_affective_lottery,A,certainty,30,38.43333333333333,9.286848526575392
_sonnet5_main.json,sonnet5,Rottenstreich2001_affective_lottery,A,low_probability,30,65.4,2.8354893757515645
_sonnet5_main.json,sonnet5,Rottenstreich2001_affective_lottery,B,certainty,30,35.06666666666667,10.006442369238373
_sonnet5_main.json,sonnet5,Rottenstreich2001_affective_lottery,B,low_probability,30,65.6,1.8000000000000003
_sonnet5_main.json,sonnet5,Tamir2012_selfdisclosure,A,,60,49.4775,3.102088342283845
_sonnet5_main.json,sonnet5,Tamir2012_selfdisclosure,B,,60,57.8825,3.87897994538083
_sonnet5_main.json,sonnet5,Valdesolo2007_hypocrisy,A,ingroup_actor,15,16.333333333333332,2.2110831935702664
_sonnet5_main.json,sonnet5,Valdesolo2007_hypocrisy,A,other_actor,15,7.6,1.019803902718557
_sonnet5_main.json,sonnet5,Valdesolo2007_hypocrisy,A,outgroup_actor,15,7.8,0.7483314773547886
_sonnet5_main.json,sonnet5,Valdesolo2007_hypocrisy,A,self_actor,15,26.0,2.0
_sonnet5_main.json,sonnet5,Valdesolo2007_hypocrisy,B,ingroup_actor,15,8.0,0.0
_sonnet5_main.json,sonnet5,Valdesolo2007_hypocrisy,B,other_actor,15,8.0,0.0
_sonnet5_main.json,sonnet5,Valdesolo2007_hypocrisy,B,outgroup_actor,15,8.266666666666667,0.9977753031397177
_sonnet5_main.json,sonnet5,Valdesolo2007_hypocrisy,B,self_actor,15,35.333333333333336,1.2472191289246475
_sonnet5_main.json,sonnet5,Weinstein1984_comparative_optimism,A,,60,26.416666666666675,2.589283470168704
_sonnet5_main.json,sonnet5,Weinstein1984_comparative_optimism,B,,60,29.8975,1.6902027738311955
_sonnet45_main.json,sonnet45,Aryani2020_word_arousal,A,,60,49.27222222222222,0.8052010714300493
_sonnet45_main.json,sonnet45,Aryani2020_word_arousal,B,,60,50.194722222222225,1.2759727286744758
_sonnet45_main.json,sonnet45,Asch1946_warm_cold,A,cold,30,39.65205942205943,2.85845634357811
