effect,r_sim,r_bare,r_o,r_r,n_o,n_r,paradigm_class,wave,z_sim,z_bare,z_o,z_r,var_o,var_r,z_sim_r,z_bare_r,replaced
Aryani2020_word_arousal,0.997083,0.999408,0.4179056082321443,0.7214033188451836,28.0,25.0,linguistic_intuition,P2,2.6466524123622457,2.6466524123622457,0.4451517591476822,0.9105649857560216,0.04,0.0454545454545454,2.6466524123622457,2.6466524123622457,True
Asch1946_warm_cold,1.0,1.0,0.6508,0.1966,166.0,183.0,trait_inference,A0A1,2.6466524123622457,2.6466524123622457,0.7766852369564898,0.1991933795153748,0.0061349693251533,0.0055555555555555,-0.8594441439686349,1.6207681714909492,True
Bauer2012_consumer_cues,0.1336305,0.654654,0.2561582384877227,0.0598922907279467,77.0,6608.0,social_judgment,P2,0.1344345507604166,0.7834001947474628,0.261992499538448,0.0599640581953339,0.0135135135135135,0.0001514004542013,0.1344345507604166,0.7834001947474628,False
BlackBarnes2015_transportation,0.9901085,0.932446,0.3261363455467632,0.0099995000374968,60.0,594.0,social_imagery,P2,2.6466524123622457,1.6768072794716,0.3384985964017,0.0099998333408328,0.0175438596491228,0.0016920473773265,2.304660287304781,2.1557101238425096,True
Cao2018_bayesian_pilot,0.9945875,0.914407,0.4358898943540673,0.5099019513592785,348.0,36.0,jdm_bias,P2,2.6466524123622457,1.5537798444913251,0.4671453081032619,0.5625972622359134,0.0028985507246376,0.0303030303030303,2.506393718525236,1.0855842131379767,True
Chao2017_thankyou_gift,0.0,-0.7337993857053428,0.1015,0.0519,519.0,2441.0,incentive,A0A1,0.0,-0.9369101212637072,0.101850730009392,0.0519466749106575,0.001937984496124,0.0004101722723543,0.0,-0.9369101212637072,False
Cooney2016_fairness,0.3154788628195392,0.0995037190209988,0.5657,0.1211,120.0,132.0,moral_judgment,A0A1,0.3266182542848764,0.0998340788992074,0.6411763738883505,0.1216972497944741,0.0085470085470085,0.0077519379844961,0.3266182542848764,0.0998340788992074,False
Correll2007_motherhood_penalty,0.0,0.0,0.3909112646207652,0.0354409589117305,94.0,198.0,social_judgment,P2,0.0,0.0,0.41287521679311,0.0354558087802284,0.0109890109890109,0.0051282051282051,0.0,0.0,False
DeNeve1998_swb_neuroticism,-0.2669445,1.0,-0.22,-0.54,7869.0,1559.0,questionnaire,P2,-0.2735709799223469,2.6466524123622457,-0.2236561090218324,-0.6041556029622671,0.0001271294177472,0.0006426735218508,-0.2735709799223469,2.6466524123622457,False
DogerliogluDemir2014_incidental_anchor,0.0648195,0.563854,0.2606658522907645,0.0549170007571354,58.0,144.0,jdm_bias,P2,0.0649105107129251,0.6384657583418731,0.2668226669099408,0.0549723085118351,0.0181818181818181,0.0070921985815602,0.0649105107129251,0.6384657583418731,False
