family,param,mean,hdi_2.5,hdi_97.5
claude,b_bare,0.482,0.327,0.643
claude,b_rep,1.085,0.608,1.616
claude,b_pub,-0.244,-0.908,0.437
claude,sigma,0.416,0.31,0.536
claude,sd_eff,0.481,0.295,0.678
claude,b_model,-0.096,-0.299,0.108
claude,P_pub_gt0,0.23083333333333333,,
gpt,b_bare,0.488,0.202,0.781
gpt,b_rep,0.71,0.018,1.402
gpt,b_pub,-0.539,-1.426,0.256
gpt,sigma,0.822,0.636,1.021
gpt,P_pub_gt0,0.10666666666666667,,
ds,b_bare,0.457,0.282,0.641
ds,b_rep,0.611,0.13,1.111
ds,b_pub,-0.308,-0.863,0.236
ds,sigma,0.52,0.406,0.641
ds,P_pub_gt0,0.1275,,
