effect,variant,r_sim,ci_lo,ci_hi,n_ok,parse_rate,n_refusal,group,stat,n_parsed,n_denom,parse_mode,flag
Aryani2020_word_arousal,A,0.999208,0.998566,0.999685,40,1.0,0,0,paired_zero,40,40,2,
Aryani2020_word_arousal,B,0.999776,0.999644,0.999917,40,1.0,0,0,paired_zero,40,40,2,
Bauer2012_consumer_cues,A,0.0,0.0,0.0,40,1.0,0,0,between,40,40,2,zero_var
Bauer2012_consumer_cues,B,0.0,0.0,0.0,40,1.0,0,0,between,40,40,2,zero_var
BlackBarnes2015_transportation,A,0.996158,0.993833,0.998059,40,1.0,0,0,between,40,40,2,
BlackBarnes2015_transportation,B,0.994371,0.991964,0.996981,40,1.0,0,0,between,40,40,2,
Cao2018_bayesian_pilot,A,1.0,1.0,1.0,40,1.0,0,0,paired_zero,40,40,2,zero_var
Cao2018_bayesian_pilot,B,0.980246,0.979796,0.983415,40,1.0,0,0,paired_zero,40,40,2,
Correll2007_motherhood_penalty,A,0.487538,0.212664,0.734024,40,1.0,0,0,between,40,40,2,
Correll2007_motherhood_penalty,B,-0.860414,-0.975964,-0.693803,40,1.0,0,0,between,40,40,2,
DeNeve1998_swb_neuroticism,A,-0.048783,-0.103366,-0.025641,40,1.0,0,0,pearson,40,40,2,
DeNeve1998_swb_neuroticism,B,,,,40,1.0,0,0,pearson,40,40,2,no_variance
DogerliogluDemir2014_incidental_anchor,A,0.104828,-0.204124,0.419085,40,1.0,0,0,between,40,40,2,
DogerliogluDemir2014_incidental_anchor,B,-0.375434,-0.562625,-0.124177,40,1.0,0,0,between,40,40,2,
FathKay2018_hierarchy_corruption,A,0.993087,0.989995,0.997425,40,1.0,0,0,between,40,40,2,
FathKay2018_hierarchy_corruption,B,1.0,1.0,1.0,40,1.0,0,0,between,40,40,2,
Fetherstonhaugh1997_psychophysical_numbing,A,0.0,0.0,0.0,40,1.0,0,0,between,40,40,2,zero_var
Fetherstonhaugh1997_psychophysical_numbing,B,0.850291,0.813856,0.899482,40,1.0,0,0,between,40,40,2,
Finucane2000_affect_heuristic,A,-0.70506,-0.720502,-0.68924,40,1.0,0,1,corr_within,40,40,strict,
Finucane2000_affect_heuristic,B,-0.601807,-0.616707,-0.587117,40,1.0,0,1,corr_within,40,40,strict,
Glikson2017_smiley_competence,A,-0.396526,-0.628997,-0.158598,40,1.0,0,1,two_group,40,40,strict,
Glikson2017_smiley_competence,B,0.75722,0.58269,0.904534,40,1.0,0,1,two_group,40,40,strict,
Hoorens2015_more_less_asymmetry,A,0.944911,0.914489,0.970888,40,1.0,0,1,two_group,40,40,strict,
Hoorens2015_more_less_asymmetry,B,0.96934,0.949031,0.991416,40,1.0,0,1,two_group,40,40,strict,
Huang2019_anthropomorphism_holistic,A,0.0,0.0,0.0,40,1.0,0,1,phi,40,40,strict,
Huang2019_anthropomorphism_holistic,B,0.0,0.0,0.0,40,1.0,0,1,phi,40,40,strict,
John2016_hiding_information,A,0.380671,0.089291,0.68191,40,1.0,0,1,two_group,40,40,strict,
John2016_hiding_information,B,0.988894,0.985216,0.994118,40,1.0,0,1,two_group,40,40,strict,
KimMarkus1999_uniqueness_preference,A,-0.859727,-1.0,-0.733799,40,1.0,0,1,two_group,40,40,strict,
KimMarkus1999_uniqueness_preference,B,0.420084,0.229416,0.57735,40,1.0,0,1,two_group,40,40,strict,
McCullough2002_gratitude_agreeableness,A,0.0,0.0,0.0,40,1.0,0,2,pearson,40,40,strict,no_variance
McCullough2002_gratitude_agreeableness,B,0.0,0.0,0.0,40,1.0,0,2,pearson,40,40,strict,no_variance
Mellers2001_conjunction_frequency,A,0.982637,0.973415,0.995997,20,1.0,0,2,one_sample,40,40,strict,
Mellers2001_conjunction_frequency,B,0.991818,0.982751,0.999041,20,1.0,0,2,one_sample,40,40,strict,
Park2019_scarcity_price_quality,A,0.0,0.0,0.0,40,1.0,0,2,two_group,40,40,strict,zero_var
Park2019_scarcity_price_quality,B,0.0,0.0,0.0,40,1.0,0,2,two_group,40,40,strict,zero_var
Paunonen2003_attractiveness_extraversion,A,0.339354,0.079252,0.587341,40,1.0,0,2,pearson,40,40,strict,
Paunonen2003_attractiveness_extraversion,B,0.525217,-0.036736,0.942889,40,1.0,0,2,pearson,40,40,strict,
Peters2006_numeracy_framing,A,,,,40,1.0,0,2,peters,40,40,strict,obj_const
Peters2006_numeracy_framing,B,,,,40,1.0,0,2,peters,40,40,strict,obj_const
Reinhard2013_unconscious_lie_detection,A,0.0,0.0,0.0,40,1.0,0,2,two_group,40,40,strict,zero_var
Reinhard2013_unconscious_lie_detection,B,0.0,0.0,0.0,40,1.0,0,2,two_group,40,40,strict,zero_var
Stevenson2000_web_brand_attitude,A,1.0,1.0,1.0,40,1.0,0,2,pearson,40,40,strict,
Stevenson2000_web_brand_attitude,B,0.551902,0.396857,0.703419,40,1.0,0,2,pearson,40,40,strict,
Thoresen2003_commitment_negative_affect,A,0.031483,-0.246756,0.326462,40,1.0,0,2,pearson,40,40,strict,
Thoresen2003_commitment_negative_affect,B,0.193809,0.0,0.378615,40,1.0,0,2,pearson,40,40,strict,
Weinstein1984_comparative_optimism,A,-0.992637,-0.996365,-0.988408,40,1.0,0,2,one_sample,40,40,strict,
Weinstein1984_comparative_optimism,B,-0.962874,-0.97439,-0.952713,40,1.0,0,2,one_sample,40,40,strict,
