effect,variant,r_sim,ci_lo,ci_hi,n_ok,parse_rate,parse_rate_strict,n_used,n_denom,n_refused,n_parse_fail,n_refusal_text,parse_tier_max,stat,zero_var,flag
Asch1946_warm_cold,A,1.0,1.0,1.0,40,1.0,1.0,40,40,0,0,0,1,phi,2,zero_variance
Asch1946_warm_cold,B,1.0,1.0,1.0,40,1.0,1.0,40,40,0,0,0,1,phi,2,zero_variance
Chao2017_thankyou_gift,A,0.0,0.0,0.0,40,1.0,1.0,27,40,0,0,0,1,phi,2,n_offcontrast=13;zero_variance
Chao2017_thankyou_gift,B,0.0,0.0,0.0,39,0.975,,26,40,0,1,1,1,phi,2,prose_refusals=1;custom_parser;n_offcontrast=13;zero_variance
Cooney2016_fairness,A,0.913928556143862,0.8836691883592207,0.9547859244962513,40,1.0,1.0,40,40,0,0,0,1,between,0,
Cooney2016_fairness,B,0.8597269536210952,0.7337993857053429,1.0,40,1.0,1.0,40,40,0,0,0,1,between,1,zero_variance
Eyal2008_moral_distance,A,-0.2860280321207882,-0.593168259783776,0.024777039909436135,40,1.0,0.0,40,40,0,0,0,3,between,0,
Eyal2008_moral_distance,B,0.5386128809807476,0.3354287212020181,0.7158987692126175,40,1.0,0.975,40,40,0,0,0,2,between,0,
Genschow2017_free_will_attribution,A,-0.46059761746407607,-0.6622948004138225,-0.2209203192890299,40,1.0,1.0,40,40,0,0,0,1,between,0,
Genschow2017_free_will_attribution,B,-0.11498051245456847,-0.44852365434834196,0.18506682485197734,40,1.0,1.0,40,40,0,0,0,1,between,0,
Husnu2010_imagined_contact,A,0.7762154728237812,0.6537333079996757,0.8958387710793894,40,1.0,0.775,40,40,0,0,0,3,between,0,
Husnu2010_imagined_contact,B,0.9376899487624376,0.9166633553445764,0.9674923703075307,40,1.0,1.0,40,40,0,0,0,1,between,0,
Klink2000_soundsymbolism,A,1.0,1.0,1.0,40,1.0,1.0,40,40,0,0,0,1,paired_zero,1,zero_variance
Klink2000_soundsymbolism,B,0.9974167214755675,0.9941908999736587,0.9996587941335751,40,1.0,1.0,40,40,0,0,0,1,paired_zero,0,
Knobe2003_side_effect,A,1.0,1.0,1.0,40,1.0,1.0,40,40,0,0,0,1,phi,2,zero_variance
Knobe2003_side_effect,B,1.0,1.0,1.0,40,1.0,1.0,40,40,0,0,0,1,phi,2,zero_variance
Miyamoto2002_correspondence_bias,A,0.9945860836008747,0.9846630514940726,1.0,40,1.0,1.0,40,40,0,0,0,1,between,1,zero_variance
Miyamoto2002_correspondence_bias,B,0.9510448211356668,0.9441731978881218,0.9649012813540153,40,1.0,1.0,40,40,0,0,0,1,between,0,
Oppenheimer2009_retrospective_gambler,A,-0.1190067932783565,-0.6735228041739404,0.22301850228785325,40,1.0,1.0,27,40,0,0,0,1,between,0,n_offcontrast=13
Oppenheimer2009_retrospective_gambler,B,0.5895629941762764,0.41148721189081733,0.7470658368807902,40,1.0,1.0,27,40,0,0,0,1,between,0,n_offcontrast=13
Rottenstreich2001_affective_lottery,A,1.0,1.0,1.0,40,1.0,1.0,40,40,0,0,0,1,phi,2,zero_variance
Rottenstreich2001_affective_lottery,B,-0.5388159060803248,-0.693888666488711,-0.3779644730092272,40,1.0,1.0,40,40,0,0,0,1,phi,1,zero_variance
Tamir2012_selfdisclosure,A,0.35355339059327373,0.158113883008419,0.47434164902525694,40,1.0,1.0,40,40,0,0,0,1,paired_zero,0,
Tamir2012_selfdisclosure,B,0.0,0.0,0.0,40,1.0,1.0,40,40,0,0,0,1,paired_zero,1,zero_variance
Tversky1973_availability_letters,A,-1.0,-1.0,-1.0,40,1.0,0.0,40,40,0,0,0,2,prop_vs_half,1,zero_variance
Tversky1973_availability_letters,B,-0.95,-1.0,-0.85,40,1.0,1.0,40,40,0,0,0,1,prop_vs_half,0,
Valdesolo2007_hypocrisy,A,0.7808688094430304,0.6767593143593279,0.8945519128298058,40,1.0,1.0,40,40,0,0,0,1,between,0,
Valdesolo2007_hypocrisy,B,0.5632351276341859,0.3339638738210318,0.7500452352889027,40,1.0,1.0,40,40,0,0,0,1,between,0,
