effect,model,r_sim,r_sim_all,variant_spread,refusal_rate,r_bare,r_o,r_r,n_o,n_r,paradigm_class,wave,z_sim,z_bare,z_o,z_r,D_pub,var_o,var_r
Ackerman2010_haptic_weight,sonnet5,0.0,0.0,0.0,,,0.26111568302638,0.063,54.0,599.0,social_priming,P2,0.0,,0.2673053510669907,0.06308354805176287,0.20422180301522785,0.0196078431372549,0.0016778523489932886
Ackerman2010_haptic_weight,sonnet45,,,,,,0.26111568302638,0.063,54.0,599.0,social_priming,P2,,,0.2673053510669907,0.06308354805176287,0.20422180301522785,0.0196078431372549,0.0016778523489932886
Aryani2020_word_arousal,sonnet5,0.99935,0.9992,0.00019999999999997797,,0.9999,0.4179056082321443,0.7214033188451836,28.0,25.0,linguistic_intuition,P2,2.6466524123622457,2.6466524123622457,0.44515175914768224,0.9105649857560215,-0.4654132266083393,0.04,0.045454545454545456
Aryani2020_word_arousal,sonnet45,0.99985,0.9992000000000001,0.001000000000000112,,0.9997,0.4179056082321443,0.7214033188451836,28.0,25.0,linguistic_intuition,P2,2.6466524123622457,2.6466524123622457,0.44515175914768224,0.9105649857560215,-0.4654132266083393,0.04,0.045454545454545456
Bauer2012_consumer_cues,sonnet5,0.0,0.0,0.09285,,0.0,0.2561582384877227,0.0598922907279467,77.0,6608.0,social_judgment,P2,0.0,0.0,0.261992499538448,0.059964058195333916,0.2020284413431141,0.013513513513513514,0.0001514004542013626
Bauer2012_consumer_cues,sonnet45,-0.27215,-0.12135,0.21880000000000005,,0.0,0.2561582384877227,0.0598922907279467,77.0,6608.0,social_judgment,P2,-0.27918433923257446,0.0,0.261992499538448,0.059964058195333916,0.2020284413431141,0.013513513513513514,0.0001514004542013626
BlackBarnes2015_transportation,sonnet5,0.99015,0.9862,0.0014999999999999458,,0.994,0.3261363455467632,0.0099995000374968,60.0,594.0,social_imagery,P2,2.6466524123622457,2.6466524123622457,0.3384985964017,0.009999833340832813,0.32849876306086717,0.017543859649122806,0.001692047377326565
BlackBarnes2015_transportation,sonnet45,0.9965999999999999,0.99115,0.04305000000000003,,0.9742,0.3261363455467632,0.0099995000374968,60.0,594.0,social_imagery,P2,2.6466524123622457,2.168772020028107,0.3384985964017,0.009999833340832813,0.32849876306086717,0.017543859649122806,0.001692047377326565
Blank2022_double_misinformation,sonnet5,,,,,,-0.69,-0.385,96.0,229.0,verifiable,P2,,,-0.8479557552189635,-0.4059165754074605,-0.442039179811503,0.010752688172043012,0.004424778761061947
Blank2022_double_misinformation,sonnet45,,,,,,-0.69,-0.385,96.0,229.0,verifiable,P2,,,-0.8479557552189635,-0.4059165754074605,-0.442039179811503,0.010752688172043012,0.004424778761061947
Cao2018_bayesian_pilot,sonnet5,0.99095,0.9907,0.0907,,0.7746,0.4358898943540673,0.5099019513592785,348.0,36.0,jdm_bias,P2,2.6466524123622457,1.0317268613977806,0.46714530810326194,0.5625972622359134,-0.0954519541326515,0.002898550724637681,0.030303030303030304
Cao2018_bayesian_pilot,sonnet45,0.9983,0.9751000000000001,0.06219999999999992,,0.0,0.4358898943540673,0.5099019513592785,348.0,36.0,jdm_bias,P2,2.6466524123622457,0.0,0.46714530810326194,0.5625972622359134,-0.0954519541326515,0.002898550724637681,0.030303030303030304
CarterGilovich2012_experiential_self,sonnet5,0.9381999999999999,0.8908499999999999,0.1635000000000001,,,0.1823885229561945,0.3090860723375581,121.0,743.0,introspective_recall,P2,1.7228058109184017,,0.18445229337478944,0.319534632000572,-0.1350823386257826,0.00847457627118644,0.0013513513513513514
CarterGilovich2012_experiential_self,sonnet45,0.39165,0.5271,0.28600000000000003,,,0.1823885229561945,0.3090860723375581,121.0,743.0,introspective_recall,P2,0.41374749913188524,,0.18445229337478944,0.319534632000572,-0.1350823386257826,0.00847457627118644,0.0013513513513513514
Caruso2013_money_priming,sonnet5,0.7663,0.67405,0.5294,,,0.3713906763541036,-0.0099995000374968,30.0,6340.0,social_priming,P2,1.0113020003082926,,0.39003531977071515,-0.009999833340832813,0.40003515311154797,0.037037037037037035,0.00015780337699226762
Caruso2013_money_priming,sonnet45,0.60315,0.2776,0.43965,,,0.3713906763541036,-0.0099995000374968,30.0,6340.0,social_priming,P2,0.6980836736212832,,0.39003531977071515,-0.009999833340832813,0.40003515311154797,0.037037037037037035,0.00015780337699226762
Correll2007_motherhood_penalty,sonnet5,-0.20145,-0.1396,0.36555,,-0.6325,0.3909112646207652,0.0354409589117305,94.0,198.0,social_judgment,P2,-0.20424342827996772,-0.7455722712488473,0.41287521679311,0.03545580878022845,0.37741940801288154,0.01098901098901099,0.005128205128205128
Correll2007_motherhood_penalty,sonnet45,-0.4455,-0.1009,0.3452,,,0.3909112646207652,0.0354409589117305,94.0,198.0,social_judgment,P2,-0.4790718773329895,,0.41287521679311,0.03545580878022845,0.37741940801288154,0.01098901098901099,0.005128205128205128
DeNeve1998_swb_neuroticism,sonnet5,-0.5275000000000001,-0.4928,0.01805000000000001,,0.7482,-0.22,-0.54,7869.0,1559.0,questionnaire,P2,-0.5866749720559765,0.9688534222680704,-0.22365610902183242,-0.6041556029622671,0.3804994939404347,0.0001271294177472667,0.0006426735218508997
DeNeve1998_swb_neuroticism,sonnet45,-0.12115000000000004,-0.694,0.44310000000000005,,,-0.22,-0.54,7869.0,1559.0,questionnaire,P2,-0.12174799428031623,,-0.22365610902183242,-0.6041556029622671,0.3804994939404347,0.0001271294177472667,0.0006426735218508997
DogerliogluDemir2014_incidental_anchor,sonnet5,0.43674999999999997,0.3087,0.20034999999999997,,-0.3333,0.2606658522907645,0.0549170007571354,58.0,144.0,jdm_bias,P2,0.4682076590377485,-0.3465360907486992,0.26682266690994083,0.05497230851183513,0.2118503583981057,0.01818181818181818,0.0070921985815602835
DogerliogluDemir2014_incidental_anchor,sonnet45,-0.1415,-0.1415,0.16444999999999999,,-0.5774,0.2606658522907645,0.0549170007571354,58.0,144.0,jdm_bias,P2,-0.14245589281615997,-0.6585535478909671,0.26682266690994083,0.05497230851183513,0.2118503583981057,0.01818181818181818,0.0070921985815602835
Elliot2010_red_attraction,sonnet5,0.5,0.28735,0.78735,,,0.3911406403448517,-0.114247022914439,33.0,28.0,social_priming,P2,0.5493061443340549,,0.4131459948322174,-0.11474801758198483,0.5278940124142022,0.03333333333333333,0.04
Elliot2010_red_attraction,sonnet45,0.0,0.1141,0.023599999999999996,,,0.3911406403448517,-0.114247022914439,33.0,28.0,social_priming,P2,0.0,,0.4131459948322174,-0.11474801758198483,0.5278940124142022,0.03333333333333333,0.04
FathKay2018_hierarchy_corruption,sonnet5,0.9872,0.9864999999999999,0.0023499999999999632,,0.9586,0.2049390153191919,0.282842712474619,405.0,321.0,social_judgment,P2,2.5225183604067927,1.9283521652277127,0.20788270647392612,0.29076928903725163,-0.08288658256332551,0.0024875621890547263,0.0031446540880503146
FathKay2018_hierarchy_corruption,sonnet45,0.9848,0.9848,0.017799999999999927,,0.8853,0.2049390153191919,0.282842712474619,405.0,321.0,social_judgment,P2,2.4359890022626804,1.399761107138606,0.20788270647392612,0.29076928903725163,-0.08288658256332551,0.0024875621890547263,0.0031446540880503146
Fetherstonhaugh1997_psychophysical_numbing,sonnet5,0.148,-0.04165,0.019200000000000016,,0.0,0.7414562912379874,0.4919138057920608,162.0,1606.0,jdm_bias,P2,0.149095025025098,0.0,0.9537061126872061,0.5385819506774197,0.4151241620097864,0.006289308176100629,0.0006238303181534623
Fetherstonhaugh1997_psychophysical_numbing,sonnet45,-0.1431,-0.1431,0.25029999999999997,,0.0,0.7414562912379874,0.4919138057920608,162.0,1606.0,jdm_bias,P2,-0.1440889616783298,0.0,0.9537061126872061,0.5385819506774197,0.4151241620097864,0.006289308176100629,0.0006238303181534623
Finucane2000_affect_heuristic,sonnet5,-0.688732,-0.688732,0.07566649999999986,0.0,-0.661294,-0.75,-0.87,219.0,776.0,jdm_bias,P2,-0.8455394765071356,-0.7951098106488962,-0.9729550745276566,-1.3330796296965248,0.3601245551688682,0.004629629629629629,0.00129366106080207
Finucane2000_affect_heuristic,sonnet45,-0.8054945,-0.7879175,0.039119000000000015,0.0,-0.728538,-0.75,-0.87,219.0,776.0,jdm_bias,P2,-1.1140646770858191,-0.9256045385444509,-0.9729550745276566,-1.3330796296965248,0.3601245551688682,0.004629629629629629,0.00129366106080207
Galinsky2006_power_perspective,sonnet5,0.0,0.0,0.0,0.0,,0.3592917377421468,0.0149983127847122,42.0,2969.0,introspective_recall,P2,0.0,,0.37607241888475235,0.014999437556945456,0.3610729813278069,0.02564102564102564,0.00033715441672285906
Galinsky2006_power_perspective,sonnet45,0.0,0.0,0.0,0.0,,0.3592917377421468,0.0149983127847122,42.0,2969.0,introspective_recall,P2,0.0,,0.37607241888475235,0.014999437556945456,0.3610729813278069,0.02564102564102564,0.00033715441672285906
Gervais2012_analytic_priming,sonnet5,0.4005355,0.2668225,0.00985050000000004,0.0,,0.2873478855663454,0.0349785821756186,57.0,952.0,social_priming,P2,0.42428659288399323,,0.29567304756342244,0.03499285810293737,0.2606801894604851,0.018518518518518517,0.001053740779768177
Gervais2012_analytic_priming,sonnet45,0.210233,0.1212975,0.0,0.6764705882352942,,0.2873478855663454,0.0349785821756186,57.0,952.0,social_priming,P2,0.21341510839337868,,0.29567304756342244,0.03499285810293737,0.2606801894604851,0.018518518518518517,0.001053740779768177
Giessner2007_vertical_power,sonnet5,0.9703615000000001,0.966475,0.10163749999999994,0.0,,0.2638110893282788,0.0149983127847122,64.0,7890.0,social_priming,P2,2.0984490577878665,,0.27020017549472614,0.014999437556945456,0.2552007379377807,0.01639344262295082,0.00012679092177000128
