effect,model,r_bare,n_ok,n_seeds,n_denom,n_refused,parse_rate,r_bare_indiv,stat,abs_primary,flag
Aryani2020_word_arousal,sonnet45,0.9997,30,5,30,0,1.0,0.9986,paired_zero,False,
Aryani2020_word_arousal,sonnet5,0.9999,30,5,30,0,1.0,0.9984,paired_zero,False,
Bauer2012_consumer_cues,sonnet45,0.0,30,5,30,0,1.0,0.0,between,False,
Bauer2012_consumer_cues,sonnet5,0.0,30,5,30,0,1.0,0.0,between,False,
BlackBarnes2015_transportation,sonnet45,0.9742,30,5,30,0,1.0,0.9732,between,False,
BlackBarnes2015_transportation,sonnet5,0.994,30,5,30,0,1.0,0.986,between,False,
Blank2022_double_misinformation,sonnet45,,30,5,30,0,1.0,,pearson,True,no_variance
Blank2022_double_misinformation,sonnet5,,30,5,30,0,1.0,,pearson,True,no_variance
Cao2018_bayesian_pilot,sonnet45,0.0,30,5,30,0,1.0,0.0,paired_zero,False,
Cao2018_bayesian_pilot,sonnet5,0.7746,30,5,30,0,1.0,0.7746,paired_zero,False,
Correll2007_motherhood_penalty,sonnet45,,6,1,30,0,0.2,0.0,between,False,low_parse
Correll2007_motherhood_penalty,sonnet5,-0.6325,30,5,30,0,1.0,-0.414,between,False,
DeNeve1998_swb_neuroticism,sonnet45,,6,1,30,0,0.2,0.0,pearson,False,low_parse
DeNeve1998_swb_neuroticism,sonnet5,0.7482,30,5,30,0,1.0,0.5084,pearson,False,
DogerliogluDemir2014_incidental_anchor,sonnet45,-0.5774,18,3,30,0,0.6,-0.2357,between,False,
DogerliogluDemir2014_incidental_anchor,sonnet5,-0.3333,30,5,30,0,1.0,-0.1857,between,False,
FathKay2018_hierarchy_corruption,sonnet45,0.8853,21,3,21,9,1.0,0.864,between,False,
FathKay2018_hierarchy_corruption,sonnet5,0.9586,30,5,30,0,1.0,0.9491,between,False,
Fetherstonhaugh1997_psychophysical_numbing,sonnet45,0.0,30,5,30,0,1.0,0.0,between,False,
Fetherstonhaugh1997_psychophysical_numbing,sonnet5,0.0,30,5,30,0,1.0,0.0,between,False,
