effect,model,r_bare,n_ok,r_bare_seedagg,n_seed_units,parse_rate,n_refusal,n_parse_fail,n_seeds,degenerate
McCullough2002_gratitude_agreeableness,sonnet45,0.000000,30,0.000000,5,1.000000,0,0,5,1
McCullough2002_gratitude_agreeableness,sonnet5,0.616061,30,0.614978,5,1.000000,0,0,5,0
Mellers2001_conjunction_frequency,sonnet45,-0.612531,15,-0.760204,10,1.000000,0,0,5,0
Mellers2001_conjunction_frequency,sonnet5,0.613151,15,0.969923,10,1.000000,0,0,5,0
Park2019_scarcity_price_quality,sonnet45,,15,,5,1.000000,15,0,5,1
Park2019_scarcity_price_quality,sonnet5,0.000000,30,0.000000,10,1.000000,0,0,5,1
Paunonen2003_attractiveness_extraversion,sonnet45,0.064633,30,-0.003374,5,1.000000,0,0,5,0
Paunonen2003_attractiveness_extraversion,sonnet5,0.075714,30,-0.112541,5,1.000000,0,0,5,0
Peters2006_numeracy_framing,sonnet45,,30,,10,1.000000,0,0,5,1
Peters2006_numeracy_framing,sonnet5,0.059358,30,0.138498,10,1.000000,0,0,5,1
Reinhard2013_unconscious_lie_detection,sonnet45,0.000000,30,0.000000,10,1.000000,0,0,5,1
Reinhard2013_unconscious_lie_detection,sonnet5,0.000000,30,0.000000,10,1.000000,0,0,5,1
Stevenson2000_web_brand_attitude,sonnet45,0.000000,30,0.000000,10,1.000000,0,0,5,1
Stevenson2000_web_brand_attitude,sonnet5,0.771641,30,0.969594,10,1.000000,0,0,5,0
Thoresen2003_commitment_negative_affect,sonnet45,-0.466420,20,-0.636950,5,0.666667,0,10,5,0
Thoresen2003_commitment_negative_affect,sonnet5,0.316124,30,0.586357,5,1.000000,0,0,5,0
Weinstein1984_comparative_optimism,sonnet45,,1,,1,0.033333,0,29,5,1
Weinstein1984_comparative_optimism,sonnet5,-0.997840,29,-0.999426,5,0.966667,0,1,5,0
