effect,model,r_bare,n_ok
Asch1946_warm_cold,sonnet5,0.0,30
Asch1946_warm_cold,sonnet45,0.0,27
Chao2017_thankyou_gift,sonnet5,0.0,30
Chao2017_thankyou_gift,sonnet45,0.18236652969492986,22
Cooney2016_fairness,sonnet5,0.9156284542458347,30
Cooney2016_fairness,sonnet45,0.4349588362008402,30
Eyal2008_moral_distance,sonnet5,-0.17960530202677497,12
Eyal2008_moral_distance,sonnet45,0.11046360495020106,30
Genschow2017_free_will_attribution,sonnet5,0.13385275499770613,30
Genschow2017_free_will_attribution,sonnet45,0.280384791752786,30
Husnu2010_imagined_contact,sonnet5,0.5381791589471991,16
Husnu2010_imagined_contact,sonnet45,0.0,18
Klink2000_soundsymbolism,sonnet5,0.9960238411119947,30
Klink2000_soundsymbolism,sonnet45,0.9963611234667511,30
Knobe2003_side_effect,sonnet5,1.0,30
Knobe2003_side_effect,sonnet45,0.9354143466934854,30
Miyamoto2002_correspondence_bias,sonnet5,0.0,30
Miyamoto2002_correspondence_bias,sonnet45,0.0,30
Oppenheimer2009_retrospective_gambler,sonnet5,0.0,30
Oppenheimer2009_retrospective_gambler,sonnet45,-0.18279192495338048,30
Rottenstreich2001_affective_lottery,sonnet5,0.2672612419124244,30
Rottenstreich2001_affective_lottery,sonnet45,0.0,24
Tamir2012_selfdisclosure,sonnet5,-0.9916316520429012,30
Tamir2012_selfdisclosure,sonnet45,-0.9899106782010801,30
Tversky1973_availability_letters,sonnet5,-1.0,30
Tversky1973_availability_letters,sonnet45,0.9700714025076449,30
Valdesolo2007_hypocrisy,sonnet5,0.0,30
Valdesolo2007_hypocrisy,sonnet45,0.3082573996425541,30
