effect,variant,model,persona,r_sim,ci_lo,ci_hi,n_ok,parse_rate,n_denom,n_refused,parse_tier,stat,abs_primary,zero_var,flag
Ackerman2010_haptic_weight,A,sonnet45,demographic,,,,26,0.963,27,27,1.0,between,False,0,no_contrast
Ackerman2010_haptic_weight,A,sonnet45,none,,,,4,0.1481,27,27,1.0,between,False,0,low_parse;no_contrast
Ackerman2010_haptic_weight,A,sonnet5,demographic,0.0,0.0,0.0,54,1.0,54,0,1.0,between,False,1,
Ackerman2010_haptic_weight,A,sonnet5,none,0.0,0.0,0.0,54,1.0,54,0,1.0,between,False,1,
Ackerman2010_haptic_weight,B,sonnet45,demographic,,,,0,,0,54,,between,False,0,all_refused
Ackerman2010_haptic_weight,B,sonnet45,none,,,,27,1.0,27,27,1.0,between,False,0,no_contrast
Ackerman2010_haptic_weight,B,sonnet5,demographic,0.0,0.0,0.0,54,1.0,54,0,1.0,between,False,1,
Ackerman2010_haptic_weight,B,sonnet5,none,0.0,0.0,0.0,54,1.0,54,0,1.0,between,False,1,
Aryani2020_word_arousal,A,sonnet45,demographic,0.9987,0.9984,0.9991,39,1.0,39,1,1.0,paired_zero,False,0,
Aryani2020_word_arousal,A,sonnet45,none,0.9997,0.9994,1.0,40,1.0,40,0,1.0,paired_zero,False,0,
Aryani2020_word_arousal,A,sonnet5,demographic,0.9991,0.9987,0.9995,40,1.0,40,0,1.0,paired_zero,False,0,
Aryani2020_word_arousal,A,sonnet5,none,0.9992,0.9989,0.9996,40,1.0,40,0,1.0,paired_zero,False,0,
Aryani2020_word_arousal,B,sonnet45,demographic,0.9964,0.996,0.9972,40,1.0,40,0,3.0,paired_zero,False,0,
Aryani2020_word_arousal,B,sonnet45,none,1.0,0.9999,1.0,40,1.0,40,0,3.0,paired_zero,False,0,
Aryani2020_word_arousal,B,sonnet5,demographic,0.9992,0.9987,0.9996,38,0.95,40,0,1.0,paired_zero,False,0,
Aryani2020_word_arousal,B,sonnet5,none,0.9995,0.9993,0.9998,40,1.0,40,0,1.0,paired_zero,False,0,
Bauer2012_consumer_cues,A,sonnet45,demographic,-0.068,-0.3145,0.2,60,1.0,60,0,1.0,between,False,0,
Bauer2012_consumer_cues,A,sonnet45,none,-0.5443,-0.7485,-0.3402,60,1.0,60,0,1.0,between,False,0,
Bauer2012_consumer_cues,A,sonnet5,demographic,0.0,-0.2294,0.2294,60,1.0,60,0,1.0,between,False,0,
Bauer2012_consumer_cues,A,sonnet5,none,0.0,0.0,0.0,60,1.0,60,0,1.0,between,False,1,
Bauer2012_consumer_cues,B,sonnet45,demographic,-0.1747,-0.4243,0.0708,60,1.0,60,0,1.0,between,False,0,
Bauer2012_consumer_cues,B,sonnet45,none,0.0,0.0,0.0,60,1.0,60,0,1.0,between,False,1,
Bauer2012_consumer_cues,B,sonnet5,demographic,0.1857,0.0,0.3015,60,1.0,60,0,1.0,between,False,0,
Bauer2012_consumer_cues,B,sonnet5,none,0.0,0.0,0.0,60,1.0,60,0,1.0,between,False,1,
BlackBarnes2015_transportation,A,sonnet45,demographic,0.9891,0.9867,0.993,40,1.0,40,0,1.0,between,False,0,
BlackBarnes2015_transportation,A,sonnet45,none,0.9932,0.9885,0.9978,40,1.0,40,0,1.0,between,False,0,
BlackBarnes2015_transportation,A,sonnet5,demographic,0.9901,0.9871,0.9939,40,1.0,40,0,1.0,between,False,0,
BlackBarnes2015_transportation,A,sonnet5,none,0.9823,0.9771,0.9888,40,1.0,40,0,1.0,between,False,0,
BlackBarnes2015_transportation,B,sonnet45,demographic,0.8962,0.8418,0.9449,40,1.0,40,0,1.0,between,False,0,
BlackBarnes2015_transportation,B,sonnet45,none,1.0,1.0,1.0,40,1.0,40,0,1.0,between,False,1,
BlackBarnes2015_transportation,B,sonnet5,demographic,0.9714,0.9634,0.9825,40,1.0,40,0,1.0,between,False,0,
BlackBarnes2015_transportation,B,sonnet5,none,0.998,0.9966,0.9996,40,1.0,40,0,1.0,between,False,0,
Blank2022_double_misinformation,A,sonnet45,demographic,,,,60,1.0,60,0,1.0,pearson,True,1,no_variance
Blank2022_double_misinformation,A,sonnet45,none,,,,60,1.0,60,0,1.0,pearson,True,1,no_variance
Blank2022_double_misinformation,A,sonnet5,demographic,,,,60,1.0,60,0,1.0,pearson,True,1,no_variance
Blank2022_double_misinformation,A,sonnet5,none,,,,60,1.0,60,0,1.0,pearson,True,1,no_variance
Blank2022_double_misinformation,B,sonnet45,demographic,,,,60,1.0,60,0,1.0,pearson,True,1,no_variance
Blank2022_double_misinformation,B,sonnet45,none,,,,60,1.0,60,0,1.0,pearson,True,1,no_variance
Blank2022_double_misinformation,B,sonnet5,demographic,,,,60,1.0,60,0,1.0,pearson,True,1,no_variance
Blank2022_double_misinformation,B,sonnet5,none,,,,60,1.0,60,0,1.0,pearson,True,1,no_variance
Cao2018_bayesian_pilot,A,sonnet45,demographic,0.8326,0.7598,0.899,60,1.0,60,0,1.0,paired_zero,False,0,
Cao2018_bayesian_pilot,A,sonnet45,none,0.9966,0.9952,0.9985,59,1.0,59,1,1.0,paired_zero,False,0,
Cao2018_bayesian_pilot,A,sonnet5,demographic,0.9995,0.9986,1.0,60,1.0,60,0,1.0,paired_zero,False,0,
Cao2018_bayesian_pilot,A,sonnet5,none,1.0,1.0,1.0,60,1.0,60,0,1.0,paired_zero,False,1,
