effect,variant,model,persona,r_sim,ci_lo,ci_hi,n_ok,parse_rate,n_parsed,n_attempted,n_refusal,statistic,claim_sign,flag
Finucane2000_affect_heuristic,A,sonnet45,demographic,-0.796095,-0.814054,-0.775758,60,1.0,60,60,0,corr_within,-1,
Finucane2000_affect_heuristic,A,sonnet45,none,-0.836436,-0.848104,-0.823739,60,1.0,60,60,0,corr_within,-1,
Finucane2000_affect_heuristic,A,sonnet5,demographic,-0.759903,-0.771868,-0.747696,60,1.0,60,60,0,corr_within,-1,
Finucane2000_affect_heuristic,A,sonnet5,none,-0.711356,-0.720983,-0.701608,60,1.0,60,60,0,corr_within,-1,
Finucane2000_affect_heuristic,B,sonnet45,demographic,-0.77974,-0.792376,-0.766717,60,1.0,60,60,0,corr_within,-1,
Finucane2000_affect_heuristic,B,sonnet45,none,-0.774553,-0.787555,-0.760706,60,1.0,60,60,0,corr_within,-1,
Finucane2000_affect_heuristic,B,sonnet5,demographic,-0.653818,-0.665738,-0.641446,60,1.0,60,60,0,corr_within,-1,
Finucane2000_affect_heuristic,B,sonnet5,none,-0.666108,-0.677357,-0.653071,60,1.0,60,60,0,corr_within,-1,
Galinsky2006_power_perspective,A,sonnet45,demographic,0.0,0.0,0.0,42,1.0,42,42,0,phi,1,
Galinsky2006_power_perspective,A,sonnet45,none,0.0,0.0,0.0,42,1.0,42,42,0,phi,1,
Galinsky2006_power_perspective,A,sonnet5,demographic,0.0,0.0,0.0,42,1.0,42,42,0,phi,1,
Galinsky2006_power_perspective,A,sonnet5,none,0.0,0.0,0.0,42,1.0,42,42,0,phi,1,
Galinsky2006_power_perspective,B,sonnet45,demographic,0.0,0.0,0.0,42,1.0,42,42,0,phi,1,
Galinsky2006_power_perspective,B,sonnet45,none,0.0,0.0,0.0,42,1.0,42,42,0,phi,1,
Galinsky2006_power_perspective,B,sonnet5,demographic,0.0,0.0,0.0,42,1.0,42,42,0,phi,1,
Galinsky2006_power_perspective,B,sonnet5,none,0.0,0.0,0.0,42,1.0,42,42,0,phi,1,
Gervais2012_analytic_priming,A,sonnet45,demographic,0.032362,-0.24009,0.281379,57,1.0,57,57,0,two_group,1,
Gervais2012_analytic_priming,A,sonnet45,none,0.210233,-0.046013,0.458854,57,1.0,57,57,0,two_group,1,
Gervais2012_analytic_priming,A,sonnet5,demographic,-0.140644,-0.419254,0.111093,56,0.9825,56,57,0,two_group,1,
Gervais2012_analytic_priming,A,sonnet5,none,0.654588,0.492717,0.795149,57,1.0,57,57,0,two_group,1,
Gervais2012_analytic_priming,B,sonnet45,demographic,,,,8,0.8889,8,9,48,two_group,1,insufficient_n
Gervais2012_analytic_priming,B,sonnet45,none,,,,5,0.3846,5,13,44,two_group,1,low_parse;insufficient_n
Gervais2012_analytic_priming,B,sonnet5,demographic,0.387162,0.16342,0.584583,57,1.0,57,57,0,two_group,1,
Gervais2012_analytic_priming,B,sonnet5,none,0.146483,-0.110309,0.409908,57,1.0,57,57,0,two_group,1,
Giessner2007_vertical_power,A,sonnet45,demographic,0.132453,0.0,0.23355,58,1.0,58,58,2,two_group,1,
Giessner2007_vertical_power,A,sonnet45,none,-0.301511,-0.420084,-0.130189,60,1.0,60,60,0,two_group,1,
Giessner2007_vertical_power,A,sonnet5,demographic,0.844422,0.79118,0.904534,60,1.0,60,60,0,two_group,1,
Giessner2007_vertical_power,A,sonnet5,none,0.941992,0.89063,0.980196,60,1.0,60,60,0,two_group,1,
Giessner2007_vertical_power,B,sonnet45,demographic,0.95252,0.939692,0.96978,56,1.0,56,56,4,two_group,1,
Giessner2007_vertical_power,B,sonnet45,none,0.983065,0.97481,0.990362,60,1.0,60,60,0,two_group,1,
