effect,variant,model,persona,r_sim,ci_lo,ci_hi,n_ok,parse_rate,n_refusal,n_parse_fail,parse_mode,degenerate,flag_low_parse
Kupor2015_god_risk,A,sonnet45,demographic,-0.042148,-0.291126,0.232301,60,1.000000,0,0,strict,0,0
Kupor2015_god_risk,A,sonnet45,none,0.216650,0.000000,0.329755,59,0.983333,0,1,strict,0,0
Kupor2015_god_risk,A,sonnet5,demographic,0.293667,0.057788,0.502007,42,1.000000,18,0,strict,0,0
Kupor2015_god_risk,A,sonnet5,none,0.498308,0.330005,0.647812,60,1.000000,0,0,strict,0,0
Kupor2015_god_risk,B,sonnet45,demographic,,,,0,,60,0,no_data,1,1
Kupor2015_god_risk,B,sonnet45,none,,,,0,,60,0,no_data,1,1
Kupor2015_god_risk,B,sonnet5,demographic,-0.187275,-0.436957,0.067970,53,0.981481,6,1,strict,0,0
Kupor2015_god_risk,B,sonnet5,none,-0.072337,-0.347616,0.214909,51,0.980769,8,1,strict,0,0
McCullough2002_gratitude_agreeableness,A,sonnet45,demographic,0.829514,0.771423,0.884991,60,1.000000,0,0,strict,0,0
McCullough2002_gratitude_agreeableness,A,sonnet45,none,-0.279166,-0.523832,-0.037203,60,1.000000,0,0,strict,0,0
McCullough2002_gratitude_agreeableness,A,sonnet5,demographic,0.613084,0.482337,0.716116,60,1.000000,0,0,strict,0,0
McCullough2002_gratitude_agreeableness,A,sonnet5,none,0.180863,-0.002891,0.331039,60,1.000000,0,0,strict,0,0
McCullough2002_gratitude_agreeableness,B,sonnet45,demographic,0.799381,0.665895,0.906311,60,1.000000,0,0,strict,0,0
McCullough2002_gratitude_agreeableness,B,sonnet45,none,0.000000,0.000000,0.000000,60,1.000000,0,0,strict,1,0
McCullough2002_gratitude_agreeableness,B,sonnet5,demographic,0.360072,0.202810,0.523970,60,1.000000,0,0,strict,0,0
McCullough2002_gratitude_agreeableness,B,sonnet5,none,-0.016949,-0.042601,0.000000,60,1.000000,0,0,strict,0,0
Mellers2001_conjunction_frequency,A,sonnet45,demographic,-0.031468,-0.383960,0.325764,30,1.000000,0,0,strict,0,0
Mellers2001_conjunction_frequency,A,sonnet45,none,0.789078,0.634460,0.914382,30,1.000000,1,0,strict,0,0
Mellers2001_conjunction_frequency,A,sonnet5,demographic,0.963155,0.933859,0.987935,30,1.000000,0,0,strict,0,0
Mellers2001_conjunction_frequency,A,sonnet5,none,0.965249,0.943947,0.982844,30,1.000000,0,0,strict,0,0
Mellers2001_conjunction_frequency,B,sonnet45,demographic,0.098540,-0.321255,0.381810,30,1.000000,0,0,strict,0,0
Mellers2001_conjunction_frequency,B,sonnet45,none,0.964942,0.933978,0.991148,29,1.000000,1,0,strict,0,0
Mellers2001_conjunction_frequency,B,sonnet5,demographic,0.747120,0.575080,0.871422,30,1.000000,0,0,strict,0,0
Mellers2001_conjunction_frequency,B,sonnet5,none,0.837199,0.741749,0.919443,30,1.000000,0,0,strict,0,0
Park2019_scarcity_price_quality,A,sonnet45,demographic,0.000000,0.000000,0.000000,60,1.000000,0,0,strict,1,0
Park2019_scarcity_price_quality,A,sonnet45,none,0.000000,0.000000,0.000000,60,1.000000,0,0,strict,1,0
Park2019_scarcity_price_quality,A,sonnet5,demographic,0.000000,0.000000,0.000000,60,1.000000,0,0,strict,1,0
Park2019_scarcity_price_quality,A,sonnet5,none,0.000000,0.000000,0.000000,60,1.000000,0,0,strict,1,0
Park2019_scarcity_price_quality,B,sonnet45,demographic,0.000000,0.000000,0.000000,54,1.000000,6,0,strict,1,0
Park2019_scarcity_price_quality,B,sonnet45,none,0.000000,0.000000,0.000000,60,1.000000,0,0,strict,1,0
Park2019_scarcity_price_quality,B,sonnet5,demographic,0.000000,0.000000,0.000000,60,1.000000,0,0,strict,1,0
Park2019_scarcity_price_quality,B,sonnet5,none,0.000000,0.000000,0.000000,60,1.000000,0,0,strict,1,0
Paunonen2003_attractiveness_extraversion,A,sonnet45,demographic,0.544587,0.335971,0.696894,60,1.000000,0,0,strict,0,0
Paunonen2003_attractiveness_extraversion,A,sonnet45,none,0.000000,0.000000,0.000000,60,1.000000,0,0,strict,1,0
Paunonen2003_attractiveness_extraversion,A,sonnet5,demographic,0.310017,0.076634,0.519829,60,1.000000,0,0,strict,0,0
Paunonen2003_attractiveness_extraversion,A,sonnet5,none,0.560015,0.380726,0.701574,60,1.000000,0,0,strict,0,0
Paunonen2003_attractiveness_extraversion,B,sonnet45,demographic,0.210935,-0.035477,0.397717,60,1.000000,0,0,strict,0,0
Paunonen2003_attractiveness_extraversion,B,sonnet45,none,0.000000,0.000000,0.000000,7,0.116667,0,53,lenient_no_gain,1,1
Paunonen2003_attractiveness_extraversion,B,sonnet5,demographic,0.485545,0.277173,0.643339,60,1.000000,0,0,strict,0,0
Paunonen2003_attractiveness_extraversion,B,sonnet5,none,0.874841,0.740358,0.967005,60,1.000000,0,0,strict,0,0
Peters2006_numeracy_framing,A,sonnet45,demographic,-0.093661,-0.372514,0.310732,59,0.983333,0,1,strict,1,0
Peters2006_numeracy_framing,A,sonnet45,none,,,,60,1.000000,0,0,strict,1,0
Peters2006_numeracy_framing,A,sonnet5,demographic,0.079666,-0.229912,0.442037,60,1.000000,0,0,strict,1,0
Peters2006_numeracy_framing,A,sonnet5,none,,,,60,1.000000,0,0,strict,1,0
Peters2006_numeracy_framing,B,sonnet45,demographic,0.210167,-0.033159,0.481911,60,1.000000,0,0,strict,1,0
Peters2006_numeracy_framing,B,sonnet45,none,,,,60,1.000000,0,0,strict,1,0
Peters2006_numeracy_framing,B,sonnet5,demographic,-0.247483,-0.408289,0.048356,60,1.000000,0,0,strict,1,0
Peters2006_numeracy_framing,B,sonnet5,none,0.032124,-0.144960,0.115441,60,1.000000,0,0,strict,1,0
Reinhard2013_unconscious_lie_detection,A,sonnet45,demographic,0.000000,0.000000,0.000000,60,1.000000,0,0,strict,1,0
Reinhard2013_unconscious_lie_detection,A,sonnet45,none,0.000000,0.000000,0.000000,58,1.000000,2,0,strict,1,0
Reinhard2013_unconscious_lie_detection,A,sonnet5,demographic,0.000000,0.000000,0.000000,60,1.000000,0,0,strict,1,0
Reinhard2013_unconscious_lie_detection,A,sonnet5,none,0.000000,0.000000,0.000000,60,1.000000,0,0,strict,1,0
Reinhard2013_unconscious_lie_detection,B,sonnet45,demographic,0.185695,0.000000,0.301511,60,1.000000,0,0,strict,0,0
Reinhard2013_unconscious_lie_detection,B,sonnet45,none,0.912836,0.896258,0.947184,60,1.000000,0,0,strict,0,0
Reinhard2013_unconscious_lie_detection,B,sonnet5,demographic,0.000000,0.000000,0.000000,60,1.000000,0,0,strict,1,0
Reinhard2013_unconscious_lie_detection,B,sonnet5,none,0.000000,0.000000,0.000000,60,1.000000,0,0,strict,1,0
Scopelliti2015_bragging_emotion,A,sonnet45,demographic,-0.385376,-0.513553,-0.229416,60,1.000000,0,0,strict,0,0
Scopelliti2015_bragging_emotion,A,sonnet45,none,0.000000,0.000000,0.000000,60,1.000000,0,0,strict,1,0
Scopelliti2015_bragging_emotion,A,sonnet5,demographic,0.078811,-0.178885,0.333333,60,1.000000,0,0,strict,0,0
Scopelliti2015_bragging_emotion,A,sonnet5,none,0.000000,0.000000,0.000000,60,1.000000,0,0,strict,1,0
Scopelliti2015_bragging_emotion,B,sonnet45,demographic,0.913647,0.846801,0.967117,50,1.000000,10,0,strict,0,0
Scopelliti2015_bragging_emotion,B,sonnet45,none,0.891276,0.866098,0.941768,60,1.000000,0,0,strict,0,0
Scopelliti2015_bragging_emotion,B,sonnet5,demographic,0.837293,0.773187,0.891841,60,1.000000,0,0,strict,0,0
Scopelliti2015_bragging_emotion,B,sonnet5,none,0.974958,0.964996,0.986493,60,1.000000,0,0,strict,0,0
Shnabel2008_needs_reconciliation,A,sonnet45,demographic,-0.096617,-0.377214,0.161847,60,1.000000,0,0,strict,0,0
Shnabel2008_needs_reconciliation,A,sonnet45,none,0.171184,-0.084091,0.595889,60,1.000000,0,0,strict,0,0
Shnabel2008_needs_reconciliation,A,sonnet5,demographic,-0.137255,-0.392527,0.113229,60,1.000000,0,0,strict,0,0
Shnabel2008_needs_reconciliation,A,sonnet5,none,-0.110181,-0.421828,0.131580,60,1.000000,0,0,strict,0,0
Shnabel2008_needs_reconciliation,B,sonnet45,demographic,0.388724,0.125321,0.700877,58,1.000000,2,0,strict,0,0
Shnabel2008_needs_reconciliation,B,sonnet45,none,0.165317,-0.085099,0.456871,60,1.000000,0,0,strict,0,0
Shnabel2008_needs_reconciliation,B,sonnet5,demographic,-0.167846,-0.413636,0.080869,60,1.000000,0,0,strict,0,0
Shnabel2008_needs_reconciliation,B,sonnet5,none,-0.542174,-0.743130,-0.354014,60,1.000000,0,0,strict,0,0
Stevenson2000_web_brand_attitude,A,sonnet45,demographic,0.000000,0.000000,0.000000,40,1.000000,0,0,strict,1,0
Stevenson2000_web_brand_attitude,A,sonnet45,none,0.000000,0.000000,0.000000,40,1.000000,0,0,strict,1,0
Stevenson2000_web_brand_attitude,A,sonnet5,demographic,0.913730,0.855784,0.963463,40,1.000000,0,0,strict,0,0
Stevenson2000_web_brand_attitude,A,sonnet5,none,0.842788,0.785956,0.908061,40,1.000000,0,0,strict,0,0
Stevenson2000_web_brand_attitude,B,sonnet45,demographic,0.998101,0.994630,1.000000,39,1.000000,1,0,strict,0,0
Stevenson2000_web_brand_attitude,B,sonnet45,none,0.998143,0.994835,1.000000,40,1.000000,0,0,strict,0,0
Stevenson2000_web_brand_attitude,B,sonnet5,demographic,0.961591,0.908609,0.992306,40,1.000000,0,0,strict,0,0
Stevenson2000_web_brand_attitude,B,sonnet5,none,0.988815,0.976943,0.998086,40,1.000000,0,0,strict,0,0
Thoresen2003_commitment_negative_affect,A,sonnet45,demographic,0.459050,0.271150,0.602845,59,1.000000,1,0,strict,0,0
Thoresen2003_commitment_negative_affect,A,sonnet45,none,0.000000,0.000000,0.000000,60,1.000000,0,0,strict,1,0
Thoresen2003_commitment_negative_affect,A,sonnet5,demographic,0.203570,-0.015121,0.420146,60,1.000000,0,0,strict,0,0
Thoresen2003_commitment_negative_affect,A,sonnet5,none,0.046595,-0.176046,0.200472,60,1.000000,0,0,strict,0,0
Thoresen2003_commitment_negative_affect,B,sonnet45,demographic,0.192677,-0.042041,0.429718,60,1.000000,0,0,strict,0,0
Thoresen2003_commitment_negative_affect,B,sonnet45,none,-1.000000,-1.000000,0.000000,5,0.131579,22,33,lenient_no_gain,0,1
Thoresen2003_commitment_negative_affect,B,sonnet5,demographic,-0.449907,-0.646141,-0.216898,60,1.000000,0,0,strict,0,0
Thoresen2003_commitment_negative_affect,B,sonnet5,none,-0.179702,-0.381259,0.201557,60,1.000000,0,0,strict,0,0
Weinstein1984_comparative_optimism,A,sonnet45,demographic,-0.975463,-0.982538,-0.967705,60,1.000000,0,0,strict,0,0
Weinstein1984_comparative_optimism,A,sonnet45,none,-0.962543,-0.970761,-0.955349,60,1.000000,0,0,strict,0,0
Weinstein1984_comparative_optimism,A,sonnet5,demographic,-0.965354,-0.973742,-0.958012,60,1.000000,0,0,strict,0,0
Weinstein1984_comparative_optimism,A,sonnet5,none,-0.994304,-0.996029,-0.992522,60,1.000000,0,0,strict,0,0
Weinstein1984_comparative_optimism,B,sonnet45,demographic,-0.530089,-0.682957,-0.345617,60,1.000000,0,0,strict,0,0
Weinstein1984_comparative_optimism,B,sonnet45,none,-0.804084,-0.944911,-0.634285,12,0.200000,0,48,lenient_no_gain,0,1
Weinstein1984_comparative_optimism,B,sonnet5,demographic,-0.954937,-0.968259,-0.942263,60,1.000000,0,0,strict,0,0
Weinstein1984_comparative_optimism,B,sonnet5,none,-0.942945,-0.961345,-0.921394,60,1.000000,0,0,strict,0,0
WilliamsBargh2008_distance_priming,A,sonnet45,demographic,-0.014682,-0.307439,0.316867,40,1.000000,0,0,strict,0,0
WilliamsBargh2008_distance_priming,A,sonnet45,none,-0.160128,-0.284747,0.000000,40,1.000000,0,0,strict,0,0
WilliamsBargh2008_distance_priming,A,sonnet5,demographic,-0.114377,-0.419968,0.195975,40,1.000000,0,0,strict,0,0
WilliamsBargh2008_distance_priming,A,sonnet5,none,-0.249136,-0.566008,0.045137,40,1.000000,0,0,strict,0,0
WilliamsBargh2008_distance_priming,B,sonnet45,demographic,-0.072548,-0.408897,0.258093,35,1.000000,5,0,strict,0,0
WilliamsBargh2008_distance_priming,B,sonnet45,none,-0.217072,-0.359211,0.000000,40,1.000000,0,0,strict,0,0
WilliamsBargh2008_distance_priming,B,sonnet5,demographic,-0.017173,-0.319137,0.295451,40,1.000000,0,0,strict,0,0
WilliamsBargh2008_distance_priming,B,sonnet5,none,-0.108893,-0.405880,0.204124,40,1.000000,0,0,strict,0,0
Zarkadi2013_visual_contrast,A,sonnet45,demographic,0.000000,0.000000,0.000000,59,1.000000,1,0,strict,1,0
Zarkadi2013_visual_contrast,A,sonnet45,none,0.000000,0.000000,0.000000,60,1.000000,0,0,strict,1,0
Zarkadi2013_visual_contrast,A,sonnet5,demographic,0.355903,-0.538127,0.574427,60,1.000000,0,0,strict,0,0
Zarkadi2013_visual_contrast,A,sonnet5,none,-0.184115,-0.324443,0.000000,60,1.000000,0,0,strict,0,0
Zarkadi2013_visual_contrast,B,sonnet45,demographic,0.000000,0.000000,0.000000,60,1.000000,0,0,strict,1,0
Zarkadi2013_visual_contrast,B,sonnet45,none,0.000000,0.000000,0.000000,60,1.000000,0,0,strict,1,0
Zarkadi2013_visual_contrast,B,sonnet5,demographic,0.000000,0.000000,0.000000,60,1.000000,0,0,strict,1,0
Zarkadi2013_visual_contrast,B,sonnet5,none,0.000000,0.000000,0.000000,60,1.000000,0,0,strict,1,0
