effect,variant,r_sim,ci_lo,ci_hi,n_ok,parse_rate,n_refusal,group,stat,n_parsed,n_denom,parse_mode,flag
Aryani2020_word_arousal,A,0.998893,0.99817,0.999545,30,1.0,0,0,paired_zero,30,30,2,
Aryani2020_word_arousal,B,0.995256,0.993574,0.997156,30,1.0,0,0,paired_zero,30,30,2,
Bauer2012_consumer_cues,A,-0.283654,-0.592595,0.078842,30,1.0,0,0,between,30,30,2,
Bauer2012_consumer_cues,B,1.0,1.0,1.0,30,1.0,0,0,between,30,30,2,zero_var
BlackBarnes2015_transportation,A,0.996298,0.994847,0.998046,30,1.0,0,0,between,30,30,2,
BlackBarnes2015_transportation,B,0.988738,0.983125,0.995357,30,1.0,0,0,between,30,30,2,
Cao2018_bayesian_pilot,A,0.993788,0.991628,0.996103,30,1.0,0,0,paired_zero,30,30,2,
Cao2018_bayesian_pilot,B,0.999597,0.998898,1.0,30,1.0,0,0,paired_zero,30,30,2,
Correll2007_motherhood_penalty,A,0.965824,0.92922,0.991051,30,1.0,0,0,between,30,30,2,
Correll2007_motherhood_penalty,B,0.929981,0.883602,1.0,30,1.0,0,0,between,30,30,2,
DeNeve1998_swb_neuroticism,A,-0.622161,-0.850584,0.062838,30,1.0,0,0,pearson,30,30,2,
DeNeve1998_swb_neuroticism,B,-0.881563,-0.959683,-0.771262,30,1.0,0,0,pearson,30,30,2,
DogerliogluDemir2014_incidental_anchor,A,0.98104,0.961063,1.0,30,1.0,0,0,between,30,30,2,
DogerliogluDemir2014_incidental_anchor,B,0.516587,0.212555,0.77468,28,0.9333,0,0,between,28,30,2,
FathKay2018_hierarchy_corruption,A,0.983339,0.971701,0.999303,30,1.0,0,0,between,30,30,2,
FathKay2018_hierarchy_corruption,B,0.985414,0.976551,0.994783,30,1.0,0,0,between,30,30,2,
Fetherstonhaugh1997_psychophysical_numbing,A,-0.735192,-0.960137,-0.462277,30,1.0,0,0,between,30,30,2,
Fetherstonhaugh1997_psychophysical_numbing,B,0.464193,0.14809,0.767068,30,1.0,0,0,between,30,30,2,
Finucane2000_affect_heuristic,A,-0.903637,-0.94605,-0.842087,11,0.6875,14,1,corr_within,11,16,strict,low_parse
Finucane2000_affect_heuristic,B,-0.935811,-0.943221,-0.927449,30,1.0,0,1,corr_within,30,30,strict,
Glikson2017_smiley_competence,A,0.973745,0.956424,0.989978,30,1.0,0,1,two_group,30,30,strict,
Glikson2017_smiley_competence,B,0.999025,0.998492,1.0,30,1.0,0,1,two_group,30,30,strict,
Hoorens2015_more_less_asymmetry,A,0.94668,0.922834,0.974667,30,1.0,0,1,two_group,30,30,strict,
Hoorens2015_more_less_asymmetry,B,0.922163,0.896729,0.961144,30,1.0,0,1,two_group,30,30,strict,
Huang2019_anthropomorphism_holistic,A,0.0,0.0,0.0,30,1.0,0,1,phi,30,30,strict,
Huang2019_anthropomorphism_holistic,B,0.328165,0.0,0.493435,29,1.0,1,1,phi,29,29,strict,
John2016_hiding_information,A,0.854687,0.748074,0.944751,30,1.0,0,1,two_group,30,30,strict,
John2016_hiding_information,B,0.994315,0.991502,0.999244,30,1.0,0,1,two_group,30,30,strict,
KimMarkus1999_uniqueness_preference,A,0.904534,0.894427,1.0,30,1.0,0,1,two_group,30,30,strict,
KimMarkus1999_uniqueness_preference,B,1.0,1.0,1.0,30,1.0,0,1,two_group,30,30,strict,
McCullough2002_gratitude_agreeableness,A,0.792028,0.477612,0.937838,30,1.0,0,2,pearson,30,30,strict,
McCullough2002_gratitude_agreeableness,B,-0.273027,-0.557816,0.0,30,1.0,0,2,pearson,30,30,strict,
Mellers2001_conjunction_frequency,A,0.981694,0.976865,0.989296,15,1.0,0,2,one_sample,30,30,strict,
Mellers2001_conjunction_frequency,B,0.976646,0.962256,0.990512,15,1.0,0,2,one_sample,30,30,strict,
Park2019_scarcity_price_quality,A,0.935414,0.914732,0.964562,30,1.0,0,2,two_group,30,30,strict,
Park2019_scarcity_price_quality,B,0.966092,0.91348,0.983758,30,1.0,0,2,two_group,30,30,strict,
Paunonen2003_attractiveness_extraversion,A,0.611481,-0.508548,0.873949,30,1.0,0,2,pearson,30,30,strict,
Paunonen2003_attractiveness_extraversion,B,0.137795,0.0,0.266763,30,1.0,0,2,pearson,30,30,strict,
Peters2006_numeracy_framing,A,0.703281,0.33518,0.897459,30,1.0,0,2,peters,30,30,strict,
Peters2006_numeracy_framing,B,0.691018,0.394886,0.851719,30,1.0,0,2,peters,30,30,strict,
Reinhard2013_unconscious_lie_detection,A,-0.392232,-0.603023,-0.185695,30,1.0,0,2,two_group,30,30,strict,
Reinhard2013_unconscious_lie_detection,B,0.368751,0.03688,0.6449,30,1.0,0,2,two_group,30,30,strict,
Stevenson2000_web_brand_attitude,A,0.991236,0.986908,0.99652,30,1.0,0,2,pearson,30,30,strict,
Stevenson2000_web_brand_attitude,B,0.938446,0.901191,0.973245,30,1.0,0,2,pearson,30,30,strict,
Thoresen2003_commitment_negative_affect,A,0.201964,-0.231765,0.597618,30,1.0,0,2,pearson,30,30,strict,
Thoresen2003_commitment_negative_affect,B,0.040291,-0.195389,0.312309,30,1.0,0,2,pearson,30,30,strict,
Weinstein1984_comparative_optimism,A,-0.994564,-0.997666,-0.991244,30,1.0,0,2,one_sample,30,30,strict,
Weinstein1984_comparative_optimism,B,-0.99066,-0.99577,-0.983755,30,1.0,0,2,one_sample,30,30,strict,
