effect,variant,r_sim,ci_lo,ci_hi,n_ok,parse_rate,parse_rate_strict,n_used,n_denom,n_refused,n_parse_fail,n_refusal_text,parse_tier_max,stat,zero_var,flag
Asch1946_warm_cold,A,1.0,1.0,1.0,30,1.0,1.0,30,30,0,0,0,1,phi,2,zero_variance
Asch1946_warm_cold,B,1.0,1.0,1.0,30,1.0,1.0,30,30,0,0,0,1,phi,2,zero_variance
Chao2017_thankyou_gift,A,0.33333333333333337,0.0,0.5773502691896258,30,1.0,1.0,20,30,0,0,0,1,phi,1,n_offcontrast=10;zero_variance
Chao2017_thankyou_gift,B,0.43643578047198467,0.0,0.6657066242737475,27,0.9,,17,30,0,3,0,1,phi,1,custom_parser;n_offcontrast=10;zero_variance
Cooney2016_fairness,A,0.9821631409884366,0.9798637100971995,0.9934486894185641,30,1.0,1.0,30,30,0,0,0,1,between,1,zero_variance
Cooney2016_fairness,B,1.0,1.0,1.0,30,1.0,1.0,30,30,0,0,0,1,between,2,zero_variance
Eyal2008_moral_distance,A,0.8000130615443652,0.6059885509188918,0.9478360356121402,30,1.0,0.0,30,30,0,0,0,3,between,0,
Eyal2008_moral_distance,B,0.6763286634767138,0.5393417469635693,0.8061645373080633,30,1.0,1.0,30,30,0,0,0,1,between,0,
Genschow2017_free_will_attribution,A,0.6009321678510063,0.3118984644198097,0.831815548635245,30,1.0,1.0,30,30,0,0,0,1,between,0,
Genschow2017_free_will_attribution,B,,,,3,0.1,0.1,3,30,0,27,3,1,between,0,low_parse;prose_refusals=3;no_contrast
Husnu2010_imagined_contact,A,0.9957850743418035,0.9939444891767133,0.9981260357254076,30,1.0,0.8333333333333334,30,30,0,0,0,3,between,0,
Husnu2010_imagined_contact,B,0.9103864934449796,0.766669907416475,0.9929248005982116,28,0.9333333333333333,0.9333333333333333,28,30,0,2,0,1,between,0,
Klink2000_soundsymbolism,A,0.9961952937507481,0.9958616434923835,0.9973211043479427,30,1.0,1.0,30,30,0,0,0,1,paired_zero,0,
Klink2000_soundsymbolism,B,0.996361123466751,0.9958667848807976,0.9976303284229832,30,1.0,1.0,30,30,0,0,0,1,paired_zero,0,
Knobe2003_side_effect,A,1.0,1.0,1.0,30,1.0,1.0,30,30,0,0,0,1,phi,2,zero_variance
Knobe2003_side_effect,B,1.0,1.0,1.0,30,1.0,1.0,30,30,0,0,0,1,phi,2,zero_variance
Miyamoto2002_correspondence_bias,A,1.0,1.0,1.0,30,1.0,1.0,30,30,0,0,0,1,between,2,zero_variance
Miyamoto2002_correspondence_bias,B,0.9975849542111022,0.9941348467724344,1.0,30,1.0,1.0,30,30,0,0,0,1,between,1,zero_variance
Oppenheimer2009_retrospective_gambler,A,0.971026094129133,0.9570202978345286,0.9911909803564853,30,1.0,1.0,20,30,0,0,0,1,between,0,n_offcontrast=10
Oppenheimer2009_retrospective_gambler,B,0.5568662606663055,0.3981989049014239,0.7313094531891691,30,1.0,1.0,20,30,0,0,0,1,between,0,n_offcontrast=10
Rottenstreich2001_affective_lottery,A,0.9354143466934854,0.816496580927726,1.0,30,1.0,1.0,30,30,0,0,0,1,phi,1,zero_variance
Rottenstreich2001_affective_lottery,B,1.0,1.0,1.0,30,1.0,1.0,30,30,0,0,0,1,phi,2,zero_variance
Tamir2012_selfdisclosure,A,0.9860348284435145,0.9758477644499832,0.9947103986766291,30,1.0,1.0,30,30,0,0,0,1,paired_zero,0,
Tamir2012_selfdisclosure,B,0.9568306190697232,0.9491536690965033,0.97277525725648,30,1.0,1.0,30,30,0,0,0,1,paired_zero,0,
Tversky1973_availability_letters,A,-0.9333333333333333,-1.0,-0.8,30,1.0,0.0,30,30,0,0,0,2,prop_vs_half,0,
Tversky1973_availability_letters,B,0.8,0.6000000000000001,1.0,30,1.0,1.0,30,30,0,0,0,1,prop_vs_half,0,
Valdesolo2007_hypocrisy,A,0.9705731180301342,0.9684002494125046,0.9805806756909201,30,1.0,1.0,30,30,0,0,0,1,between,0,
Valdesolo2007_hypocrisy,B,0.8258595539429768,0.777705575548548,0.9169493006161777,30,1.0,1.0,30,30,0,0,0,1,between,1,zero_variance
