effect,variant,r_sim,ci_lo,ci_hi,n_ok,parse_rate,n_refusal,group,stat,n_parsed,n_denom,parse_mode,flag
Aryani2020_word_arousal,A,0.999019,0.998523,0.999481,30,1.0,0,0,paired_zero,30,30,2,
Aryani2020_word_arousal,B,1.0,1.0,1.0,30,1.0,0,0,paired_zero,30,30,2,
Bauer2012_consumer_cues,A,0.760886,0.551677,0.935414,30,1.0,0,0,between,30,30,2,
Bauer2012_consumer_cues,B,0.185695,0.0,0.333333,30,1.0,0,0,between,30,30,2,
BlackBarnes2015_transportation,A,0.871669,0.836594,0.924388,30,1.0,0,0,between,30,30,2,
BlackBarnes2015_transportation,B,0.907218,0.857494,0.965891,30,1.0,0,0,between,30,30,2,
Cao2018_bayesian_pilot,A,0.994261,0.992207,0.996573,30,1.0,0,0,paired_zero,30,30,2,
Cao2018_bayesian_pilot,B,0.99862,0.997107,0.999777,30,1.0,0,0,paired_zero,30,30,2,
Correll2007_motherhood_penalty,A,0.935414,0.816497,1.0,30,1.0,0,0,between,30,30,2,
Correll2007_motherhood_penalty,B,-0.333333,-0.5,0.0,30,1.0,0,0,between,30,30,2,
DeNeve1998_swb_neuroticism,A,-0.796324,-0.906502,-0.566351,30,1.0,0,0,pearson,30,30,2,
DeNeve1998_swb_neuroticism,B,-0.699167,-0.903421,-0.158103,30,1.0,0,0,pearson,30,30,2,
DogerliogluDemir2014_incidental_anchor,A,-0.491003,-0.74762,-0.207186,30,1.0,0,0,between,30,30,2,
DogerliogluDemir2014_incidental_anchor,B,0.188237,-0.209179,0.517225,30,1.0,0,0,between,30,30,2,
FathKay2018_hierarchy_corruption,A,0.99968,0.999161,1.0,30,1.0,0,0,between,30,30,2,
FathKay2018_hierarchy_corruption,B,0.9889,0.980592,0.996141,30,1.0,0,0,between,30,30,2,
Fetherstonhaugh1997_psychophysical_numbing,A,-0.614978,-0.834199,-0.52573,30,1.0,0,0,between,30,30,2,
Fetherstonhaugh1997_psychophysical_numbing,B,0.546073,0.260555,0.76825,30,1.0,0,0,between,30,30,2,
Finucane2000_affect_heuristic,A,-0.800476,-0.848114,-0.744717,22,0.9167,6,1,corr_within,22,24,strict,
Finucane2000_affect_heuristic,B,-0.995673,-0.99948,-0.971721,23,0.9583,6,1,corr_within,23,24,strict,
Glikson2017_smiley_competence,A,0.900404,0.81153,0.965393,30,1.0,0,1,two_group,30,30,strict,
Glikson2017_smiley_competence,B,0.998314,0.995863,1.0,30,1.0,0,1,two_group,30,30,strict,
Hoorens2015_more_less_asymmetry,A,0.966347,0.950921,0.98773,30,1.0,0,1,two_group,30,30,strict,
Hoorens2015_more_less_asymmetry,B,0.923616,0.907263,0.975558,30,1.0,0,1,two_group,30,30,strict,
Huang2019_anthropomorphism_holistic,A,0.0,0.0,0.0,30,1.0,0,1,phi,30,30,strict,
Huang2019_anthropomorphism_holistic,B,0.0,0.0,0.0,30,1.0,0,1,phi,30,30,strict,
John2016_hiding_information,A,-0.636259,-0.808334,-0.462923,30,1.0,0,1,two_group,30,30,strict,
John2016_hiding_information,B,0.991774,0.991774,0.994135,30,1.0,0,1,two_group,30,30,strict,
KimMarkus1999_uniqueness_preference,A,0.0,0.0,0.0,30,1.0,0,1,two_group,30,30,strict,
KimMarkus1999_uniqueness_preference,B,0.0,0.0,0.0,30,1.0,0,1,two_group,30,30,strict,
McCullough2002_gratitude_agreeableness,A,0.743905,0.540126,0.865656,30,1.0,0,2,pearson,30,30,strict,
McCullough2002_gratitude_agreeableness,B,0.08074,-0.289618,0.318009,30,1.0,0,2,pearson,30,30,strict,
Mellers2001_conjunction_frequency,A,0.985377,0.97842,0.99464,15,1.0,0,2,one_sample,30,30,strict,
Mellers2001_conjunction_frequency,B,0.975293,0.942926,0.995734,15,1.0,0,2,one_sample,30,30,strict,
Park2019_scarcity_price_quality,A,-0.227429,-0.502396,0.139122,30,1.0,0,2,two_group,30,30,strict,
Park2019_scarcity_price_quality,B,0.0,0.0,0.0,30,1.0,0,2,two_group,30,30,strict,zero_var
Paunonen2003_attractiveness_extraversion,A,0.491396,-0.104487,0.77699,30,1.0,0,2,pearson,30,30,strict,
Paunonen2003_attractiveness_extraversion,B,0.620336,0.290369,0.801052,30,1.0,0,2,pearson,30,30,strict,
Peters2006_numeracy_framing,A,0.394573,-0.003183,0.637869,30,1.0,0,2,peters,30,30,strict,
Peters2006_numeracy_framing,B,0.320427,0.229418,0.60069,30,1.0,0,2,peters,30,30,strict,
Reinhard2013_unconscious_lie_detection,A,0.0,0.0,0.0,30,1.0,0,2,two_group,30,30,strict,zero_var
Reinhard2013_unconscious_lie_detection,B,-0.102463,-0.439988,0.249734,30,1.0,0,2,two_group,30,30,strict,
Stevenson2000_web_brand_attitude,A,0.999221,0.997689,1.0,30,1.0,0,2,pearson,30,30,strict,
Stevenson2000_web_brand_attitude,B,0.974261,0.956021,0.986811,30,1.0,0,2,pearson,30,30,strict,
Thoresen2003_commitment_negative_affect,A,-0.801024,-0.929164,-0.168337,30,1.0,0,2,pearson,30,30,strict,
Thoresen2003_commitment_negative_affect,B,-0.681175,-0.829469,-0.417732,30,1.0,0,2,pearson,30,30,strict,
Weinstein1984_comparative_optimism,A,-0.935083,-0.964067,-0.904444,30,1.0,0,2,one_sample,30,30,strict,
Weinstein1984_comparative_optimism,B,-0.829925,-0.927293,-0.737195,30,1.0,0,2,one_sample,30,30,strict,
