effect,variant,r_sim,ci_lo,ci_hi,n_ok,parse_rate,parse_rate_strict,n_used,n_denom,n_refused,n_parse_fail,n_refusal_text,parse_tier_max,stat,zero_var,flag
Asch1946_warm_cold,A,1.0,1.0,1.0,30,1.0,1.0,30,30,0,0,0,1,phi,2,zero_variance
Asch1946_warm_cold,B,1.0,1.0,1.0,30,1.0,1.0,30,30,0,0,0,1,phi,2,zero_variance
Chao2017_thankyou_gift,A,1.0,1.0,1.0,30,1.0,1.0,20,30,0,0,0,1,phi,2,n_offcontrast=10;zero_variance
Chao2017_thankyou_gift,B,0.5773502691896258,0.33333333333333326,0.816496580927726,29,0.9666666666666667,,20,30,0,1,1,1,phi,1,prose_refusals=1;custom_parser;n_offcontrast=9;zero_variance
Cooney2016_fairness,A,0.9837576207514996,0.9539980920057239,1.0,30,1.0,1.0,30,30,0,0,0,1,between,1,zero_variance
Cooney2016_fairness,B,1.0,1.0,1.0,30,1.0,1.0,30,30,0,0,0,1,between,2,zero_variance
Eyal2008_moral_distance,A,0.320065965992108,-0.01301119694330844,0.6100679697484728,30,1.0,0.0,30,30,0,0,0,3,between,0,
Eyal2008_moral_distance,B,0.2903467520364817,-0.0642713960416748,0.5539223226463618,30,1.0,0.9666666666666667,30,30,0,0,0,3,between,0,
Genschow2017_free_will_attribution,A,0.5930534909720045,0.35522693787691084,0.7823244675957418,30,1.0,1.0,30,30,0,0,0,1,between,0,
Genschow2017_free_will_attribution,B,0.3170807127286201,-0.03788555134801179,0.6177785361540122,24,0.8,0.8,24,30,0,6,0,1,between,0,
Husnu2010_imagined_contact,A,0.975762612553042,0.9705731180301344,0.9847319278346618,30,1.0,0.7333333333333333,30,30,0,0,0,3,between,0,
Husnu2010_imagined_contact,B,0.8372400335545404,0.7387486130633689,0.9344767269690312,30,1.0,1.0,30,30,0,0,0,1,between,0,
Klink2000_soundsymbolism,A,0.9327339723859353,0.9065747632075446,0.9576993912938838,29,1.0,1.0,29,29,1,0,0,1,paired_zero,0,refusals=1
Klink2000_soundsymbolism,B,0.9417682168674392,0.9189864430307048,0.9639588112890255,25,1.0,1.0,25,25,5,0,0,1,paired_zero,0,refusals=5
Knobe2003_side_effect,A,1.0,1.0,1.0,30,1.0,1.0,30,30,0,0,0,1,phi,2,zero_variance
Knobe2003_side_effect,B,1.0,1.0,1.0,30,1.0,1.0,30,30,0,0,0,1,phi,2,zero_variance
Miyamoto2002_correspondence_bias,A,1.0,1.0,1.0,30,1.0,1.0,30,30,0,0,0,1,between,2,zero_variance
Miyamoto2002_correspondence_bias,B,1.0,1.0,1.0,30,1.0,1.0,30,30,0,0,0,1,between,2,zero_variance
Oppenheimer2009_retrospective_gambler,A,0.024610841494742543,-0.5024500534140967,0.44652178800506664,30,1.0,1.0,20,30,0,0,0,1,between,0,n_offcontrast=10
Oppenheimer2009_retrospective_gambler,B,1.0,1.0,1.0,30,1.0,1.0,20,30,0,0,0,1,between,2,n_offcontrast=10;zero_variance
Rottenstreich2001_affective_lottery,A,0.0,0.0,0.0,30,1.0,1.0,30,30,0,0,0,1,phi,2,zero_variance
Rottenstreich2001_affective_lottery,B,0.0,0.0,0.0,30,1.0,1.0,30,30,0,0,0,1,phi,2,zero_variance
Tamir2012_selfdisclosure,A,0.9449990771497894,0.923876499130829,0.966381869994878,30,1.0,1.0,30,30,0,0,0,1,paired_zero,0,
Tamir2012_selfdisclosure,B,0.8852495741716134,0.8172191203751332,0.9426248170459239,30,1.0,1.0,30,30,0,0,0,1,paired_zero,0,
Tversky1973_availability_letters,A,-0.1333333333333333,-0.4666666666666667,0.19999999999999996,30,1.0,0.0,30,30,0,0,0,2,prop_vs_half,0,
Tversky1973_availability_letters,B,-0.1333333333333333,-0.4666666666666667,0.19999999999999996,30,1.0,1.0,30,30,0,0,0,1,prop_vs_half,0,
Valdesolo2007_hypocrisy,A,0.06388765649999419,-0.2672612419124244,0.3692744729379981,30,1.0,1.0,30,30,0,0,0,1,between,0,
Valdesolo2007_hypocrisy,B,0.28365431446558753,-0.09365858115816936,0.571651229162145,30,1.0,1.0,30,30,0,0,0,1,between,0,
