wave,effect,model,variant,persona,cond,condition_type,task_demand_type,paradigm_class,pc_coarse,aversive_pole,n_rollouts,n_ok,n_hard,n_soft_content,n_soft_defect,n_tech,n_refusal,refusal_rate
P2,Ackerman2010_haptic_weight,sonnet45,A,demographic,heavy,embodied_prime,person_evaluation_rating,social_priming,priming,0,27,0,27,0,0,0,27,1.0
P2,Ackerman2010_haptic_weight,sonnet45,A,demographic,light,embodied_prime,person_evaluation_rating,social_priming,priming,0,27,27,0,0,0,0,0,0.0
P2,Ackerman2010_haptic_weight,sonnet45,A,none,heavy,embodied_prime,person_evaluation_rating,social_priming,priming,0,27,0,27,0,0,0,27,1.0
P2,Ackerman2010_haptic_weight,sonnet45,A,none,light,embodied_prime,person_evaluation_rating,social_priming,priming,0,27,27,0,0,0,0,0,0.0
P2,Ackerman2010_haptic_weight,sonnet45,B,demographic,heavy,embodied_prime,person_evaluation_rating,social_priming,priming,0,27,0,27,0,0,0,27,1.0
P2,Ackerman2010_haptic_weight,sonnet45,B,demographic,light,embodied_prime,person_evaluation_rating,social_priming,priming,0,27,0,27,0,0,0,27,1.0
P2,Ackerman2010_haptic_weight,sonnet45,B,none,heavy,embodied_prime,person_evaluation_rating,social_priming,priming,0,27,0,27,0,0,0,27,1.0
P2,Ackerman2010_haptic_weight,sonnet45,B,none,light,embodied_prime,person_evaluation_rating,social_priming,priming,0,27,27,0,0,0,0,0,0.0
P2,Ackerman2010_haptic_weight,sonnet5,A,demographic,heavy,embodied_prime,person_evaluation_rating,social_priming,priming,0,27,27,0,0,0,0,0,0.0
P2,Ackerman2010_haptic_weight,sonnet5,A,demographic,light,embodied_prime,person_evaluation_rating,social_priming,priming,0,27,27,0,0,0,0,0,0.0
P2,Ackerman2010_haptic_weight,sonnet5,A,none,heavy,embodied_prime,person_evaluation_rating,social_priming,priming,0,27,27,0,0,0,0,0,0.0
P2,Ackerman2010_haptic_weight,sonnet5,A,none,light,embodied_prime,person_evaluation_rating,social_priming,priming,0,27,27,0,0,0,0,0,0.0
P2,Ackerman2010_haptic_weight,sonnet5,B,demographic,heavy,embodied_prime,person_evaluation_rating,social_priming,priming,0,27,27,0,0,0,0,0,0.0
P2,Ackerman2010_haptic_weight,sonnet5,B,demographic,light,embodied_prime,person_evaluation_rating,social_priming,priming,0,27,27,0,0,0,0,0,0.0
P2,Ackerman2010_haptic_weight,sonnet5,B,none,heavy,embodied_prime,person_evaluation_rating,social_priming,priming,0,27,27,0,0,0,0,0,0.0
P2,Ackerman2010_haptic_weight,sonnet5,B,none,light,embodied_prime,person_evaluation_rating,social_priming,priming,0,27,27,0,0,0,0,0,0.0
P2,Aryani2020_word_arousal,sonnet45,A,demographic,,no_manipulation,neutral_judgment,linguistic_intuition,jdm_or_perceptual,0,40,39,1,0,0,0,1,0.025
P2,Aryani2020_word_arousal,sonnet45,A,none,,no_manipulation,neutral_judgment,linguistic_intuition,jdm_or_perceptual,0,40,40,0,0,0,0,0,0.0
P2,Aryani2020_word_arousal,sonnet45,B,demographic,,no_manipulation,neutral_judgment,linguistic_intuition,jdm_or_perceptual,0,40,40,0,0,0,0,0,0.0
P2,Aryani2020_word_arousal,sonnet45,B,none,,no_manipulation,neutral_judgment,linguistic_intuition,jdm_or_perceptual,0,40,40,0,0,0,0,0,0.0
P2,Aryani2020_word_arousal,sonnet5,A,demographic,,no_manipulation,neutral_judgment,linguistic_intuition,jdm_or_perceptual,0,40,40,0,0,0,0,0,0.0
P2,Aryani2020_word_arousal,sonnet5,A,none,,no_manipulation,neutral_judgment,linguistic_intuition,jdm_or_perceptual,0,40,40,0,0,0,0,0,0.0
P2,Aryani2020_word_arousal,sonnet5,B,demographic,,no_manipulation,neutral_judgment,linguistic_intuition,jdm_or_perceptual,0,40,40,0,0,0,0,0,0.0
P2,Aryani2020_word_arousal,sonnet5,B,none,,no_manipulation,neutral_judgment,linguistic_intuition,jdm_or_perceptual,0,40,40,0,0,0,0,0,0.0
A0,Asch1946_warm_cold,sonnet45,A,demographic,cold,trait_word_swap,neutral_judgment,trait_inference,social_inference,1,30,30,0,0,0,0,0,0.0
A0,Asch1946_warm_cold,sonnet45,A,demographic,warm,trait_word_swap,neutral_judgment,trait_inference,social_inference,0,30,30,0,0,0,0,0,0.0
A0,Asch1946_warm_cold,sonnet45,A,none,cold,trait_word_swap,neutral_judgment,trait_inference,social_inference,1,30,30,0,0,0,0,0,0.0
A0,Asch1946_warm_cold,sonnet45,A,none,warm,trait_word_swap,neutral_judgment,trait_inference,social_inference,0,30,30,0,0,0,0,0,0.0
A0,Asch1946_warm_cold,sonnet45,B,demographic,cold,trait_word_swap,neutral_judgment,trait_inference,social_inference,1,30,29,1,0,0,0,1,0.03333333333333333
A0,Asch1946_warm_cold,sonnet45,B,demographic,warm,trait_word_swap,neutral_judgment,trait_inference,social_inference,0,30,30,0,0,0,0,0,0.0
A0,Asch1946_warm_cold,sonnet45,B,none,cold,trait_word_swap,neutral_judgment,trait_inference,social_inference,1,30,30,0,0,0,0,0,0.0
A0,Asch1946_warm_cold,sonnet45,B,none,warm,trait_word_swap,neutral_judgment,trait_inference,social_inference,0,30,30,0,0,0,0,0,0.0
A0,Asch1946_warm_cold,sonnet45,deidentified,demographic,cold,trait_word_swap,neutral_judgment,trait_inference,social_inference,1,30,29,1,0,0,0,1,0.03333333333333333
A0,Asch1946_warm_cold,sonnet45,deidentified,demographic,warm,trait_word_swap,neutral_judgment,trait_inference,social_inference,0,30,30,0,0,0,0,0,0.0
A0,Asch1946_warm_cold,sonnet45,deidentified,none,cold,trait_word_swap,neutral_judgment,trait_inference,social_inference,1,30,21,9,0,0,0,9,0.3
A0,Asch1946_warm_cold,sonnet45,deidentified,none,warm,trait_word_swap,neutral_judgment,trait_inference,social_inference,0,30,28,2,0,0,0,2,0.06666666666666667
A0,Asch1946_warm_cold,sonnet45,frame_flip,demographic,cold,trait_word_swap,neutral_judgment,trait_inference,social_inference,1,30,27,3,0,0,0,3,0.1
A0,Asch1946_warm_cold,sonnet45,frame_flip,demographic,warm,trait_word_swap,neutral_judgment,trait_inference,social_inference,0,30,30,0,0,0,0,0,0.0
A0,Asch1946_warm_cold,sonnet45,frame_flip,none,cold,trait_word_swap,neutral_judgment,trait_inference,social_inference,1,30,21,9,0,0,0,9,0.3
A0,Asch1946_warm_cold,sonnet45,frame_flip,none,warm,trait_word_swap,neutral_judgment,trait_inference,social_inference,0,30,30,0,0,0,0,0,0.0
A0,Asch1946_warm_cold,sonnet5,A,demographic,cold,trait_word_swap,neutral_judgment,trait_inference,social_inference,1,30,30,0,0,0,0,0,0.0
A0,Asch1946_warm_cold,sonnet5,A,demographic,warm,trait_word_swap,neutral_judgment,trait_inference,social_inference,0,30,30,0,0,0,0,0,0.0
A0,Asch1946_warm_cold,sonnet5,A,none,cold,trait_word_swap,neutral_judgment,trait_inference,social_inference,1,30,30,0,0,0,0,0,0.0
A0,Asch1946_warm_cold,sonnet5,A,none,warm,trait_word_swap,neutral_judgment,trait_inference,social_inference,0,30,30,0,0,0,0,0,0.0
A0,Asch1946_warm_cold,sonnet5,B,demographic,cold,trait_word_swap,neutral_judgment,trait_inference,social_inference,1,30,30,0,0,0,0,0,0.0
A0,Asch1946_warm_cold,sonnet5,B,demographic,warm,trait_word_swap,neutral_judgment,trait_inference,social_inference,0,30,30,0,0,0,0,0,0.0
