effect,model,r_bare,n_ok,r_o,r_r,r_sim,z_bare,z_o,z_r,z_sim
Rottenstreich2001_affective_lottery,sonnet5,0.0,20,0.3748,-0.04,0.952,0.0,0.3939959732141787,-0.04002135383676822,1.852704378032573
Rottenstreich2001_affective_lottery,sonnet45,0.0,20,0.3748,-0.04,0.0,0.0,0.3939959732141787,-0.04002135383676822,0.0
Husnu2010_imagined_contact,sonnet5,0.4107240456644122,15,0.395,0.0649,0.719,0.43648188594951687,0.4177106181123123,0.0649913507899685,0.9055716680245517
Husnu2010_imagined_contact,sonnet45,0.26311740579210874,11,0.395,0.0649,0.517,0.26945474934927954,0.4177106181123123,0.0649913507899685,0.5722366628479798
Miyamoto2002_correspondence_bias,sonnet5,0.0,20,0.7742,0.673,0.975,0.0,1.0307276221854624,0.8162067650447854,2.1847239262335103
Miyamoto2002_correspondence_bias,sonnet45,0.8849846507021011,20,0.7742,0.673,0.457,1.3983046826865368,1.0307276221854624,0.8162067650447854,0.49351274313063476
Genschow2017_free_will_attribution,sonnet5,-0.3812047800676579,16,0.0946,0.0688,0.076,-0.40146851619308455,0.0948837218539798,0.06890886290260395,0.07614683454002277
Genschow2017_free_will_attribution,sonnet45,0.4020903464478901,20,0.0946,0.0688,-0.066,0.4261399225582065,0.0948837218539798,0.06890886290260395,-0.06609608324847362
Valdesolo2007_hypocrisy,sonnet5,0.5570860145311556,20,0.4853,0.0,0.8338417016381369,0.6285979133001902,0.5298939221883892,0.0,1.200613698681366
Valdesolo2007_hypocrisy,sonnet45,0.0,20,0.4853,0.0,0.986039115331124,0.0,0.5298939221883892,0.0,2.478819036461575
Tamir2012_selfdisclosure,sonnet5,-0.9773756483025023,20,0.4853,0.0046,0.6938886664887108,-2.2352494897288286,0.5298939221883892,0.004600032445745265,0.8554166400029134
Tamir2012_selfdisclosure,sonnet45,-0.9914573982080404,18,0.4853,0.0046,0.9505633016562604,-2.6466524123622457,0.5298939221883892,0.004600032445745265,1.8375902263200534
Chao2017_thankyou_gift,sonnet5,0.0,20,0.1015,0.0519,0.0,0.0,0.10185073000939206,0.0519466749106575,0.0
Chao2017_thankyou_gift,sonnet45,0.0,17,0.1015,0.0519,-0.036,0.0,0.10185073000939206,0.0519466749106575,-0.03601556410444138
Klink2000_soundsymbolism,sonnet5,1.0,20,0.819,0.222,0.9923672332051516,2.6466524123622457,1.1537725736261482,0.2257588077765745,2.6466524123622457
Klink2000_soundsymbolism,sonnet45,0.997630328422983,20,0.819,0.222,0.993764945217404,2.6466524123622457,1.1537725736261482,0.2257588077765745,2.6466524123622457
Cooney2016_fairness,sonnet5,0.8955334711889902,20,0.5657,0.1211,0.8754804791094791,1.449194435699381,0.6411763738883505,0.12169724979447419,1.3560788315932675
Cooney2016_fairness,sonnet45,0.8955334711889902,20,0.5657,0.1211,0.0,1.449194435699381,0.6411763738883505,0.12169724979447419,0.0
Asch1946_warm_cold,sonnet5,0.0,20,0.6508,0.1966,1.0,0.0,0.7766852369564898,0.1991933795153748,2.6466524123622457
Asch1946_warm_cold,sonnet45,0.0,20,0.6508,0.1966,1.0,0.0,0.7766852369564898,0.1991933795153748,2.6466524123622457
Oppenheimer2009_retrospective_gambler,sonnet5,0.0,20,0.3261,0.01,0.52,0.0,0.338457925365691,0.010000333353334763,0.5763397549691928
Oppenheimer2009_retrospective_gambler,sonnet45,0.5946997926197896,20,0.3261,0.01,0.636,0.6849063672027494,0.338457925365691,0.010000333353334763,0.7514278247629759
