group,construct_x,construct_y,r_human,model,r_sim,n_sim,excess
famous_nonpol,P_numeracy,P_finliteracy,0.4057,sonnet45,,119,
famous_nonpol,P_numeracy,P_finliteracy,0.4057,sonnet5,,104,
famous_nonpol,P_age_bracket,P_neuroticism,-0.2901,sonnet45,-0.20414382094117967,119,-0.08595617905882036
famous_nonpol,P_age_bracket,P_neuroticism,-0.2901,sonnet5,-0.3841459298372002,109,0.09404592983720017
famous_nonpol,P_conscientiousness,P_education,0.1595,sonnet45,0.21155100516535405,119,0.05205100516535405
famous_nonpol,P_conscientiousness,P_education,0.1595,sonnet5,0.32310084505331077,104,0.16360084505331077
famous_nonpol,P_neuroticism,P_maximization,0.1437,sonnet45,0.603016469720465,119,0.45931646972046497
famous_nonpol,P_neuroticism,P_maximization,0.1437,sonnet5,0.6447404407118883,111,0.5010404407118882
famous_nonpol,P_income,P_finliteracy,0.1295,sonnet45,,119,
famous_nonpol,P_income,P_finliteracy,0.1295,sonnet5,,107,
famous_nonpol,P_openness,P_fluid,0.1217,sonnet45,,119,
famous_nonpol,P_openness,P_fluid,0.1217,sonnet5,0.1979915502177311,104,0.0762915502177311
famous_nonpol,P_agreeableness,P_dictator_sender,0.1155,sonnet45,0.40602415242196005,119,0.29052415242196006
famous_nonpol,P_agreeableness,P_dictator_sender,0.1155,sonnet5,0.45510032871632017,111,0.3396003287163202
famous_nonpol,P_crt2_score,P_wason,0.1006,sonnet45,,119,
famous_nonpol,P_crt2_score,P_wason,0.1006,sonnet5,0.2508286108354217,103,0.1502286108354217
undisc_pol,W_policy_support_liberal,W_proportion_dom_1A,0.4116,sonnet45,-0.29651966189246093,118,-0.11508033810753909
undisc_pol,W_policy_support_liberal,W_proportion_dom_1A,0.4116,sonnet5,-0.14340648305291306,100,-0.26819351694708693
undisc_pol,P_political_liberalism,W_proportion_dom_1A,0.2406,sonnet45,-0.3610228031570195,118,0.1204228031570195
undisc_pol,P_political_liberalism,W_proportion_dom_1A,0.2406,sonnet5,-0.17087680764667793,100,-0.06972319235332208
undisc_pol,P_religious_nonattendance,P_mentalaccounting,0.1559,sonnet45,-0.388301301703164,118,0.232401301703164
undisc_pol,P_religious_nonattendance,P_mentalaccounting,0.1559,sonnet5,-0.2717651572232386,99,0.11586515722323856
undisc_pol,P_religious_nonattendance,W_prob_maximizing_cards,0.1501,sonnet45,,118,
undisc_pol,P_religious_nonattendance,W_prob_maximizing_cards,0.1501,sonnet5,-0.06298748584912998,99,-0.08711251415087003
undisc_pol,P_political_liberalism,P_mentalaccounting,0.1371,sonnet45,-0.5401559584650886,119,0.40305595846508857
undisc_pol,P_political_liberalism,P_mentalaccounting,0.1371,sonnet5,-0.19488373477509185,107,0.057783734775091855
undisc_pol,W_policy_support_liberal,W_base_rate_30eng,-0.1146,sonnet45,0.1898601702791622,119,0.0752601702791622
undisc_pol,W_policy_support_liberal,W_base_rate_30eng,-0.1146,sonnet5,-0.2514917763331126,107,0.1368917763331126
undisc_pol,P_RFS,W_less_is_more_A,0.1068,sonnet45,-0.2550590130571034,119,0.14825901305710337
undisc_pol,P_RFS,W_less_is_more_A,0.1068,sonnet5,-0.06441664122261301,111,-0.042383358777387
undisc_pol,P_RFS,W_prob_maximizing_cards,-0.0995,sonnet45,,118,
undisc_pol,P_RFS,W_prob_maximizing_cards,-0.0995,sonnet5,0.005631250250209746,100,-0.09386874974979026
