model,subj,P_RFS,P_agreeableness,P_neuroticism,P_maximization,P_fluid,P_finliteracy,P_wason,P_dictator_sender,W_base_rate_30eng,W_less_is_more_A,P_mentalaccounting,P_age_bracket,P_education,P_income,P_political_liberalism,W_policy_support_liberal,P_openness,P_conscientiousness,P_numeracy,P_crt2_score,W_prob_maximizing_cards,W_proportion_dom_1A,P_religious_nonattendance
sonnet5,0,4.083333333333333,5.5,3.5,4.5,1.0,1.0,1.0,3.0,50.0,40.0,4.333333333333333,1.0,5.0,2.0,2.0,3.3,5.75,5.5,1.0,1.0,1.0,6.5,4.5
sonnet5,1,3.0,5.666666666666667,3.6666666666666665,3.0,1.0,1.0,1.0,5.0,50.0,40.0,3.3333333333333335,5.0,2.0,2.0,4.666666666666667,5.6,4.75,5.25,1.0,1.0,1.0,6.5,5.0
sonnet5,2,4.416666666666667,6.0,2.8333333333333335,2.1666666666666665,1.0,1.0,1.0,3.0,75.0,40.0,2.3333333333333335,6.0,4.0,4.0,2.6666666666666665,3.6,4.25,6.25,1.0,1.0,,,
sonnet5,3,3.1666666666666665,6.0,3.1666666666666665,3.0,1.0,1.0,0.0,5.0,30.0,20.0,3.3333333333333335,6.0,2.0,3.0,4.0,5.5,5.25,5.25,1.0,1.0,1.0,4.0,5.0
sonnet5,4,2.0,5.666666666666667,4.166666666666667,3.3333333333333335,1.0,1.0,0.5,5.0,50.0,30.0,3.3333333333333335,4.0,3.0,2.0,4.333333333333333,5.2,5.0,4.75,1.0,1.0,1.0,6.5,6.0
sonnet5,5,5.083333333333333,5.833333333333333,3.0,3.0,1.0,1.0,0.0,5.0,70.0,30.0,3.0,5.0,5.0,5.0,2.6666666666666665,4.0,5.5,6.25,1.0,1.0,1.0,7.0,2.0
sonnet5,6,2.0,5.666666666666667,3.5,3.3333333333333335,1.0,1.0,1.0,4.0,40.0,30.0,3.3333333333333335,5.0,5.0,5.0,5.0,5.6,6.25,5.5,1.0,1.0,1.0,6.5,6.0
sonnet5,7,4.083333333333333,6.0,2.0,2.6666666666666665,1.0,1.0,1.0,3.0,40.0,25.0,4.0,6.0,2.0,3.0,3.0,3.5,4.25,6.25,1.0,1.0,1.0,6.5,3.0
sonnet5,8,2.9166666666666665,5.666666666666667,3.6666666666666665,3.5,0.8333333333333334,1.0,0.0,4.0,30.0,40.0,3.3333333333333335,2.0,3.0,3.0,4.0,4.1,5.0,5.0,1.0,1.0,1.0,4.0,5.0
sonnet5,9,4.083333333333333,6.166666666666667,3.0,,,,,,,,,,,,,,,,,,,,
sonnet5,10,2.5,5.5,3.5,3.5,1.0,1.0,1.0,4.0,75.0,40.0,3.6666666666666665,3.0,5.0,4.0,4.0,4.6,6.0,6.25,1.0,1.0,0.8,6.5,5.0
sonnet5,11,2.0,5.833333333333333,4.5,4.5,1.0,1.0,0.0,5.0,45.0,40.0,3.0,1.0,2.0,2.0,6.333333333333333,6.8,6.0,4.5,1.0,0.75,1.0,5.5,6.0
sonnet5,12,2.6666666666666665,5.666666666666667,3.5,3.6666666666666665,1.0,1.0,0.0,5.0,30.0,25.0,3.3333333333333335,1.0,2.0,3.0,4.333333333333333,5.0,5.75,5.0,1.0,1.0,1.0,5.0,6.0
sonnet5,13,3.6666666666666665,6.0,2.0,,,,,,,,,,,,,,,,,,,,
sonnet5,14,4.916666666666667,5.5,3.1666666666666665,3.0,1.0,1.0,0.5,5.0,50.0,40.0,3.3333333333333335,4.0,2.0,3.0,3.0,4.7,5.0,5.25,1.0,1.0,1.0,3.0,4.5
sonnet5,15,2.1666666666666665,5.166666666666667,4.5,4.333333333333333,0.8333333333333334,1.0,1.0,3.0,50.0,40.0,3.6666666666666665,2.0,3.0,2.0,5.333333333333333,6.0,5.0,5.0,1.0,1.0,1.0,6.5,6.0
sonnet5,16,2.75,6.166666666666667,2.0,2.3333333333333335,0.8333333333333334,1.0,1.0,5.0,50.0,40.0,3.6666666666666665,6.0,5.0,4.0,5.0,5.8,5.75,6.25,1.0,1.0,1.0,5.5,4.5
sonnet5,17,2.0833333333333335,5.166666666666667,2.6666666666666665,3.1666666666666665,1.0,1.0,1.0,4.0,30.0,40.0,3.6666666666666665,4.0,4.0,5.0,5.0,5.5,6.5,6.25,1.0,1.0,1.0,6.5,7.0
sonnet5,18,2.6666666666666665,6.0,2.0,3.0,0.8333333333333334,1.0,0.0,5.0,40.0,30.0,3.0,6.0,3.0,4.0,5.0,4.9,5.75,5.25,1.0,1.0,1.0,5.5,5.0
sonnet5,19,4.25,5.166666666666667,4.833333333333333,3.3333333333333335,0.8333333333333334,1.0,1.0,2.0,90.0,15.0,3.0,6.0,2.0,2.0,3.0,5.0,4.5,5.5,1.0,1.0,1.0,7.0,4.0
sonnet5,20,2.0,5.5,3.5,3.6666666666666665,0.8333333333333334,1.0,0.0,5.0,40.0,15.0,3.0,5.0,5.0,5.0,4.666666666666667,5.1,6.0,5.25,1.0,1.0,1.0,6.0,6.0
sonnet5,21,4.166666666666667,5.5,3.6666666666666665,3.1666666666666665,0.8333333333333334,1.0,0.0,4.0,60.0,25.0,3.3333333333333335,1.0,2.0,2.0,3.0,3.5,4.5,5.25,1.0,1.0,0.8,5.0,4.0
sonnet5,22,4.583333333333333,6.166666666666667,3.5,3.1666666666666665,1.0,1.0,1.0,4.0,50.0,40.0,3.3333333333333335,3.0,5.0,5.0,3.3333333333333335,4.8,5.25,6.5,1.0,1.0,1.0,6.5,2.0
sonnet5,23,2.5833333333333335,5.5,3.6666666666666665,3.0,0.8333333333333334,1.0,1.0,4.0,60.0,25.0,3.6666666666666665,6.0,2.0,,,,,,,,,,
