analysis,param,mean,hdi_2.5,hdi_97.5,P_gt0
narrative_stratified,b_bare,0.41,0.223,0.624,
narrative_stratified,b_rep,1.125,0.419,1.851,
narrative_stratified,b_pub,0.519,-0.393,1.429,
narrative_stratified,sigma,0.602,0.445,0.774,
narrative_stratified,sd_eff,0.686,0.442,0.995,
narrative_stratified,d_orig,1.167,-0.19,2.593,
narrative_stratified,P_pub_gt0,0.872,,,
narrative_stratified,b_pub_orig_group,1.68573173405958,0.03180923217459951,3.1213593832456437,0.977
censored,b_bare,0.393,0.167,0.604,
censored,b_rep,1.106,0.337,1.915,
censored,b_pub,0.699,-0.395,1.733,
censored,sigma,0.64,0.427,0.852,
censored,sd_eff,0.757,0.448,1.053,
censored,P_pub_gt0,0.9,,,
transcription_error,b_bare,0.45,0.202,0.696,
transcription_error,b_rep,1.01,0.242,1.792,
transcription_error,b_pub,0.59,-0.386,1.562,
transcription_error,sigma,0.546,0.385,0.73,
transcription_error,sd_eff,0.782,0.517,1.041,
transcription_error,P_pub_gt0,0.878,,,
