effect_id,doi_o,ref_o,description,discipline,disc_cat,n_o,r_o,n_r,r_r,gap,gap_band,tags,in_A0,thin_metadata,sim_round1_uncalibrated,sim_round1,sim_round2,audit_tier,simulable_final,sim_needs_review,narr_round1,narr_round1_reason,narr_round2,narr_round2_reason,narrative_disagreement,exclusion_reason,sim_round1_provenance,narrative_final,sim_admission,narrative_manual_adjudication_needed,narr_opus,opus_reason,agree3,narr_gpt,gpt_reason,narr_consensus,narr_votes,narr_nrounds
1360,10.1002/smj.2585,"McCann, B. T., & Bahl, M. (2016). The influence of competition from informal firms on new product development. Strategic Management Journal, 38(7), 1518–1535. Portico. https://doi.org/10.1002/smj.2585",influence of competition from informal firms on new product development,Management,other,9522.0,0.06,9266.0,0.07,-0.01,low,informal competition; new product develop-ment; attention-based view; emerging economies; compet-itive strategy,False,False,NOT_SIMULABLE,SIMULABLE,,B_calibrated_only,True,False,obscure,A niche management effect with near-identical original and replication effect sizes attracts little attention in either literature or public discourse.,obscure,"Niche management-strategy finding with tiny effect size, unlikely to be widely known enough to carry any replication narrative.",False,,calibrated full-pool rerun,obscure,confirmed,False,obscure,"A niche SMJ informal-competition/NPD result with modest citations in strategy and development-economics papers; absent from textbooks, teaching material, and popular press, so no framing dominates.",unanimous,obscure,This specialized strategic-management finding has little broad popular or textbook visibility and no widely known replication-failure narrative.,obscure,4,4
1355,10.1016/j.jesp.2012.11.012,"Zarkadi, T., & Schnall, S. (2013). “Black and White” thinking: Visual contrast polarizes moral judgment. Journal of Experimental Social Psychology, 49(3), 355–359. https://doi.org/10.1016/j.jesp.2012.11.012","Black-and-white priming, priming of a black-and-white visual pattern polarizes moral judgment",Social Psychology,social,111.0,0.2645751311064591,8602.0,0.0316227766016837,0.2329523545047753,mid,"Moral judgment, Morality, Embodiment, Metaphor, Visual contrast, Black and white",False,False,NOT_SIMULABLE,SIMULABLE,,B_calibrated_only,True,False,obscure,"This niche embodied-cognition finding never gained wide traction, and its failed replication is known only within specialist literature.",obscure,This is a niche embodied-cognition priming effect too specific and minor to have entered common discourse either way.,False,,calibrated full-pool rerun,obscure,confirmed,False,obscure,"Zarkadi & Schnall's black-and-white priming effect is barely cited outside Many Labs 2 tables; no textbook, popular, or applied narrative sustains either framing.",unanimous,obscure,"This specific visual-contrast moral-judgment priming effect is rarely discussed in broad scientific or popular accounts, and neither the original result nor any replication outcome has become a widely recognized narrative.",obscure,4,3
864,10.1037/0022-3514.95.2.293,"Risen, J. L., & Gilovich, T. (2008). Why people are reluctant to tempt fate. Journal of Personality and Social Psychology, 95(2), 293–307. https://doi.org/10.1037/0022-3514.95.2.293",Reluctance to tempt fate,Psychology,psych_general,120.0,0.1913950514033555,8000.0,0.0896376994958905,0.101757351907465,mid,"tempt fate, magical thinking, accessibility, negativity",False,False,SIMULABLE,SIMULABLE,SIMULABLE,A_dual_confirmed,True,False,obscure,A niche magical-thinking effect; neither the original nor its weaker replication has broad recognition outside specialist judgment-and-decision-making circles.,obscure,Niche magical-thinking effect lacking broad recognition; neither its finding nor its replication failure is widely known.,False,,calibrated full-pool rerun,obscure,confirmed,False,obscure,"Tempting-fate work appears mainly in niche superstition/magical-thinking reviews and Many Labs 2 tables; it has little textbook, popular-press, or applied presence in either framing.",unanimous,original_dominates,"The effect is still generally presented as evidence that people avoid actions or statements perceived as “tempting fate,” with no widely prominent replication-failure narrative displacing the original account.",obscure,3,4
852,10.1093/analys/63.3.190,"Knobe, J. (2003). Intentional action and side effects in ordinary language. Analysis, 63(3), 190–194. https://doi.org/10.1093/analys/63.3.190",Harmful side-effects are more likely to be judged as having been brought about intentionally than helpful side effects,Psychology,psych_general,78.0,0.600556507185804,7982.0,0.658504607868518,-0.057948100682714,low,"intentional action, folk psychology, prediction, explanation, control, behaviour",False,False,SIMULABLE,SIMULABLE,SIMULABLE,A_dual_confirmed,True,False,original_dominates,Knobe effect is a textbook classic widely taught; the large confirming replication is barely known outside specialists.,original_dominates,"The Knobe effect is famous as a robust, celebrated finding; its large replication success isn't part of the common narrative.",False,,calibrated full-pool rerun,original_dominates,confirmed,False,original_dominates,"The Knobe effect replicates robustly and is affirmed in experimental-philosophy reviews, moral-psychology textbooks, SEP entries, and popular writing; debate concerns explanation, not existence.",unanimous,original_dominates,"The “Knobe effect” is widely presented as a robust asymmetry in intentionality judgments, although its explanation remains actively debated.",original_dominates,4,4
863,10.1111/j.1468-0017.2006.00297.x,"HAUSER, M., CUSHMAN, F., YOUNG, L., KANG‐XING JIN, R., & MIKHAIL, J. (2007). A Dissociation Between Moral Judgments and Justifications. Mind &amp; Language, 22(1), 1–21. Portico. https://doi.org/10.1111/j.1468-0017.2006.00297.x",an act that harms other people is seen as more morally permissible if the act is a foreseen side effect rather than the means to the greater good,Social Psychology,social,2612.0,0.1902779639793305,7923.0,0.1240347345892084,0.066243229390122,mid,"double effect, moral judgments, justifications, moral dilemma",False,False,SIMULABLE,SIMULABLE,SIMULABLE,A_dual_confirmed,True,False,contested,"Doctrine of double effect is debated in philosophy/psychology, with Many Labs-type replications cited alongside continued defenses of the original effect.",contested,"Doctrine of double effect remains actively debated in moral psychology, with researchers still contesting its robustness, scope, and underlying mechanisms.",False,,calibrated full-pool rerun,contested,confirmed,False,original_dominates,"The means/side-effect (doctrine of double effect) contrast is still taught affirmatively in moral-psychology textbooks, trolley-problem popular writing, and citing neuroethics work; it replicated, so failure framing is marginal.",majority,original_dominates,"The means-versus-foreseen-side-effect distinction remains a widely taught and replicated feature of moral judgment, commonly framed through the doctrine of double effect rather than as a failed finding.",uncertain,2,4
871,10.1016/j.obhdp.2006.10.001,"Giessner, S. R., & Schubert, T. W. (2007). High in the hierarchy: How vertical location and judgments of leaders’ power are interrelated. Organizational Behavior and Human Decision Processes, 104(1), 30–44. https://doi.org/10.1016/j.obhdp.2006.10.001",Relating vertical position with power,Judgment and Decision Making,jdm,64.0,0.2638110893282788,7890.0,0.0149983127847122,0.2488127765435666,mid,"leadership, power, person perception, embodiment, metaphor",False,False,NOT_SIMULABLE,SIMULABLE,,B_calibrated_only,True,False,contested,"Power-posture embodiment findings circulate widely in popular/textbook accounts, while replication crisis critiques actively dispute their validity in literature.",failure_dominates,"Embodied-cognition/power-posture-style metaphor effects are now emblematic of the replication crisis, especially given the huge N=7890 null result.",True,,calibrated full-pool rerun,DISAGREE,confirmed,True,obscure,This niche vertical-position/power embodiment study lives mainly in citation lists of embodied-cognition papers and Many Labs appendices; neither textbooks nor press narrate it prominently.,all_differ,original_dominates,"The association between vertical position and perceived power remains widely presented as a supported conceptual-metaphor and social-perception finding, without a prominent replication-failure narrative.",uncertain,1,4
880,10.1111/1467-9280.00334,"Rottenstreich, Y., & Hsee, C. K. (2001). Money, Kisses, and Electric Shocks: On the Affective Psychology of Risk. Psychological Science, 12(3), 185–190. https://doi.org/10.1111/1467-9280.00334",Whether to prefer an affectively attractive option (a kiss from a favorite movie star) or a financially attractive option ($50) depends on certainty,Social Psychology,social,40.0,0.3747586376266759,7218.0,-0.0399680383488715,0.3347905992778043,high,"prospect theory, affective, s-shaped, affect-rich, affect-poor, outcome",False,False,NOT_SIMULABLE,SIMULABLE,,B_calibrated_only,True,False,obscure,This niche affect-vs-money certainty effect and its large replication failure both remain largely unknown outside specialist decision-making research.,obscure,This specific affect-rich/affect-poor certainty effect study is too niche for either the finding or its replication failure to be widely known.,False,,calibrated full-pool rerun,obscure,confirmed,False,original_dominates,"Affect-vs-certainty ""kiss or $50"" result is still cited affirmatively in judgment/decision-making reviews, marketing and behavioral-economics texts; the Many Labs null remains a methodological footnote.",majority,original_dominates,"The study’s affect-rich versus affect-poor probability-insensitivity result remains commonly presented as evidence for affective influences on risk judgment, with no widely known replication-failure narrative.",uncertain,2,4
851,10.1037/0022-3514.83.5.1239,"Miyamoto, Y., & Kitayama, S. (2002). Cultural variation in correspondence bias: The critical role of attitude diagnosticity of socially constrained behavior. Journal of Personality and Social Psychology, 83(5), 1239–1248. https://doi.org/10.1037/0022-3514.83.5.1239",Correspondence bias (WEIRD samples),Psychology,psych_general,58.0,0.774154681281388,7197.0,0.673040840090995,0.101113841190393,mid,Many Labs 2,False,False,SIMULABLE,SIMULABLE,SIMULABLE,A_dual_confirmed,True,False,contested,"Many Labs 2 replicated correspondence bias fairly robustly, but debates persist about cross-cultural generalizability and WEIRD-sample limits.",original_dominates,"Correspondence bias remains taught as a robust, well-supported phenomenon; the small effect-size gap from Many Labs 2 rarely enters common discourse.",True,,calibrated full-pool rerun,DISAGREE,confirmed,True,original_dominates,"Correspondence bias/attribution error remains a staple of social-psych textbooks, ML-2 confirmed it in WEIRD samples, and the cultural-moderation nuance is discussed without casting doubt.",majority,original_dominates,"The study is still commonly cited as evidence that correspondence bias varies culturally, with no widely recognized replication-failure narrative displacing it.",original_dominates,3,4
868,10.1177/0956797611429579,"Bauer, M. A., Wilkie, J. E. B., Kim, J. K., & Bodenhausen, G. V. (2012). Cuing Consumerism. Psychological Science, 23(5), 517–523. https://doi.org/10.1177/0956797611429579",Effects of consumer cues on viewing other people as partners,Social Psychology,social,77.0,0.2561582384877227,6608.0,0.0598922907279467,0.196265947759776,mid,"consumerism, materialism, situationism, social engagement, well-being, personal values",False,False,SIMULABLE,SIMULABLE,SIMULABLE,A_dual_confirmed,True,False,obscure,"This niche Many Labs-style effect and its null replication remain known only within specialist replication/social-priming circles, not broader discourse.",obscure,"Niche materialism-cue priming study, too narrow and low-profile to have formed a widely shared default association either way.",False,,calibrated full-pool rerun,obscure,confirmed,False,obscure,"Bauer et al.'s consumerism cuing work sits in Many Labs-style replication tables and occasional materialism reviews, but appears in no textbooks, popular books, or press coverage.",unanimous,obscure,"This specific consumer-cue effect is rarely discussed in broad psychology textbooks or popular science, and no replication-failure narrative has become widely salient.",obscure,4,3
874,10.1037/a0034462,"Kay, A. C., Laurin, K., Fitzsimons, G. M., & Landau, M. J. (2014). A functional basis for structure-seeking: Exposure to structure promotes willingness to engage in motivated action. Journal of Experimental Psychology: General, 143(2), 486–491. https://doi.org/10.1037/a0034462",Structure promotes goal pursuit,Experimental Philosophy,expphil,67.0,0.2425356250363329,6506.0,-0.0099995000374968,0.232536124998836,mid,"structure seeking, pattern perception, self-regulation, goal pursuit, compensatory control",False,False,SIMULABLE,SIMULABLE,SIMULABLE,A_dual_confirmed,True,False,obscure,"A narrow social-psych finding with no broad citation or public traction, despite the large replication showing no effect.",obscure,"Niche self-regulation/compensatory-control finding, too specific and low-profile for either ""classic"" or ""famous failed replication"" status.",False,,calibrated full-pool rerun,obscure,confirmed,False,obscure,This niche JEP:General structure-seeking study has little textbook or press presence; it lives mainly as one row in Many Labs-style replication tables.,unanimous,obscure,"This specific structure-exposure effect is rarely discussed in broad psychology textbooks or popular science, and no replication failure has become a widely recognized counter-narrative.",obscure,4,4
