pair_id,group,fame,pol,excess,all-mpnet-base-v2,all-MiniLM-L6-v2,tfidf
P_BES|W_myside_german,undiscussed,0,0,-0.10800384500645238,0.13646728912104733,0.07566053667054326,0.0
P_BES|W_proportion_dom_1A,undiscussed,0,0,-0.19507704560558775,0.030863058470075547,0.039266121289560044,0.0
P_RFS|W_less_is_more_A,undisc_pol,0,1,0.052937827139858146,-0.004050916698214873,-0.019918278984813843,0.0107817227461622
P_RFS|W_prob_maximizing_cards,undisc_pol,0,1,-0.0938687497497902,0.00893031108384962,0.01052347366623234,0.011148252488414752
P_age_bracket|P_neuroticism,famous_nonpol,1,0,0.004044875389189899,0.15291978565022885,0.16441654877376446,0.0
P_agency|W_purchase_intent,undiscussed,0,0,-0.07867450410601488,0.11704992340949369,0.10938681614550183,0.0
P_agreeableness|P_dictator_sender,famous_nonpol,1,0,0.3150622405691401,0.19524350249588085,0.09130134201558371,0.0
P_conscientiousness|P_education,famous_nonpol,1,0,0.10782592510933235,0.06328658433763279,0.11996008800622211,0.0
P_conscientiousness|W_policy_support_liberal,famous,1,1,0.22125642288842784,0.07224173424713379,0.18164763065181921,0.0
P_crt2_score|P_wason,famous_nonpol,1,0,0.1502286108354217,0.290451019670788,0.20214047043139566,0.0
P_crt2_score|W_linda_conjunction_rating,famous,1,1,0.0266085834122968,0.2635701075161418,0.17336733006383093,0.0
P_female|W_risk_perception,famous,1,1,0.012188374797099603,0.025135860401754726,0.028279354266602236,0.0
P_neuroticism|P_maximization,famous_nonpol,1,0,0.4801784552161766,0.3645847265074803,0.4473170358806702,0.0
P_numeracy|W_denom_neglect_avoid,famous,1,1,-0.14635100259422168,0.5019856897275137,0.497002221812596,0.13394165334353295
P_openness|P_fluid,famous_nonpol,1,0,0.0762915502177311,0.10106006574548271,0.06876843841432292,0.0
P_openness|W_policy_support_liberal,famous,1,1,0.335923574178873,0.12960034231140782,0.13711088419673473,0.0
P_overplacement|W_benefit_perception,undiscussed,0,0,0.11280874555790318,0.19263109440812193,0.3244619482901973,0.0
P_political_liberalism|P_mentalaccounting,undisc_pol,0,1,0.23041984662009016,0.22731998572783368,0.09315071973645395,0.012538040463899676
P_political_liberalism|W_policy_support_liberal,famous,1,1,0.2236618455078308,0.4717230125889925,0.45571027177549367,0.02026608598043673
P_political_liberalism|W_proportion_dom_1A,undisc_pol,0,1,0.025349805401848752,0.3270340250526981,0.16616707460842675,0.0
P_political_liberalism|W_vaccine_acceptance,famous,1,1,0.1791158835395057,0.09258251754272226,0.1191592046654602,0.0
P_religious_nonattendance|P_mentalaccounting,undisc_pol,0,1,0.17413322946320126,0.1354725567987214,0.10942895137219585,0.0
P_religious_nonattendance|W_prob_maximizing_cards,undisc_pol,0,1,-0.08711251415087,-0.019886398999921073,0.02067629687111039,0.0
P_religious_nonattendance|W_purchase_intent,undiscussed,0,0,-0.0150098243570609,0.25605870338700176,0.15384015905195364,0.0
W_benefit_perception|W_risk_perception,famous,1,1,-0.005012547371512896,0.7048494615917733,0.6390863437929909,0.26402033378328643
W_perceived_public_support_lib|W_myside_ford,undiscussed,0,0,-0.014487924253324153,0.18590544032632628,0.1791793070246137,0.09260685636883603
W_perceived_public_support_lib|W_vaccine_acceptance,undiscussed,0,0,0.25087066840708716,0.1991009585803779,0.1679478178354897,0.022781604151748226
W_policy_support_liberal|W_base_rate_30eng,undisc_pol,0,1,0.10607597330613741,0.0074095836313781485,0.045576810516175986,0.005608721507050019
W_policy_support_liberal|W_myside_ford,undiscussed,0,0,-0.08453101580060783,0.16460598422125228,0.17495440424416414,0.01136953768274629
W_policy_support_liberal|W_perceived_public_support_lib,famous,1,1,0.2108328390436322,0.4449416926991724,0.6291559327128946,0.35742331679016043
W_policy_support_liberal|W_proportion_dom_1A,undisc_pol,0,1,-0.19163692752731293,0.29791637191868314,0.32676172630757583,0.02893717168439625
W_policy_support_liberal|W_proportion_dom_1A,undiscussed,0,0,-0.1568121877656326,0.29791637191868314,0.32676172630757583,0.02893717168439625
W_risk_perception|W_myside_german,undiscussed,0,0,-0.11821693697233801,0.3040623802913006,0.2946235932958903,0.0
