sim,rank_b_bare,rank_b_rep,rank_b_pub
0,133,4,128
1,40,181,85
2,40,60,37
3,175,30,13
4,74,61,123
5,102,58,169
6,54,183,141
7,120,99,80
8,177,22,53
9,62,137,174
10,194,156,129
11,142,98,124
12,120,132,146
13,119,0,101
14,144,61,164
15,177,20,1
16,97,123,42
17,177,75,119
18,199,4,10
19,23,168,183
20,179,24,17
21,51,141,66
22,94,43,54
23,133,60,147
24,100,160,179
25,72,70,124
26,60,119,86
27,113,21,0
28,147,149,173
29,131,104,53
30,119,29,15
31,127,101,145
32,32,164,60
33,61,184,158
34,99,69,67
35,140,157,175
36,67,194,173
37,177,36,6
38,164,146,16
39,163,24,31
40,52,135,2
41,105,67,12
42,101,136,70
43,39,129,188
44,145,150,138
45,64,87,47
46,115,23,79
47,197,117,146
48,64,61,3
49,183,26,163
50,114,122,188
51,176,35,118
52,96,28,15
53,78,1,35
54,171,60,147
55,47,187,180
56,57,176,183
57,3,124,180
58,166,78,85
59,112,55,163
60,158,140,132
61,18,184,186
62,43,124,138
63,149,2,27
64,142,81,72
65,99,133,192
66,74,135,43
67,104,22,124
68,66,189,174
69,93,57,41
70,173,68,148
71,71,175,156
72,93,121,146
73,40,166,65
74,168,50,169
75,93,188,112
76,28,44,25
77,4,103,168
78,60,15,167
79,149,95,169
80,45,102,128
81,81,144,178
82,141,23,86
83,186,48,12
84,194,53,88
85,133,187,131
86,39,50,115
87,116,136,165
88,105,179,93
89,127,62,10
90,99,145,116
91,1,68,100
92,168,108,77
93,154,33,20
94,64,26,75
95,64,80,67
96,5,171,66
97,108,173,54
98,89,114,176
99,102,95,148
100,23,162,133
101,187,166,156
102,30,50,67
103,177,18,164
104,30,100,48
105,148,2,78
106,154,84,106
107,136,13,62
108,179,193,164
109,64,71,157
110,198,141,161
111,101,33,9
112,69,136,73
113,84,22,92
114,123,121,2
115,183,5,12
116,156,132,56
117,58,47,50
118,83,29,50
119,47,155,58
120,164,100,159
121,162,126,57
122,173,187,87
123,187,92,71
124,94,120,61
125,78,84,104
126,32,51,140
127,160,110,88
128,155,82,120
129,107,145,173
130,176,49,38
131,123,49,81
132,138,152,160
133,185,182,169
134,50,22,8
135,11,198,133
136,122,32,56
137,97,36,23
138,107,104,103
139,62,137,68
140,12,94,139
141,114,120,104
142,160,100,90
143,100,106,115
144,90,59,141
145,195,133,177
146,161,62,71
147,57,33,43
148,187,100,72
149,172,47,89
150,152,70,132
151,63,123,54
152,30,173,29
153,25,74,163
154,31,168,193
155,69,141,51
156,92,8,108
157,19,94,107
158,135,56,165
159,101,94,89
160,88,122,184
161,80,145,68
162,132,135,192
163,182,137,19
164,155,170,122
165,52,179,180
166,19,188,80
167,148,165,85
168,151,116,142
169,27,93,85
170,145,106,9
171,45,164,85
172,3,184,112
173,188,69,107
174,195,27,179
175,196,16,2
176,192,156,118
177,85,141,152
178,70,132,102
179,30,137,76
180,63,121,154
181,101,186,193
182,145,63,56
183,188,88,37
184,128,191,108
185,109,183,45
186,53,51,142
187,92,30,139
188,140,109,28
189,182,160,160
190,12,183,169
191,136,132,72
192,133,165,149
193,192,118,159
194,142,32,187
195,56,83,46
196,121,18,37
197,57,141,72
198,3,198,168
199,26,114,15
