analysis,param,mean,hdi_2.5,hdi_97.5
full,b_bare,0.3714,0.1774,0.5663
full,b_rep,1.0875,0.3082,1.7943
full,b_pub,0.6449,-0.2456,1.6206
full,b_model,-0.0609,-0.3614,0.2029
full,sd_eff,0.7501,0.5099,1.0059
full,sigma,0.5975,0.4468,0.7658
full,P_pub_gt0,0.9078,,
excl_ceiling,b_bare,0.1576,-0.0261,0.3263
excl_ceiling,b_rep,0.7017,0.2069,1.2134
excl_ceiling,b_pub,0.2472,-0.6027,1.0714
excl_ceiling,b_model,-0.2358,-0.5031,0.0003
excl_ceiling,sd_eff,0.3818,0.09,0.6222
excl_ceiling,sigma,0.4196,0.2804,0.5852
excl_ceiling,P_pub_gt0,0.7208,,
high_precision,b_bare,0.361,0.1244,0.627
high_precision,b_rep,0.6996,-0.0606,1.452
high_precision,b_pub,0.6878,-0.4131,1.8231
high_precision,b_model,-0.2175,-0.5906,0.1848
high_precision,sd_eff,0.6486,0.3092,0.9792
high_precision,sigma,0.6427,0.4532,0.8943
high_precision,P_pub_gt0,0.8865,,
uniform_wave,b_bare,0.5345,0.2551,0.8158
uniform_wave,b_rep,0.7985,-0.0305,1.5684
uniform_wave,b_pub,-0.2077,-1.3808,0.9957
uniform_wave,b_model,0.1802,-0.1242,0.5018
uniform_wave,sd_eff,0.7604,0.4975,1.0525
uniform_wave,sigma,0.4604,0.3081,0.6324
uniform_wave,P_pub_gt0,0.3622,,
persona_inclusive,b_bare,0.3842,0.1853,0.5608
persona_inclusive,b_rep,0.996,0.2706,1.696
persona_inclusive,b_pub,0.5705,-0.4016,1.4638
persona_inclusive,b_model,-0.0934,-0.3608,0.1932
persona_inclusive,sd_eff,0.7241,0.5052,0.9904
persona_inclusive,sigma,0.5697,0.4225,0.7218
persona_inclusive,P_pub_gt0,0.8882,,
