effect_id,doi_o,ref_o,description,discipline,disc_cat,n_o,r_o,n_r,r_r,gap,gap_band,quota_stratum,in_A0,sim_round1,sim_round2,sim_round1_uncalibrated,simulable_final,sim_admission,sim_needs_review,sim_round1_provenance,narr_round1,narr_round1_reason,narr_round2,narr_round2_reason,narrative_final,narrative_disagreement,narrative_manual_adjudication_needed,audit_tier,selection_reason
1355,10.1016/j.jesp.2012.11.012,"Zarkadi, T., & Schnall, S. (2013). “Black and White” thinking: Visual contrast polarizes moral judgment. Journal of Experimental Social Psychology, 49(3), 355–359. https://doi.org/10.1016/j.jesp.2012.11.012","Black-and-white priming, priming of a black-and-white visual pattern polarizes moral judgment",Social Psychology,social,111.0,0.2645751311064591,8602.0,0.0316227766016837,0.2329523545047753,mid,mid,False,SIMULABLE,,NOT_SIMULABLE,True,confirmed,False,calibrated full-pool rerun,obscure,"This niche embodied-cognition finding never gained wide traction, and its failed replication is known only within specialist literature.",obscure,This is a niche embodied-cognition priming effect too specific and minor to have entered common discourse either way.,obscure,False,False,B_calibrated_only,stratified quota (gap x narrative x discipline)
852,10.1093/analys/63.3.190,"Knobe, J. (2003). Intentional action and side effects in ordinary language. Analysis, 63(3), 190–194. https://doi.org/10.1093/analys/63.3.190",Harmful side-effects are more likely to be judged as having been brought about intentionally than helpful side effects,Psychology,psych_general,78.0,0.600556507185804,7982.0,0.658504607868518,-0.057948100682714,low,low,False,SIMULABLE,SIMULABLE,SIMULABLE,True,confirmed,False,calibrated full-pool rerun,original_dominates,Knobe effect is a textbook classic widely taught; the large confirming replication is barely known outside specialists.,original_dominates,"The Knobe effect is famous as a robust, celebrated finding; its large replication success isn't part of the common narrative.",original_dominates,False,False,A_dual_confirmed,stratified quota (gap x narrative x discipline)
871,10.1016/j.obhdp.2006.10.001,"Giessner, S. R., & Schubert, T. W. (2007). High in the hierarchy: How vertical location and judgments of leaders’ power are interrelated. Organizational Behavior and Human Decision Processes, 104(1), 30–44. https://doi.org/10.1016/j.obhdp.2006.10.001",Relating vertical position with power,Judgment and Decision Making,jdm,64.0,0.2638110893282788,7890.0,0.0149983127847122,0.2488127765435666,mid,mid,False,SIMULABLE,,NOT_SIMULABLE,True,confirmed,False,calibrated full-pool rerun,contested,"Power-posture embodiment findings circulate widely in popular/textbook accounts, while replication crisis critiques actively dispute their validity in literature.",failure_dominates,"Embodied-cognition/power-posture-style metaphor effects are now emblematic of the replication crisis, especially given the huge N=7890 null result.",DISAGREE,True,True,B_calibrated_only,stratified quota (gap x narrative x discipline)
880,10.1111/1467-9280.00334,"Rottenstreich, Y., & Hsee, C. K. (2001). Money, Kisses, and Electric Shocks: On the Affective Psychology of Risk. Psychological Science, 12(3), 185–190. https://doi.org/10.1111/1467-9280.00334",Whether to prefer an affectively attractive option (a kiss from a favorite movie star) or a financially attractive option ($50) depends on certainty,Social Psychology,social,40.0,0.3747586376266759,7218.0,-0.0399680383488715,0.3347905992778043,high,high,False,SIMULABLE,,NOT_SIMULABLE,True,confirmed,False,calibrated full-pool rerun,obscure,This niche affect-vs-money certainty effect and its large replication failure both remain largely unknown outside specialist decision-making research.,obscure,This specific affect-rich/affect-poor certainty effect study is too niche for either the finding or its replication failure to be widely known.,obscure,False,False,B_calibrated_only,stratified quota (gap x narrative x discipline)
868,10.1177/0956797611429579,"Bauer, M. A., Wilkie, J. E. B., Kim, J. K., & Bodenhausen, G. V. (2012). Cuing Consumerism. Psychological Science, 23(5), 517–523. https://doi.org/10.1177/0956797611429579",Effects of consumer cues on viewing other people as partners,Social Psychology,social,77.0,0.2561582384877227,6608.0,0.0598922907279467,0.196265947759776,mid,mid,False,SIMULABLE,SIMULABLE,SIMULABLE,True,confirmed,False,calibrated full-pool rerun,obscure,"This niche Many Labs-style effect and its null replication remain known only within specialist replication/social-priming circles, not broader discourse.",obscure,"Niche materialism-cue priming study, too narrow and low-profile to have formed a widely shared default association either way.",obscure,False,False,A_dual_confirmed,stratified quota (gap x narrative x discipline)
874,10.1037/a0034462,"Kay, A. C., Laurin, K., Fitzsimons, G. M., & Landau, M. J. (2014). A functional basis for structure-seeking: Exposure to structure promotes willingness to engage in motivated action. Journal of Experimental Psychology: General, 143(2), 486–491. https://doi.org/10.1037/a0034462",Structure promotes goal pursuit,Experimental Philosophy,expphil,67.0,0.2425356250363329,6506.0,-0.0099995000374968,0.232536124998836,mid,mid,False,SIMULABLE,SIMULABLE,SIMULABLE,True,confirmed,False,calibrated full-pool rerun,obscure,"A narrow social-psych finding with no broad citation or public traction, despite the large replication showing no effect.",obscure,"Niche self-regulation/compensatory-control finding, too specific and low-profile for either ""classic"" or ""famous failed replication"" status.",obscure,False,False,A_dual_confirmed,stratified quota (gap x narrative x discipline)
725,10.1037/a0029288,"Caruso, E. M., Vohs, K. D., Baxter, B., & Waytz, A. (2013). Mere exposure to money increases endorsement of free-market systems and social inequality. Journal of Experimental Psychology: General, 142(2), 301–306. https://doi.org/10.1037/a0029288","The replication tested whether money priming increases system justification. It did not replicate: d = -0.02, p = .43, indicating differences from the original study.",Social Psychology,social,30.0,0.3713906763541036,6340.0,-0.0099995000374968,0.3613911763166068,high,high,False,SIMULABLE,SIMULABLE,SIMULABLE,True,confirmed,False,calibrated full-pool rerun,contested,"Money priming remains cited in social psychology while Many Labs failures are widely known, keeping the effect actively debated.",obscure,"Money priming's link to system justification specifically is a niche sub-finding, overshadowed by broader priming replication debates, not independently well-known.",DISAGREE,True,True,A_dual_confirmed,stratified quota (gap x narrative x discipline)
726,10.1016/j.jesp.2010.05.014,"Husnu, S., & Crisp, R. J. (2010). Elaboration enhances the imagined contact effect. Journal of Experimental Social Psychology, 46(6), 943–950. https://doi.org/10.1016/j.jesp.2010.05.014","The replication tested whether imagining positive contact with an outgroup increases intentions to engage in future intergroup contact. It found a small but statistically significant effect: d = .13, p < .001​ML.web.Supplement (1)",Social Psychology,social,33.0,0.3950277506594153,6335.0,0.0648631210826801,0.3301646295767352,high,high,False,SIMULABLE,SIMULABLE,SIMULABLE,True,confirmed,False,calibrated full-pool rerun,original_dominates,Imagined-contact theory remains widely cited and taught; the Many Labs shrinkage to near-zero is known mainly to replication specialists.,obscure,"Imagined contact is a niche paradigm within intergroup contact research, too specialized for either replication narrative to be widely known.",DISAGREE,True,True,A_dual_confirmed,stratified quota (gap x narrative x discipline)
678,10.1017/s1930297500001170,"Oppenheimer, D. M., & Monin, B. (2009). The retrospective gambler’s fallacy: Unlikely events, constructing the past, and multiple universes. Judgment and Decision Making, 4(5), 326–334. https://doi.org/10.1017/s1930297500001170","Results showed no significant retrospective gambler’s fallacy effect, as the data violated the normality assumption. Effect size: d = 0.02, p = .27.",Social Psychology,social,80.0,0.3261363455467632,5979.0,0.0099995000374968,0.3161368455092663,high,high,False,SIMULABLE,SIMULABLE,SIMULABLE,True,confirmed,False,calibrated full-pool rerun,obscure,This niche retrospective gambler's fallacy finding and its failed replication both attract little attention outside decision-making specialists.,obscure,Retrospective gambler's fallacy is a niche decision-making effect too peripheral for either narrative to have become a default association.,obscure,False,False,A_dual_confirmed,stratified quota (gap x narrative x discipline)
721,10.1016/0010-0285(73)90033-9,"Tversky, A., & Kahneman, D. (1973). Availability: A heuristic for judging frequency and probability. Cognitive Psychology, 5(2), 207–232. https://doi.org/10.1016/0010-0285(73)90033-9","The replication tested whether individuals overestimate the frequency or likelihood of events that are more easily retrievable from memory, demonstrating the availability heuristic. For example, participants judged more frequent exposure to names of famous people compared to less famous individuals.",Judgment and Decision Making,jdm,152.0,0.3793532811354438,3088.0,0.0449545065814817,0.3343987745539621,high,high,False,SIMULABLE,SIMULABLE,SIMULABLE,True,confirmed,False,calibrated full-pool rerun,original_dominates,The availability heuristic remains a textbook staple; this specific large replication failure is niche and little-known outside replication circles.,original_dominates,"Availability heuristic is a textbook Kahneman/Tversky staple; its replication weakness is niche knowledge, not the common association.",original_dominates,False,False,A_dual_confirmed,stratified quota (gap x narrative x discipline)
722,10.1111/j.1467-9280.2006.01824.x,"Galinsky, A. D., Magee, J. C., Inesi, M. E., & Gruenfeld, D. H. (2006). Power and Perspectives Not Taken. Psychological Science, 17(12), 1068–1074. https://doi.org/10.1111/j.1467-9280.2006.01824.x",The replication tested whether individuals primed with high power are less likely to consider others' perspectives during communication tasks compared to individuals primed with low power.,Linguistics,cognitive,42.0,0.3592917377421468,2969.0,0.0149983127847122,0.3442934249574346,high,high,False,SIMULABLE,,NOT_SIMULABLE,True,confirmed,False,calibrated full-pool rerun,failure_dominates,This power-perspective-taking effect is widely cited in the power-posing/social-priming replication crisis as a textbook non-replication.,failure_dominates,"Power-priming perspective-taking effects are now a textbook example of the priming replication crisis, alongside social priming studies broadly.",failure_dominates,False,False,B_calibrated_only,stratified quota (gap x narrative x discipline)
706,10.1111/j.1467-9280.2009.02426.x,"Jostmann, N. B., Lakens, D., & Schubert, T. W. (2009). Weight as an Embodiment of Importance. Psychological Science, 20(9), 1169–1174. https://doi.org/10.1111/j.1467-9280.2009.02426.x",Replicated the effect of clipboard weight on perceived importance. No significant differences were observed (p = .54).,Social Psychology,social,51.0,0.282945147243684,2374.0,0.0149983127847122,0.2679468344589717,high,high,False,SIMULABLE,,NOT_SIMULABLE,True,confirmed,False,calibrated full-pool rerun,failure_dominates,"Many Labs 3's large null result is widely cited as a textbook embodiment-priming replication failure, overshadowing the small original study.",obscure,"Clipboard-weight/importance embodiment is too minor a study to have a widely shared association, unlike heavier-hitters (power poses, facial feedback).",DISAGREE,True,True,B_calibrated_only,stratified quota (gap x narrative x discipline)
1873,10.1023/a:1007744326393,"FETHERSTONHAUGH, D., SLOVIC, P., JOHNSON, S., & FRIEDRICH, J. (1997). Insensitivity to the Value of Human Life: A Study of Psychophysical Numbing. Journal of Risk and Uncertainty, 14(3), 283–300. https://doi.org/10.1023/a:1007744326393",life-saving interventions would be valued more highly when the number of lives at risk was small than when the number at risk was large.,Psychology,psych_general,162.0,0.7414562912379874,1606.0,0.4919138057920608,0.2495424854459265,mid,mid,False,SIMULABLE,,NOT_SIMULABLE,True,confirmed,False,calibrated full-pool rerun,contested,Scope-insensitivity/proportion dominance in valuing lives is widely taught yet actively debated amid mixed replications in JDM literature.,obscure,"This specific ""value life-saving less as scale rises"" framing isn't a widely-known named effect like other classic JDM biases (e.g., scope insensitivity has more general recognition).",DISAGREE,True,True,B_calibrated_only,stratified quota (gap x narrative x discipline)
1294,10.1037/0033-2909.124.2.197,"DeNeve, K. M., & Cooper, H. (1998). The happy personality: A meta-analysis of 137 personality traits and subjective well-being. Psychological Bulletin, 124(2), 197–229. https://doi.org/10.1037/0033-2909.124.2.197",Subjective well-being is negatively correlated with negative emotionality.,Differential Psychology,personality,7869.0,-0.22,1559.0,-0.54,-0.32,low,low,False,SIMULABLE,SIMULABLE,SIMULABLE,True,confirmed,False,calibrated full-pool rerun,obscure,"This is a routine, uncontested personality-correlate finding known mainly to specialists; neither version circulates widely.",obscure,A specific personality-wellbeing correlation statistic is too niche/technical to have entered common researcher lore either way.,obscure,False,False,A_dual_confirmed,stratified quota (gap x narrative x discipline)
1292,10.1037/0022-3514.82.1.112,"McCullough, M. E., Emmons, R. A., & Tsang, J.-A. (2002). The grateful disposition: A conceptual and empirical topography. Journal of Personality and Social Psychology, 82(1), 112–127. https://doi.org/10.1037/0022-3514.82.1.112",Gratitude is positively correlated with agreeableness.,Differential Psychology,personality,1228.0,0.41,1559.0,0.54,-0.13,low,low,False,SIMULABLE,SIMULABLE,SIMULABLE,True,confirmed,False,calibrated full-pool rerun,obscure,A narrow trait-correlation finding with a stronger replication draws little attention beyond specialist personality-psychology literature.,obscure,"A trait-correlation finding this narrow lacks the fame needed for either a ""landmark result"" or ""failed replication"" narrative to form.",obscure,False,False,A_dual_confirmed,stratified quota (gap x narrative x discipline)
1184,10.1037/0022-3514.84.2.411,"Paunonen, S. V. (2003). Big Five factors of personality and replicated predictions of behavior. Journal of Personality and Social Psychology, 84(2), 411–424. https://doi.org/10.1037/0022-3514.84.2.411",Attractiveness is positively correlated with extraversion.,Differential Psychology,personality,418.0,0.24,1550.0,0.33,-0.09,low,low,False,SIMULABLE,SIMULABLE,SIMULABLE,True,confirmed,False,calibrated full-pool rerun,obscure,A minor personality-attractiveness correlate; niche finding with no notable public or textbook presence either way.,obscure,"A narrow personality-attractiveness correlation lacks the notoriety needed for either a ""classic finding"" or ""failed replication"" reputation to form.",obscure,False,False,A_dual_confirmed,stratified quota (gap x narrative x discipline)
