effect,wave,ref_original,doi_original
Asch1946_warm_cold,A0A1,"Asch, S. E. (1946). Forming impressions of personality. The Journal of Abnormal and Social",10.1037/h0055756
Banerjee2012_brightness,A0A1,"Banerjee, P., Chatterjee, P., & Sinha, J. (2012). Is It Light or Dark? Recalling Moral Beh",10.1177/0956797611432497
Bargh2012_warmth,A0A1,"Bargh, J. A., & Shalev, I. (2012). The substitutability of physical and social warmth in d",10.1037/a0023527
Chao2017_thankyou_gift,A0A1,"Chao, M. (2017). Demotivating incentives and motivation crowding out in charitable giving.",10.1073/pnas.1616921114
Cooney2016_fairness,A0A1,"Cooney, G., Gilbert, D. T., & Wilson, T. D. (2016). When fairness matters less than we exp",10.1073/pnas.1606574113
Eyal2008_moral_distance,A0A1,"Eyal, T., Liberman, N., & Trope, Y. (2008). Judging near and distant virtue and vice. Jour",10.1016/j.jesp.2008.03.012
Genschow2017_free_will_attribution,A0A1,"Genschow, O., Rigoni, D., & Brass, M. (2017). Belief in free will affects causal attributi",10.1073/pnas.1701916114
Husnu2010_imagined_contact,A0A1,"Husnu, S., & Crisp, R. J. (2010). Elaboration enhances the imagined contact effect. Journa",10.1016/j.jesp.2010.05.014
Klink2000_soundsymbolism,A0A1,"Klink, R. R. (2000). Creating Brand Names With Meaning: The Use of Sound Symbolism. Market",10.1023/a:1008184423824
Knobe2003_side_effect,A0A1,"Knobe, J. (2003). Intentional action and side effects in ordinary language. Analysis, 63(3",10.1093/analys/63.3.190
Miyamoto2002_correspondence_bias,A0A1,"Miyamoto, Y., & Kitayama, S. (2002). Cultural variation in correspondence bias: The critic",10.1037/0022-3514.83.5.1239
Oppenheimer2009_retrospective_gambler,A0A1,"Oppenheimer, D. M., & Monin, B. (2009). The retrospective gambler’s fallacy: Unlikely even",10.1017/s1930297500001170
Rottenstreich2001_affective_lottery,A0A1,"Rottenstreich, Y., & Hsee, C. K. (2001). Money, Kisses, and Electric Shocks: On the Affect",10.1111/1467-9280.00334
Slepian2012_secrets,A0A1,"Slepian, M. L., Masicampo, E. J., Toosi, N. R., & Ambady, N. (2012). The physical burdens ",10.1037/a0027598
Tamir2012_selfdisclosure,A0A1,"Tamir, D. I., & Mitchell, J. P. (2012). Disclosing information about the self is intrinsic",10.1073/pnas.1202129109
Tversky1973_availability_letters,A0A1,"Tversky, A., & Kahneman, D. (1973). Availability: A heuristic for judging frequency and pr",10.1016/0010-0285(73)90033-9
Valdesolo2007_hypocrisy,A0A1,"Valdesolo, P., & DeSteno, D. (2007). Moral Hypocrisy. Psychological Science, 18(8), 689–69",10.1111/j.1467-9280.2007.01961.x
VanBoven2007_anticipation,A0A1,"Van Boven, L., & Ashworth, L. (2007). Looking forward, looking back: Anticipation is more ",10.1037/0096-3445.136.2.289
