effect,r_sim,r_bare,r_o,r_r,n_o,n_r,paradigm_class,wave,z_sim,z_bare,z_o,z_r,var_o,var_r
Ackerman2010_haptic_weight,0.1336305,,0.26111568302638,0.063,54.0,599.0,social_priming,P2,0.1344345507604166,,0.2673053510669907,0.06308354805176287,0.0196078431372549,0.0016778523489932886
Aryani2020_word_arousal,0.9970829999999999,0.999408,0.4179056082321443,0.7214033188451836,28.0,25.0,linguistic_intuition,P2,2.6466524123622457,2.6466524123622457,0.44515175914768224,0.9105649857560215,0.04,0.045454545454545456
Asch1946_warm_cold,1.0,1.0,0.6508,0.1966,166.0,183.0,trait_inference,A0A1,2.6466524123622457,2.6466524123622457,0.7766852369564898,0.1991933795153748,0.006134969325153374,0.005555555555555556
Banerjee2012_brightness,0.0,,0.5239,-0.015,74.0,482.0,introspective_recall,A0A1,0.0,,0.5817001005476711,-0.015001125151899412,0.014084507042253521,0.0020876826722338203
Bargh2012_warmth,,,0.57,0.02,51.0,311.0,questionnaire,A0A1,,,0.6475228448273728,0.020002667306849582,0.020833333333333332,0.003246753246753247
Bauer2012_consumer_cues,0.1336305,0.654654,0.2561582384877227,0.0598922907279467,77.0,6608.0,social_judgment,P2,0.1344345507604166,0.7834001947474628,0.261992499538448,0.059964058195333916,0.013513513513513514,0.0001514004542013626
BlackBarnes2015_transportation,0.9901085000000001,0.932446,0.3261363455467632,0.0099995000374968,60.0,594.0,social_imagery,P2,2.6466524123622457,1.6768072794716,0.3384985964017,0.009999833340832813,0.017543859649122806,0.001692047377326565
Blank2022_double_misinformation,,,-0.69,-0.385,96.0,229.0,verifiable,P2,,,-0.8479557552189635,-0.4059165754074605,0.010752688172043012,0.004424778761061947
Cao2018_bayesian_pilot,0.9945875,0.914407,0.4358898943540673,0.5099019513592785,348.0,36.0,jdm_bias,P2,2.6466524123622457,1.5537798444913253,0.46714530810326194,0.5625972622359134,0.002898550724637681,0.030303030303030304
CarterGilovich2012_experiential_self,0.8991375,,0.1823885229561945,0.3090860723375581,121.0,743.0,introspective_recall,P2,1.4676984557730939,,0.18445229337478944,0.319534632000572,0.00847457627118644,0.0013513513513513514
Caruso2013_money_priming,0.5049055,,0.3713906763541036,-0.0099995000374968,30.0,6340.0,social_priming,P2,0.5558683655375527,,0.39003531977071515,-0.009999833340832813,0.037037037037037035,0.00015780337699226762
Chao2017_thankyou_gift,0.0,-0.7337993857053428,0.1015,0.0519,519.0,2441.0,incentive,A0A1,0.0,-0.9369101212637071,0.10185073000939206,0.0519466749106575,0.001937984496124031,0.00041017227235438887
Cooney2016_fairness,0.3154788628195392,0.0995037190209988,0.5657,0.1211,120.0,132.0,moral_judgment,A0A1,0.3266182542848764,0.09983407889920747,0.6411763738883505,0.12169724979447419,0.008547008547008548,0.007751937984496124
Correll2007_motherhood_penalty,0.0,0.0,0.3909112646207652,0.0354409589117305,94.0,198.0,social_judgment,P2,0.0,0.0,0.41287521679311,0.03545580878022845,0.01098901098901099,0.005128205128205128
DeNeve1998_swb_neuroticism,-0.2669445,1.0,-0.22,-0.54,7869.0,1559.0,questionnaire,P2,-0.2735709799223469,2.6466524123622457,-0.22365610902183242,-0.6041556029622671,0.0001271294177472667,0.0006426735218508997
DogerliogluDemir2014_incidental_anchor,0.06481950000000002,0.563854,0.2606658522907645,0.0549170007571354,58.0,144.0,jdm_bias,P2,0.06491051071292518,0.6384657583418731,0.26682266690994083,0.05497230851183513,0.01818181818181818,0.0070921985815602835
Elliot2010_red_attraction,0.0,,0.3911406403448517,-0.114247022914439,33.0,28.0,social_priming,P2,0.0,,0.4131459948322174,-0.11474801758198483,0.03333333333333333,0.04
Eyal2008_moral_distance,-0.021351643739848825,-0.3244723894445251,0.38,0.0316,58.0,116.0,moral_judgment,A0A1,-0.02135488931377811,-0.3366377158295063,0.4000596500560566,0.03161052447164315,0.01818181818181818,0.008849557522123894
FathKay2018_hierarchy_corruption,0.9587435,0.967884,0.2049390153191919,0.282842712474619,405.0,321.0,social_judgment,P2,1.9301248995486646,2.0576798922315587,0.20788270647392612,0.29076928903725163,0.0024875621890547263,0.0031446540880503146
Fetherstonhaugh1997_psychophysical_numbing,0.1885685,0.0,0.7414562912379874,0.4919138057920608,162.0,1606.0,jdm_bias,P2,0.19085247450314874,0.0,0.9537061126872061,0.5385819506774197,0.006289308176100629,0.0006238303181534623
Finucane2000_affect_heuristic,-0.7085950000000001,-0.726101,-0.75,-0.87,219.0,776.0,jdm_bias,P2,-0.8843563110909572,-0.9204304807191623,-0.9729550745276566,-1.3330796296965248,0.004629629629629629,0.00129366106080207
Galinsky2006_power_perspective,-0.0928475,,0.3592917377421468,0.0149983127847122,42.0,2969.0,introspective_recall,P2,-0.09311569075037111,,0.37607241888475235,0.014999437556945456,0.02564102564102564,0.00033715441672285906
Genschow2017_free_will_attribution,-0.4044466494243905,-0.572034339289009,0.0946,0.0688,504.0,2822.0,jdm_bias,A0A1,-0.4289538430174333,-0.6505414283513128,0.0948837218539798,0.06890886290260395,0.001996007984031936,0.000354735721887194
Gervais2012_analytic_priming,0.2278075,,0.2873478855663454,0.0349785821756186,57.0,952.0,social_priming,P2,0.23187573309410336,,0.29567304756342244,0.03499285810293737,0.018518518518518517,0.001053740779768177
Giessner2007_vertical_power,0.9477995,,0.2638110893282788,0.0149983127847122,64.0,7890.0,social_priming,P2,1.8096817397202096,,0.27020017549472614,0.014999437556945456,0.01639344262295082,0.00012679092177000128
Glikson2017_smiley_competence,0.322011,0.428571,0.3387194682727416,0.1093404791528976,85.0,823.0,trait_inference,P2,0.3338891387415978,0.45814484093719565,0.35264533025269984,0.10977936592054341,0.012195121951219513,0.0012195121951219512
Helzer2011_cleansing_conservatism,0.226478,,0.4065622681231995,-0.029986509105671,52.0,160.0,social_priming,P2,0.23047390728159967,,0.4314858034460881,-0.02999550182152426,0.02040816326530612,0.006369426751592357
Hoorens2015_more_less_asymmetry,0.32377449999999997,0.461817,0.6782329983125268,0.4819187497721559,320.0,433.0,jdm_bias,P2,0.3358579022357813,0.4996184052266664,0.8258345228925368,0.5254804479785135,0.0031545741324921135,0.002325581395348837
Huang2014_cleanliness_effort,-0.021033999999999997,,-0.1434993104669943,0.0617568943169517,218.0,387.0,social_priming,P2,-0.021037102842003417,,-0.14449664381882232,0.061835586298119236,0.004651162790697674,0.0026041666666666665
Huang2019_anthropomorphism_holistic,0.0,0.0,0.6708203932499369,0.0499376169438922,101.0,584.0,social_judgment,P2,0.0,0.0,0.8122332596240808,0.04997919006934863,0.01020408163265306,0.0017211703958691911
Husnu2010_imagined_contact,0.19094580580472392,0.0873704056661037,0.395,0.0649,33.0,6335.0,social_imagery,A0A1,0.19331858064299035,0.0875937460489285,0.4177106181123123,0.0649913507899685,0.03333333333333333,0.00015792798483891344
John2016_hiding_information,0.22359999999999997,-0.947018,0.1899761158124235,0.0194962936194799,142.0,1224.0,trait_inference,P2,0.22744238049094656,-1.8020510085479897,0.1923123906376008,0.01949876439891511,0.007194244604316547,0.000819000819000819
Jostmann2009_weight_importance,0.621964,,0.282945147243684,0.0149983127847122,51.0,2374.0,social_priming,P2,0.7282018052139374,,0.2908806346845318,0.014999437556945456,0.020833333333333332,0.00042176296921130323
Kay2014_structure_goal_pursuit,0.4266745,,0.2425356250363329,-0.0099995000374968,67.0,6506.0,social_priming,P2,0.45582393614575517,,0.2474664615472634,-0.009999833340832813,0.015625,0.00015377518068583732
KimMarkus1999_uniqueness_preference,0.4283015,0.301511,0.2132595826717,0.014048649981898,76.0,31.0,jdm_bias,P2,0.4578147502774013,0.3111808728218926,0.2165837654023395,0.014049574326597196,0.0136986301369863,0.03571428571428571
Klink2000_soundsymbolism,0.9990872171419194,0.9973632546798006,0.819,0.222,171.0,823.0,linguistic_intuition,A0A1,2.6466524123622457,2.6466524123622457,1.1537725736261482,0.2257588077765745,0.005952380952380952,0.0012195121951219512
Knobe2003_side_effect,0.34284766908852593,0.9354143466934854,0.6006,0.6585,78.0,7982.0,moral_judgment,A0A1,0.3573159571607238,1.7000422070566705,0.6940852084756155,0.7901605896881312,0.013333333333333334,0.00012532898859506203
Kozak2006_action_identification,0.660774,,0.3,0.08,50.0,1086.0,trait_inference,P2,0.7941862429097216,,0.30951960420311175,0.08017132503758968,0.02127659574468085,0.0009233610341643582
Kupor2015_god_risk,0.0557575,,0.2758634886606276,0.0698291276999138,61.0,556.0,social_priming,P2,0.05581538949704405,,0.28319927409372625,0.06994295901940176,0.017241379310344827,0.0018083182640144665
McCullough2002_gratitude_agreeableness,0.144785,-0.419025,0.41,0.54,1228.0,1559.0,questionnaire,P2,0.1458096130586175,-0.4465087841897456,0.4356112232362243,0.6041556029622671,0.0008163265306122449,0.0006426735218508997
Mellers2001_conjunction_frequency,0.692666,-0.766032,0.282945147243684,0.237962230135701,108.0,1032.0,jdm_bias,P2,0.8530624878285297,-1.0106530735877581,0.2908806346845318,0.24261291139707472,0.009523809523809525,0.0009718172983479105
Miyamoto2002_correspondence_bias,0.9435936045017985,0.0,0.7742,0.673,58.0,7197.0,trait_inference,A0A1,1.769855682275255,0.0,1.0307276221854624,0.8162067650447854,0.01818181818181818,0.00013900472616068947
Oppenheimer2009_retrospective_gambler,0.24910987487695674,0.0956973096275791,0.3261,0.01,80.0,5979.0,jdm_bias,A0A1,0.25446357011829174,0.09599105659324357,0.338457925365691,0.010000333353334763,0.012987012987012988,0.00016733601070950468
Park2019_scarcity_price_quality,-0.030583499999999986,-0.185695,0.2236067977499789,0.0399680383488715,149.0,773.0,jdm_bias,P2,-0.030593040785348833,-0.18787469541973473,0.22744953600579132,0.03998934100602693,0.00684931506849315,0.0012987012987012987
Paunonen2003_attractiveness_extraversion,0.334594,0.749687,0.24,0.33,418.0,1550.0,questionnaire,P2,0.34799251202703446,0.9722400295070259,0.2447741126593529,0.3428282544153939,0.0024096385542168677,0.0006464124111182935
Peters2006_numeracy_framing,-0.018473,,0.3316624790355399,0.1,100.0,860.0,jdm_bias,P2,-0.01847510174474781,,0.34469505401899686,0.10033534773107558,0.010309278350515464,0.0011668611435239206
Reinhard2013_unconscious_lie_detection,0.086387,0.0,0.3464101615137754,0.0447213595499957,66.0,110.0,jdm_bias,P2,0.08660286119180256,0.0,0.3613585967939576,0.044751209617973096,0.015873015873015872,0.009345794392523364
Rottenstreich2001_affective_lottery,0.16666666666666666,0.0,0.3748,-0.04,40.0,7218.0,jdm_bias,A0A1,0.16823611831060645,0.0,0.3939959732141787,-0.04002135383676822,0.02702702702702703,0.0001386001386001386
Scopelliti2015_bragging_emotion,0.421335,,0.2252948577076705,-0.0290052304815362,154.0,124.0,introspective_recall,P2,0.4493140617105285,,0.22922714939175745,-0.029013368656230817,0.006622516556291391,0.008264462809917356
Shnabel2008_needs_reconciliation,-0.11322099999999999,,0.2645751311064591,0.09,94.0,1376.0,introspective_recall,P2,-0.1137085485981192,,0.27102154744373086,0.09024418785614682,0.01098901098901099,0.0007283321194464676
Slepian2012_secrets,-0.2644560198902292,,0.52,0.04,40.0,100.0,introspective_recall,A0A1,-0.2708934752062795,,0.5763397549691928,0.04002135383676822,0.02702702702702703,0.010309278350515464
Stevenson2000_web_brand_attitude,1.0,0.992846,0.42,0.54,30.0,95.0,social_judgment,P2,2.6466524123622457,2.6466524123622457,0.44769202352742066,0.6041556029622671,0.037037037037037035,0.010869565217391304
Tamir2012_selfdisclosure,0.2177187031280415,0.0,0.4853,0.0046,37.0,19.0,incentive,A0A1,0.22126004062526503,0.0,0.5298939221883892,0.004600032445745265,0.029411764705882353,0.0625
Thoresen2003_commitment_negative_affect,0.1350575,0.0,-0.19,-0.26,713.0,748.0,questionnaire,P2,0.13588777934564672,0.0,-0.1923371692195453,-0.2661084068736541,0.0014084507042253522,0.0013422818791946308
Tversky1973_availability_letters,-0.33333333333333326,-0.4,0.3794,0.045,152.0,3088.0,jdm_bias,A0A1,-0.3465735902799726,-0.42364893019360184,0.3993585744914555,0.04503041195909056,0.006711409395973154,0.00032414910858995135
Valdesolo2007_hypocrisy,0.6496485408008601,0.5516772843673704,0.4853,0.0,74.0,540.0,moral_judgment,A0A1,0.7746903594235934,0.6207892116538605,0.5298939221883892,0.0,0.014084507042253521,0.00186219739292365
VanBoven2007_anticipation,0.8151514736171838,0.1054092553389459,0.44,0.01,36.0,246.0,jdm_bias,A0A1,1.1421937431831102,0.10580228352249248,0.4722308044204257,0.010000333353334763,0.030303030303030304,0.00411522633744856
Wakslak2006_construal,0.6845968460768996,0.1856953381770512,0.6101,-0.0946,21.0,115.0,jdm_bias,A0A1,0.8377149397177468,0.18787504567451496,0.7090806359311705,-0.0948837218539798,0.05555555555555555,0.008928571428571428
Weinstein1984_comparative_optimism,-0.9835594999999999,-0.83666,-0.3511234415883917,-0.196116135138184,136.0,480.0,jdm_bias,P2,-2.3964502170964073,-1.2099350328890337,-0.3667246042301368,-0.19869011034924136,0.007518796992481203,0.0020964360587002098
WilliamsBargh2008_distance_priming,0.315095,,0.3316624790355399,0.0,84.0,125.0,social_priming,P2,0.32619202141771003,,0.34469505401899686,0.0,0.012345679012345678,0.00819672131147541
Zarkadi2013_visual_contrast,-0.1313065,,0.2645751311064591,0.0316227766016837,111.0,8602.0,social_priming,P2,-0.13206903986273558,,0.27102154744373086,0.03163332385629397,0.009259259259259259,0.00011629259216187928
