effect,r_bare,n_ok,group,stat,n_parsed,n_denom,parse_rate,n_refusal,flag
Aryani2020_word_arousal,0.999408,5,0,paired_zero,30,30,1.0,0,
Bauer2012_consumer_cues,0.654654,5,0,between,30,30,1.0,0,
BlackBarnes2015_transportation,0.932446,5,0,between,30,30,1.0,0,
Blank2022_double_misinformation,,5,0,pearson,30,30,1.0,0,no_variance;few_levels
Cao2018_bayesian_pilot,0.914407,5,0,paired_zero,30,30,1.0,0,
Correll2007_motherhood_penalty,0.0,5,0,between,30,30,1.0,0,zero_var
DeNeve1998_swb_neuroticism,1.0,5,0,pearson,17,30,0.5667,0,low_parse;few_levels
DogerliogluDemir2014_incidental_anchor,0.563854,5,0,between,30,30,1.0,0,
FathKay2018_hierarchy_corruption,0.967884,5,0,between,30,30,1.0,0,
Fetherstonhaugh1997_psychophysical_numbing,0.0,5,0,between,30,30,1.0,0,zero_var
Finucane2000_affect_heuristic,-0.726101,5,1,corr_within,30,30,1.0,0,
Glikson2017_smiley_competence,0.428571,10,1,two_group,30,30,1.0,0,
Hoorens2015_more_less_asymmetry,0.461817,10,1,two_group,30,30,1.0,0,
Huang2019_anthropomorphism_holistic,0.0,10,1,phi,30,30,1.0,0,
John2016_hiding_information,-0.947018,10,1,two_group,22,30,0.7333,0,low_parse
KimMarkus1999_uniqueness_preference,0.301511,10,1,two_group,30,30,1.0,0,
Kozak2006_action_identification,,5,1,corr_between,30,30,1.0,0,no_variance
McCullough2002_gratitude_agreeableness,-0.419025,29,2,pearson,29,30,0.9667,0,
Mellers2001_conjunction_frequency,-0.766032,25,2,one_sample,25,30,0.8333,0,
Park2019_scarcity_price_quality,-0.185695,30,2,two_group,30,30,1.0,0,
Paunonen2003_attractiveness_extraversion,0.749687,28,2,pearson,28,30,0.9333,0,
Peters2006_numeracy_framing,,30,2,peters,30,30,1.0,0,no_variance
Reinhard2013_unconscious_lie_detection,0.0,30,2,two_group,30,30,1.0,0,
Stevenson2000_web_brand_attitude,0.992846,30,2,pearson,30,30,1.0,0,
Thoresen2003_commitment_negative_affect,0.0,30,2,pearson,30,30,1.0,0,
Weinstein1984_comparative_optimism,-0.83666,30,2,one_sample,30,30,1.0,0,
