effect,variant,r_sim,ci_lo,ci_hi,n_ok,parse_rate,n_refusal,group,stat,n_parsed,n_denom,parse_mode,flag
Ackerman2010_haptic_weight,A,0.0,0.0,0.0,30,1.0,0,0,between,30,30,2,zero_var
Ackerman2010_haptic_weight,B,0.267261,0.0,0.447214,30,1.0,0,0,between,30,30,2,
Aryani2020_word_arousal,A,0.994984,0.991934,0.997659,30,1.0,0,0,paired_zero,30,30,2,
Aryani2020_word_arousal,B,0.999182,0.99867,0.999629,30,1.0,0,0,paired_zero,30,30,2,
Bauer2012_consumer_cues,A,0.267261,0.0,0.447214,30,1.0,0,0,between,30,30,2,
Bauer2012_consumer_cues,B,0.0,0.0,0.0,30,1.0,0,0,between,30,30,2,zero_var
BlackBarnes2015_transportation,A,0.98644,0.980274,0.992637,30,1.0,0,0,between,30,30,2,
BlackBarnes2015_transportation,B,0.993777,0.991647,0.996823,30,1.0,0,0,between,30,30,2,
Blank2022_double_misinformation,A,,,,30,1.0,0,0,pearson,30,30,2,no_variance
Blank2022_double_misinformation,B,,,,30,1.0,0,0,pearson,30,30,2,no_variance
Cao2018_bayesian_pilot,A,1.0,1.0,1.0,30,1.0,0,0,paired_zero,30,30,2,zero_var
Cao2018_bayesian_pilot,B,0.989175,0.980456,0.996158,30,1.0,0,0,paired_zero,30,30,2,
CarterGilovich2012_experiential_self,A,0.950752,0.927945,0.974592,30,1.0,0,0,between,30,30,2,
CarterGilovich2012_experiential_self,B,0.847523,0.787565,0.910193,30,1.0,0,0,between,30,30,2,
Caruso2013_money_priming,A,0.655172,0.485848,0.814877,30,1.0,0,0,between,30,30,2,
Caruso2013_money_priming,B,0.354639,0.0,0.645337,30,1.0,0,0,between,30,30,2,
Correll2007_motherhood_penalty,A,0.0,0.0,0.0,30,1.0,0,0,between,30,30,2,zero_var
Correll2007_motherhood_penalty,B,0.0,0.0,0.0,30,1.0,0,0,between,30,30,2,zero_var
DeNeve1998_swb_neuroticism,A,-0.101262,-0.295698,0.071345,30,1.0,0,0,pearson,30,30,2,
DeNeve1998_swb_neuroticism,B,-0.432627,-0.712882,-0.116457,30,1.0,0,0,pearson,30,30,2,
DogerliogluDemir2014_incidental_anchor,A,0.258738,0.0,0.433289,30,1.0,0,0,between,30,30,2,
DogerliogluDemir2014_incidental_anchor,B,-0.129099,-0.464991,0.24577,30,1.0,0,0,between,30,30,2,
Elliot2010_red_attraction,A,0.0,0.0,0.0,30,1.0,0,0,between,30,30,2,zero_var
Elliot2010_red_attraction,B,0.0,0.0,0.0,30,1.0,0,0,between,30,30,2,zero_var
FathKay2018_hierarchy_corruption,A,0.946773,0.900023,0.988627,30,1.0,0,0,between,30,30,2,
FathKay2018_hierarchy_corruption,B,0.970714,0.945495,0.99484,29,0.9667,0,0,between,29,30,2,
Fetherstonhaugh1997_psychophysical_numbing,A,0.145598,-0.198732,0.499378,30,1.0,0,0,between,30,30,2,
Fetherstonhaugh1997_psychophysical_numbing,B,0.231539,-0.112891,0.566985,30,1.0,0,0,between,30,30,2,
Finucane2000_affect_heuristic,A,-0.702933,-0.72334,-0.68267,30,1.0,0,1,corr_within,30,30,strict,
Finucane2000_affect_heuristic,B,-0.714257,-0.736566,-0.691355,30,1.0,0,1,corr_within,30,30,strict,
Galinsky2006_power_perspective,A,-0.185695,-0.333333,0.0,30,1.0,0,1,phi,30,30,strict,
Galinsky2006_power_perspective,B,0.0,0.0,0.0,30,1.0,0,1,phi,30,30,strict,
Gervais2012_analytic_priming,A,-0.028372,-0.476144,0.290975,30,1.0,0,1,two_group,30,30,strict,
Gervais2012_analytic_priming,B,0.483987,0.208235,0.706791,30,1.0,0,1,two_group,30,30,strict,
Giessner2007_vertical_power,A,0.924259,0.883311,0.973784,30,1.0,0,1,two_group,30,30,strict,
Giessner2007_vertical_power,B,0.97134,0.954985,0.988892,30,1.0,0,1,two_group,30,30,strict,
Glikson2017_smiley_competence,A,0.317999,0.0,0.557086,30,1.0,0,1,two_group,30,30,strict,
Glikson2017_smiley_competence,B,0.326023,0.0,0.491003,30,1.0,0,1,two_group,30,30,strict,
Helzer2011_cleansing_conservatism,A,0.267261,0.0,0.447214,30,1.0,0,1,two_group,30,30,strict,
Helzer2011_cleansing_conservatism,B,0.185695,0.0,0.333333,30,1.0,0,1,two_group,30,30,strict,
Hoorens2015_more_less_asymmetry,A,0.876965,0.846981,0.920979,30,1.0,0,1,two_group,30,30,strict,
Hoorens2015_more_less_asymmetry,B,-0.229416,-0.522368,0.106,30,1.0,0,1,two_group,30,30,strict,
Huang2014_cleanliness_effort,A,-0.283524,-0.68973,0.208618,16,1.0,0,1,two_group,30,30,strict,
Huang2014_cleanliness_effort,B,0.241456,-0.283099,0.677644,14,1.0,2,1,two_group,28,28,strict,
Huang2019_anthropomorphism_holistic,A,0.0,0.0,0.0,30,1.0,0,1,phi,30,30,strict,
