effect,r_bare,n_ok,group,stat,n_parsed,n_denom,parse_rate,n_refusal,flag
Aryani2020_word_arousal,0.99932,5,0,paired_zero,30,30,1.0,0,
Bauer2012_consumer_cues,0.298142,5,0,between,29,29,1.0,1,
BlackBarnes2015_transportation,0.994226,5,0,between,30,30,1.0,0,
Blank2022_double_misinformation,,5,0,pearson,30,30,1.0,0,no_variance;few_levels
Cao2018_bayesian_pilot,0.0,5,0,paired_zero,30,30,1.0,0,zero_var
Correll2007_motherhood_penalty,-0.372104,5,0,between,30,30,1.0,0,
DeNeve1998_swb_neuroticism,0.311741,5,0,pearson,30,30,1.0,0,
DogerliogluDemir2014_incidental_anchor,-0.722402,5,0,between,28,28,1.0,2,
FathKay2018_hierarchy_corruption,0.898965,5,0,between,30,30,1.0,0,
Fetherstonhaugh1997_psychophysical_numbing,-0.18368,5,0,between,30,30,1.0,0,
Finucane2000_affect_heuristic,-0.818633,5,1,corr_within,30,30,1.0,0,
Glikson2017_smiley_competence,-0.104701,10,1,two_group,30,30,1.0,0,
Hoorens2015_more_less_asymmetry,0.81231,10,1,two_group,30,30,1.0,0,
Huang2019_anthropomorphism_holistic,0.0,10,1,phi,29,29,1.0,1,
John2016_hiding_information,0.228775,10,1,two_group,30,30,1.0,0,
KimMarkus1999_uniqueness_preference,-0.628587,10,1,two_group,30,30,1.0,0,
Kozak2006_action_identification,0.934108,5,1,corr_between,30,30,1.0,0,
McCullough2002_gratitude_agreeableness,0.157403,30,2,pearson,30,30,1.0,0,
Mellers2001_conjunction_frequency,-0.757365,29,2,one_sample,29,30,0.9667,0,
Park2019_scarcity_price_quality,0.202829,28,2,two_group,28,28,1.0,2,
Paunonen2003_attractiveness_extraversion,0.069833,30,2,pearson,30,30,1.0,0,
Peters2006_numeracy_framing,-0.05717,30,2,peters,30,30,1.0,0,
Reinhard2013_unconscious_lie_detection,0.0,30,2,two_group,30,30,1.0,0,
Stevenson2000_web_brand_attitude,0.786781,30,2,pearson,30,30,1.0,0,
Thoresen2003_commitment_negative_affect,0.089188,30,2,pearson,30,30,1.0,0,
Weinstein1984_comparative_optimism,-0.70438,30,2,one_sample,30,30,1.0,0,
