effect,variant,r_sim,ci_lo,ci_hi,n_ok,parse_rate,n_refusal,group,stat,n_parsed,n_denom,parse_mode,flag
Ackerman2010_haptic_weight,A,0.315244,-0.039375,0.630488,30,1.0,0,0,between,30,30,2,
Ackerman2010_haptic_weight,B,0.055815,-0.447214,0.317999,30,1.0,0,0,between,30,30,2,
Aryani2020_word_arousal,A,0.993246,0.990585,0.995915,30,1.0,0,0,paired_zero,30,30,2,
Aryani2020_word_arousal,B,0.991868,0.98886,0.995174,29,0.9667,0,0,paired_zero,29,30,2,
Bauer2012_consumer_cues,A,0.185695,0.0,0.333333,30,1.0,0,0,between,30,30,2,
Bauer2012_consumer_cues,B,0.0,-0.363696,0.400892,30,1.0,0,0,between,30,30,2,
BlackBarnes2015_transportation,A,0.991478,0.988063,0.995856,30,1.0,0,0,between,30,30,2,
BlackBarnes2015_transportation,B,0.943592,0.921635,0.968398,30,1.0,0,0,between,30,30,2,
Blank2022_double_misinformation,A,,,,30,1.0,0,0,pearson,30,30,2,no_variance
Blank2022_double_misinformation,B,,,,30,1.0,0,0,pearson,30,30,2,no_variance
Cao2018_bayesian_pilot,A,0.695958,0.566777,0.80637,30,1.0,0,0,paired_zero,30,30,2,
Cao2018_bayesian_pilot,B,0.625461,0.483487,0.745871,30,1.0,0,0,paired_zero,30,30,2,
CarterGilovich2012_experiential_self,A,0.693391,0.477408,0.881557,30,1.0,0,0,between,30,30,2,
CarterGilovich2012_experiential_self,B,0.473357,0.165381,0.718083,30,1.0,0,0,between,30,30,2,
Caruso2013_money_priming,A,-0.135333,-0.450482,0.238112,30,1.0,0,0,between,30,30,2,
Caruso2013_money_priming,B,0.106,-0.230473,0.501608,30,1.0,0,0,between,30,30,2,
Correll2007_motherhood_penalty,A,0.0,0.0,0.0,30,1.0,0,0,between,30,30,2,zero_var
Correll2007_motherhood_penalty,B,-0.317999,-0.4842,0.0,30,1.0,0,0,between,30,30,2,
DeNeve1998_swb_neuroticism,A,0.189544,-0.342212,0.594878,30,1.0,0,0,pearson,30,30,2,
DeNeve1998_swb_neuroticism,B,-0.682769,-0.819653,-0.490887,30,1.0,0,0,pearson,30,30,2,
DogerliogluDemir2014_incidental_anchor,A,-0.017418,-0.477558,0.305196,30,1.0,0,0,between,30,30,2,
DogerliogluDemir2014_incidental_anchor,B,0.156174,-0.215666,0.487635,30,1.0,0,0,between,30,30,2,
Elliot2010_red_attraction,A,-0.267261,-0.605406,0.072739,30,1.0,0,0,between,30,30,2,
Elliot2010_red_attraction,B,0.060971,-0.309492,0.421696,30,1.0,0,0,between,30,30,2,
FathKay2018_hierarchy_corruption,A,0.882851,0.82717,0.938292,30,1.0,0,0,between,30,30,2,
FathKay2018_hierarchy_corruption,B,0.848092,0.777293,0.934484,30,1.0,0,0,between,30,30,2,
Fetherstonhaugh1997_psychophysical_numbing,A,0.188365,-0.157169,0.511363,30,1.0,0,0,between,30,30,2,
Fetherstonhaugh1997_psychophysical_numbing,B,-0.138339,-0.461505,0.223655,30,1.0,0,0,between,30,30,2,
Finucane2000_affect_heuristic,A,-0.809998,-0.82592,-0.792427,30,1.0,0,1,corr_within,30,30,strict,
Finucane2000_affect_heuristic,B,-0.812431,-0.829577,-0.794436,30,1.0,0,1,corr_within,30,30,strict,
Galinsky2006_power_perspective,A,-0.066667,-0.408248,0.272166,30,1.0,0,1,phi,30,30,strict,
Galinsky2006_power_perspective,B,0.0,0.0,0.0,30,1.0,0,1,phi,30,30,strict,
Gervais2012_analytic_priming,A,0.095569,-0.280452,0.442438,30,1.0,0,1,two_group,30,30,strict,
Gervais2012_analytic_priming,B,0.644916,0.424617,0.819559,30,1.0,0,1,two_group,30,30,strict,
Giessner2007_vertical_power,A,0.347316,0.0,0.696771,30,1.0,0,1,two_group,30,30,strict,
Giessner2007_vertical_power,B,0.586532,0.360401,0.770937,30,1.0,0,1,two_group,30,30,strict,
Glikson2017_smiley_competence,A,0.355479,0.0,0.722743,30,1.0,0,1,two_group,30,30,strict,
Glikson2017_smiley_competence,B,0.800144,0.656719,0.915162,30,1.0,0,1,two_group,30,30,strict,
Helzer2011_cleansing_conservatism,A,0.0,-0.333333,0.333333,30,1.0,0,1,two_group,30,30,strict,
Helzer2011_cleansing_conservatism,B,0.0,-0.363696,0.392232,30,1.0,0,1,two_group,30,30,strict,
Hoorens2015_more_less_asymmetry,A,0.817119,0.748696,0.917205,30,1.0,0,1,two_group,30,30,strict,
Hoorens2015_more_less_asymmetry,B,0.740311,0.550997,0.880674,30,1.0,0,1,two_group,30,30,strict,
Huang2014_cleanliness_effort,A,-0.609449,-0.836003,-0.318017,16,1.0,0,1,two_group,30,30,strict,
Huang2014_cleanliness_effort,B,0.290619,-0.200978,0.722004,16,1.0,0,1,two_group,30,30,strict,
Huang2019_anthropomorphism_holistic,A,0.0,0.0,0.0,30,1.0,0,1,phi,30,30,strict,
Huang2019_anthropomorphism_holistic,B,0.0,0.0,0.0,30,1.0,0,1,phi,30,30,strict,
John2016_hiding_information,A,0.351434,0.037908,0.625523,30,1.0,0,1,two_group,30,30,strict,
John2016_hiding_information,B,0.994479,0.991209,0.997717,30,1.0,0,1,two_group,30,30,strict,
Jostmann2009_weight_importance,A,-0.082004,-0.442698,0.248583,30,1.0,0,1,two_group,30,30,strict,
Jostmann2009_weight_importance,B,0.27718,-0.070183,0.59456,30,1.0,0,1,two_group,30,30,strict,
Kay2014_structure_goal_pursuit,A,0.034401,-0.295312,0.447269,30,1.0,0,1,two_group,30,30,strict,
Kay2014_structure_goal_pursuit,B,-0.032969,-0.419956,0.313535,30,1.0,0,1,two_group,30,30,strict,
KimMarkus1999_uniqueness_preference,A,-0.792624,-0.886736,-0.698064,30,1.0,0,1,two_group,30,30,strict,
KimMarkus1999_uniqueness_preference,B,-0.319438,-0.581238,0.0,30,1.0,0,1,two_group,30,30,strict,
Kozak2006_action_identification,A,0.397036,0.027961,0.672416,30,1.0,0,1,corr_between,30,30,strict,
Kozak2006_action_identification,B,0.367261,0.038314,0.607645,30,1.0,0,1,corr_between,30,30,strict,
Kupor2015_god_risk,A,0.166346,-0.192411,0.503269,30,1.0,0,2,two_group,30,30,strict,
Kupor2015_god_risk,B,-0.263138,-0.53986,0.083721,30,1.0,0,2,two_group,30,30,strict,
McCullough2002_gratitude_agreeableness,A,-0.005609,-0.425984,0.421726,30,1.0,0,2,pearson,30,30,strict,
McCullough2002_gratitude_agreeableness,B,0.262392,-0.020658,0.519827,30,1.0,0,2,pearson,30,30,strict,
Mellers2001_conjunction_frequency,A,-0.098481,-0.494019,0.50964,15,1.0,0,2,one_sample,30,30,lenient,
Mellers2001_conjunction_frequency,B,0.139205,-0.53891,0.520697,15,1.0,0,2,one_sample,30,30,strict,
Park2019_scarcity_price_quality,A,0.301511,-0.072739,0.603023,30,1.0,0,2,two_group,30,30,strict,
Park2019_scarcity_price_quality,B,-0.124035,-0.551677,0.223813,30,1.0,0,2,two_group,30,30,strict,
Paunonen2003_attractiveness_extraversion,A,0.122678,-0.474642,0.670631,30,1.0,0,2,pearson,30,30,strict,
Paunonen2003_attractiveness_extraversion,B,0.187964,-0.21049,0.534218,30,1.0,0,2,pearson,30,30,strict,
Peters2006_numeracy_framing,A,0.261821,-0.008927,0.570748,30,1.0,0,2,peters,30,30,strict,obj_const
Peters2006_numeracy_framing,B,-0.323034,-0.643567,-0.050785,30,1.0,0,2,peters,30,30,strict,obj_const
Reinhard2013_unconscious_lie_detection,A,-0.185695,-0.333333,0.0,30,1.0,0,2,two_group,30,30,strict,
Reinhard2013_unconscious_lie_detection,B,-0.302193,-0.578027,0.044627,30,1.0,0,2,two_group,30,30,strict,
Scopelliti2015_bragging_emotion,A,0.221621,-0.153778,0.557086,30,1.0,0,2,two_group,30,30,strict,
Scopelliti2015_bragging_emotion,B,0.40328,0.110435,0.643019,30,1.0,0,2,two_group,30,30,strict,
Shnabel2008_needs_reconciliation,A,-0.149048,-0.513761,0.226935,30,1.0,0,2,inter2x2,30,30,strict,
Shnabel2008_needs_reconciliation,B,-0.254309,-0.565687,0.105671,30,1.0,0,2,inter2x2,30,30,strict,
Stevenson2000_web_brand_attitude,A,0.945014,0.916691,0.970182,30,1.0,0,2,pearson,30,30,strict,
Stevenson2000_web_brand_attitude,B,0.896577,0.847045,0.943514,30,1.0,0,2,pearson,30,30,strict,
Thoresen2003_commitment_negative_affect,A,-0.047792,-0.256001,0.193878,30,1.0,0,2,pearson,30,30,strict,
Thoresen2003_commitment_negative_affect,B,-0.23776,-0.468332,0.082862,30,1.0,0,2,pearson,30,30,strict,
Weinstein1984_comparative_optimism,A,-0.946393,-0.972413,-0.919107,30,1.0,0,2,one_sample,30,30,strict,
Weinstein1984_comparative_optimism,B,-0.927017,-0.966963,-0.891525,30,1.0,0,2,one_sample,30,30,strict,
WilliamsBargh2008_distance_priming,A,0.0,-0.333333,0.333333,30,1.0,0,2,two_group,30,30,strict,
WilliamsBargh2008_distance_priming,B,-0.19975,-0.557722,0.150756,30,1.0,0,2,two_group,30,30,strict,
Zarkadi2013_visual_contrast,A,-0.204124,-0.52915,0.533002,30,1.0,0,2,anova,30,30,strict,
Zarkadi2013_visual_contrast,B,-0.167836,-0.537733,0.432049,30,1.0,0,2,anova,30,30,strict,
